Attribute,Attribute Value,AUC,fold_num
race,African-American,0.623764705882353,0
race,Hispanic,0.28260869565217395,0
race,Caucasian,0.5481099656357389,0
race,Other,0.5131578947368421,0
sex,male,0.5790982602303356,0
sex,female,0.6795454545454546,0
race,Other,0.8333333333333334,1
race,Caucasian,0.4712475633528265,1
race,African-American,0.5939511653718091,1
race,Hispanic,0.42727272727272725,1
sex,male,0.5733404142326075,1
sex,female,0.4948320413436693,1
race,African-American,0.6153120207620622,2
race,Other,0.6416666666666668,2
race,Caucasian,0.5829439252336449,2
race,Hispanic,0.6583333333333333,2
sex,male,0.6112442631310555,2
sex,female,0.6460317460317461,2
race,African-American,0.6020152505446623,3
race,Caucasian,0.4433333333333333,3
race,Hispanic,0.891025641025641,3
race,Other,0.5888888888888889,3
sex,male,0.5528301886792453,3
sex,female,0.5753968253968254,3
race,Caucasian,0.6762162162162162,4
race,African-American,0.5469662709628792,4
race,Hispanic,0.34615384615384615,4
race,Other,0.7086956521739131,4
sex,male,0.5763449367088608,4
sex,female,0.6916376306620209,4
