Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6361176470588233,0
race,Hispanic,0.6086956521739131,0
race,Caucasian,0.5914471172203131,0
race,Other,0.6447368421052633,0
sex,male,0.613158539573634,0
sex,female,0.7386363636363636,0
race,Other,0.9166666666666666,1
race,Caucasian,0.5073099415204678,1
race,African-American,0.6144284128745838,1
race,Hispanic,0.38181818181818183,1
sex,male,0.6013807753584706,1
sex,female,0.5180878552971576,1
race,African-American,0.6271086469269789,2
race,Other,0.6083333333333334,2
race,Caucasian,0.6160436137071651,2
race,Hispanic,0.75,2
sex,male,0.6204487506374299,2
sex,female,0.6936507936507936,2
race,African-American,0.6644335511982571,3
race,Caucasian,0.5498148148148148,3
race,Hispanic,0.9230769230769231,3
race,Other,0.8666666666666668,3
sex,male,0.6293930438736077,3
sex,female,0.7559523809523809,3
race,Caucasian,0.7108108108108109,4
race,African-American,0.5447051064631618,4
race,Hispanic,0.5192307692307693,4
race,Other,0.5913043478260869,4
sex,male,0.600449960443038,4
sex,female,0.6114982578397212,4
