Attribute,Attribute Value,AUC,fold_num
race,African-American,0.556135357368754,0
race,Hispanic,0.7826086956521738,0
race,Caucasian,0.5446428571428571,0
race,Other,0.8863636363636364,0
sex,male,0.5639688601645124,0
sex,female,0.7765957446808511,0
race,Other,0.7708333333333334,1
race,Caucasian,0.44401709401709405,1
race,African-American,0.533058608058608,1
race,Hispanic,0.17391304347826086,1
sex,male,0.49021367521367515,1
sex,female,0.6595744680851064,1
race,African-American,0.5675126903553299,2
race,Other,0.30833333333333335,2
race,Caucasian,0.49184782608695654,2
race,Hispanic,0.8125,2
sex,male,0.5307196731615336,2
sex,female,0.5574468085106383,2
race,African-American,0.5489795918367347,3
race,Caucasian,0.6121967654986523,3
race,Hispanic,0.8571428571428571,3
race,Other,0.71875,3
sex,male,0.6029166666666668,3
sex,female,0.4455128205128205,3
