Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5644370651486401,0
race,Hispanic,0.391304347826087,0
race,Caucasian,0.5386904761904762,0
race,Other,0.6818181818181819,0
sex,male,0.5743610458284372,0
sex,female,0.4787234042553192,0
race,Other,0.4375,1
race,Caucasian,0.5115384615384615,1
race,African-American,0.5661172161172161,1
race,Hispanic,0.3967391304347826,1
sex,male,0.545940170940171,1
sex,female,0.4851063829787234,1
race,African-American,0.6195939086294416,2
race,Other,0.4833333333333333,2
race,Caucasian,0.4323369565217391,2
race,Hispanic,0.5729166666666666,2
sex,male,0.5318196103079824,2
sex,female,0.6787234042553192,2
race,African-American,0.5746031746031746,3
race,Caucasian,0.5104447439353099,3
race,Hispanic,0.9642857142857143,3
race,Other,0.84375,3
sex,male,0.6039583333333334,3
sex,female,0.5128205128205128,3
