Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6486401012017711,0
race,Hispanic,0.9130434782608696,0
race,Caucasian,0.6287202380952381,0
race,Other,1.0,0
sex,male,0.6581962397179788,0
sex,female,0.8085106382978724,0
race,Other,1.0,1
race,Caucasian,0.5538461538461539,1
race,African-American,0.5408424908424908,1
race,Hispanic,0.5217391304347827,1
sex,male,0.5581196581196581,1
sex,female,0.5829787234042554,1
race,African-American,0.6434517766497463,2
race,Other,0.6833333333333333,2
race,Caucasian,0.5288043478260869,2
race,Hispanic,0.7708333333333333,2
sex,male,0.595065996228787,2
sex,female,0.7531914893617022,2
race,African-American,0.6526077097505669,3
race,Caucasian,0.5566037735849056,3
race,Hispanic,0.6785714285714286,3
race,Other,0.90625,3
sex,male,0.6403472222222223,3
sex,female,0.6858974358974359,3
