Attribute,Attribute Value,AUC,fold_num
race,Other,0.9230769230769231,1
race,Caucasian,0.6360119047619047,1
race,African-American,0.611483820047356,1
race,Hispanic,0.7989130434782609,1
sex,male,0.6515490854796566,1
sex,female,0.5829787234042554,1
race,African-American,0.5677325581395348,2
race,Other,0.6666666666666666,2
race,Caucasian,0.6353383458646616,2
race,Hispanic,0.4807692307692307,2
sex,male,0.5940150295222759,2
sex,female,0.5633074935400516,2
race,African-American,0.5781020924963348,3
race,Caucasian,0.6167637830569251,3
race,Hispanic,0.6759259259259259,3
race,Other,0.6888888888888889,3
sex,male,0.5800612642717905,3
sex,female,0.7815315315315315,3
race,Caucasian,0.7558823529411766,4
race,African-American,0.6209128812815449,4
race,Hispanic,0.7692307692307693,4
race,Other,0.9134615384615384,4
sex,male,0.6815843005863348,4
sex,female,0.7006802721088435,4
