Attribute,Attribute Value,AUC,fold_num
race,Other,0.7692307692307692,1
race,Caucasian,0.49523809523809526,1
race,African-American,0.5987240199947381,1
race,Hispanic,0.6521739130434783,1
sex,male,0.597237775289287,1
sex,female,0.5191489361702127,1
race,African-American,0.559767441860465,2
race,Other,0.6041666666666666,2
race,Caucasian,0.6221804511278195,2
race,Hispanic,0.6794871794871794,2
sex,male,0.5942028985507246,2
sex,female,0.6214470284237726,2
race,African-American,0.5731707317073171,3
race,Caucasian,0.5367548184670551,3
race,Hispanic,0.9722222222222223,3
race,Other,0.2444444444444444,3
sex,male,0.5518796992481203,3
sex,female,0.7072072072072073,3
race,Caucasian,0.7008403361344538,4
race,African-American,0.6126289225367566,4
race,Hispanic,0.8365384615384615,4
race,Other,0.798076923076923,4
sex,male,0.6535838219456742,4
sex,female,0.653061224489796,4
