Attribute,Attribute Value,AUC,fold_num
race,Other,0.9230769230769231,1
race,Caucasian,0.775,1
race,African-American,0.6960668245198631,1
race,Hispanic,0.5489130434782609,1
sex,male,0.7074468085106382,1
sex,female,0.8276595744680851,1
race,African-American,0.6224999999999999,2
race,Other,0.5625,2
race,Caucasian,0.636983082706767,2
race,Hispanic,0.5641025641025641,2
sex,male,0.633870101986044,2
sex,female,0.5503875968992248,2
race,African-American,0.6512061841929894,3
race,Caucasian,0.6089197669206634,3
race,Hispanic,0.8240740740740742,3
race,Other,0.08888888888888888,3
sex,male,0.6049568365357838,3
sex,female,0.7792792792792793,3
race,Caucasian,0.7100840336134454,4
race,African-American,0.597048496818082,4
race,Hispanic,0.7115384615384615,4
race,Other,0.6730769230769231,4
sex,male,0.6457759961708747,4
sex,female,0.6241496598639455,4
