Attribute,Attribute Value,AUC,fold_num
race,Other,0.8461538461538461,1
race,Caucasian,0.618452380952381,1
race,African-American,0.6608787161273348,1
race,Hispanic,0.8152173913043479,1
sex,male,0.6847704367301232,1
sex,female,0.6297872340425532,1
race,African-American,0.5817441860465117,2
race,Other,0.6666666666666666,2
race,Caucasian,0.6832706766917293,2
race,Hispanic,0.5641025641025641,2
sex,male,0.6146001073537305,2
sex,female,0.6459948320413437,2
race,African-American,0.6516060242569638,3
race,Caucasian,0.6194531600179292,3
race,Hispanic,0.8703703703703703,3
race,Other,0.4444444444444444,3
sex,male,0.6241158451684767,3
sex,female,0.7522522522522522,3
race,Caucasian,0.8151260504201681,4
race,African-American,0.6680930436690805,4
race,Hispanic,0.9230769230769231,4
race,Other,0.9038461538461539,4
sex,male,0.7276534641617806,4
sex,female,0.7789115646258503,4
