Attribute,Attribute Value,AUC,fold_num
race,Other,0.3846153846153846,1
race,Caucasian,0.6023809523809524,1
race,African-American,0.571494343593791,1
race,Hispanic,0.6956521739130436,1
sex,male,0.5994463108124921,1
sex,female,0.5063829787234042,1
race,African-American,0.5869186046511627,2
race,Other,0.5208333333333333,2
race,Caucasian,0.693843984962406,2
race,Hispanic,0.6666666666666666,2
sex,male,0.6254965110037574,2
sex,female,0.6666666666666666,2
race,African-American,0.5670398507263761,3
race,Caucasian,0.5493052442850739,3
race,Hispanic,0.75,3
race,Other,0.30000000000000004,3
sex,male,0.5588972431077694,3
sex,female,0.5765765765765765,3
race,Caucasian,0.6802521008403362,4
race,African-American,0.6234364713627386,4
race,Hispanic,0.923076923076923,4
race,Other,0.5288461538461539,4
sex,male,0.6572334569821706,4
sex,female,0.6615646258503401,4
