Attribute,Attribute Value,AUC,fold_num
race,Other,0.6923076923076923,1
race,Caucasian,0.6276785714285715,1
race,African-American,0.6235858984477769,1
race,Hispanic,0.7608695652173914,1
sex,male,0.6529177553813612,1
sex,female,0.648936170212766,1
race,African-American,0.5726162790697675,2
race,Other,0.625,2
race,Caucasian,0.712640977443609,2
race,Hispanic,0.6794871794871795,2
sex,male,0.6282340311325818,2
sex,female,0.6356589147286822,2
race,African-American,0.6246168199386912,3
race,Caucasian,0.5923352756611385,3
race,Hispanic,0.9444444444444444,3
race,Other,0.39999999999999997,3
sex,male,0.6090225563909775,3
sex,female,0.7545045045045045,3
race,Caucasian,0.6747899159663865,4
race,African-American,0.6161400043888523,4
race,Hispanic,0.9423076923076923,4
race,Other,0.8461538461538461,4
sex,male,0.6684216824219217,4
sex,female,0.5714285714285714,4
