Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5875537901357166,0
race,Hispanic,0.4736842105263158,0
race,Caucasian,0.5519742143432717,0
race,Other,0.369047619047619,0
sex,male,0.5689300411522633,0
sex,female,0.5863970588235294,0
race,Other,0.7666666666666666,1
race,Caucasian,0.6208683473389356,1
race,African-American,0.5873440285204992,1
race,Hispanic,0.4794117647058823,1
sex,male,0.6130833452262023,1
sex,female,0.53125,1
race,African-American,0.6019886363636363,2
race,Other,0.5,2
race,Caucasian,0.5974395448079659,2
race,Hispanic,0.7055555555555555,2
sex,male,0.5898016011138183,2
sex,female,0.68359375,2
race,African-American,0.6615181992337165,3
race,Caucasian,0.5646296817797803,3
race,Hispanic,0.8184523809523809,3
race,Other,0.55625,3
sex,male,0.6442774566473989,3
sex,female,0.6366995073891625,3
race,Caucasian,0.6257309941520468,4
race,African-American,0.6200884442511237,4
race,Hispanic,0.5416666666666667,4
race,Other,0.7192982456140351,4
sex,male,0.6368060044530633,4
sex,female,0.5571625344352616,4
