Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6456471367096988,0
race,Hispanic,0.5157894736842106,0
race,Caucasian,0.5471394037066881,0
race,Other,0.4523809523809524,0
sex,male,0.6095336076817558,0
sex,female,0.5808823529411765,0
race,Other,0.8222222222222222,1
race,Caucasian,0.6400560224089635,1
race,African-American,0.6399286987522281,1
race,Hispanic,0.47058823529411764,1
sex,male,0.6455330383901812,1
sex,female,0.6354166666666666,1
race,African-American,0.6500811688311688,2
race,Other,0.5555555555555556,2
race,Caucasian,0.698909435751541,2
race,Hispanic,0.7555555555555555,2
sex,male,0.644587539157675,2
sex,female,0.846875,2
race,African-American,0.6861430395913155,3
race,Caucasian,0.6629118558152634,3
race,Hispanic,0.7916666666666667,3
race,Other,0.5375,3
sex,male,0.6752105697770439,3
sex,female,0.7044334975369458,3
race,Caucasian,0.7422723475355054,4
race,African-American,0.6779034362766421,4
race,Hispanic,0.5444444444444445,4
race,Other,0.7192982456140351,4
sex,male,0.6812109459168283,4
sex,female,0.7424242424242424,4
