Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5967394902350215,0
race,Hispanic,0.4210526315789474,0
race,Caucasian,0.6000537201181844,0
race,Other,0.3293650793650793,0
sex,male,0.5814471879286695,0
sex,female,0.5909926470588235,0
race,Other,0.7222222222222222,1
race,Caucasian,0.6072829131652662,1
race,African-American,0.6221438988818668,1
race,Hispanic,0.5352941176470588,1
sex,male,0.6440523761952334,1
sex,female,0.4913194444444444,1
race,African-American,0.6052353896103896,2
race,Other,0.5333333333333333,2
race,Caucasian,0.6120199146514936,2
race,Hispanic,0.6499999999999999,2
sex,male,0.5945179255134007,2
sex,female,0.6890624999999999,2
race,African-American,0.6775223499361431,3
race,Caucasian,0.544776119402985,3
race,Hispanic,0.8154761904761905,3
race,Other,0.5125,3
sex,male,0.6367134599504543,3
sex,female,0.687192118226601,3
race,Caucasian,0.6984126984126985,4
race,African-American,0.6278091924024938,4
race,Hispanic,0.6027777777777777,4
race,Other,0.6578947368421053,4
sex,male,0.6333405156934568,4
sex,female,0.7561983471074379,4
