Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5506756756756757,0
race,Hispanic,0.4210526315789474,0
race,Caucasian,0.44921875,0
race,Other,0.575,0
sex,male,0.5319486788617886,0
sex,female,0.45270270270270274,0
race,Other,0.7875,1
race,Caucasian,0.5761614623000761,1
race,African-American,0.5419078131459281,1
race,Hispanic,0.5277777777777778,1
sex,male,0.5484360410830998,1
sex,female,0.6563192904656319,1
race,African-American,0.5472278225806452,2
race,Other,0.6726190476190476,2
race,Caucasian,0.5974816072439162,2
race,Hispanic,0.45833333333333337,2
sex,male,0.5657112970711299,2
sex,female,0.5343680709534369,2
race,African-American,0.5787898031388913,3
race,Caucasian,0.5762962962962963,3
race,Hispanic,0.8260869565217391,3
race,Other,0.6805555555555556,3
sex,male,0.6153100399426067,3
sex,female,0.5696428571428571,3
race,Caucasian,0.618312757201646,4
race,African-American,0.6019287559985234,4
race,Hispanic,0.6363636363636362,4
race,Other,0.8503401360544218,4
sex,male,0.6289163885799036,4
sex,female,0.5969551282051282,4
