Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5843656156156157,0
race,Hispanic,0.3894736842105263,0
race,Caucasian,0.5693824404761905,0
race,Other,0.7166666666666667,0
sex,male,0.5843919376693767,0
sex,female,0.5867117117117117,0
race,Other,0.8,1
race,Caucasian,0.6517517136329017,1
race,African-American,0.5636109962794542,1
race,Hispanic,0.5476190476190477,1
sex,male,0.5916900093370682,1
sex,female,0.6607538802660754,1
race,African-American,0.6166834677419354,2
race,Other,0.7142857142857142,2
race,Caucasian,0.615025466893039,2
race,Hispanic,0.7333333333333334,2
sex,male,0.6093305439330544,2
sex,female,0.7583148558758315,2
race,African-American,0.6417944298285403,3
race,Caucasian,0.575,3
race,Hispanic,0.7971014492753623,3
race,Other,0.6597222222222222,3
sex,male,0.6351843952379106,3
sex,female,0.6642857142857144,3
race,Caucasian,0.6049382716049382,4
race,African-American,0.6027131782945735,4
race,Hispanic,0.5454545454545454,4
race,Other,0.673469387755102,4
sex,male,0.5896829810901001,4
sex,female,0.7067307692307693,4
