Attribute,Attribute Value,AUC,fold_num
race,Other,0.2692307692307692,1
race,Caucasian,0.7749529190207156,1
race,African-American,0.728328173374613,1
race,Hispanic,0.83,1
sex,male,0.7492535599448782,1
sex,female,0.6258503401360545,1
race,African-American,0.7048267326732673,2
race,Other,0.838235294117647,2
race,Caucasian,0.6837606837606838,2
race,Hispanic,0.6764705882352942,2
sex,male,0.7003857280617165,2
sex,female,0.6822916666666666,2
race,Caucasian,0.7740384615384616,4
race,African-American,0.691747572815534,4
race,Hispanic,0.9903846153846154,4
race,Other,0.9615384615384616,4
sex,male,0.742056856187291,4
sex,female,0.704,4
