Attribute,Attribute Value,AUC,fold_num
race,Other,0.07692307692307687,1
race,Caucasian,0.6892655367231638,1
race,African-American,0.7151702786377708,1
race,Hispanic,0.92,1
sex,male,0.719568213137345,1
sex,female,0.5918367346938775,1
race,African-American,0.7304455445544554,2
race,Other,0.8823529411764706,2
race,Caucasian,0.7844932844932845,2
race,Hispanic,0.7058823529411764,2
sex,male,0.7402121504339441,2
sex,female,0.765625,2
race,Caucasian,0.8241758241758241,4
race,African-American,0.7417140944091062,4
race,Hispanic,0.9807692307692308,4
race,Other,0.9615384615384616,4
sex,male,0.7758268301746563,4
sex,female,0.8719999999999999,4
