Attribute,Attribute Value,AUC,fold_num
race,Other,0.2692307692307692,1
race,Caucasian,0.7584745762711863,1
race,African-American,0.7020123839009288,1
race,Hispanic,0.7999999999999999,1
sex,male,0.7257119889756546,1
sex,female,0.6020408163265306,1
race,African-American,0.7419554455445545,2
race,Other,0.7352941176470588,2
race,Caucasian,0.768009768009768,2
race,Hispanic,0.5588235294117647,2
sex,male,0.7485535197685631,2
sex,female,0.5989583333333333,2
race,Caucasian,0.7925824175824177,4
race,African-American,0.7106628724472716,4
race,Hispanic,0.6923076923076923,4
race,Other,0.9423076923076923,4
sex,male,0.7278428093645484,4
sex,female,0.8480000000000001,4
