Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5535882352941176,0
race,Hispanic,0.6746031746031746,0
race,Caucasian,0.6802884615384616,0
race,Other,0.7763157894736843,0
sex,male,0.5859958278436539,0
sex,female,0.7655502392344498,0
race,Other,0.5757575757575757,1
race,Caucasian,0.6482479784366577,1
race,African-American,0.6185784658691063,1
race,Hispanic,0.6847826086956522,1
sex,male,0.6182952734997345,1
sex,female,0.7571428571428571,1
race,African-American,0.6317963603885229,2
race,Other,0.675,2
race,Caucasian,0.7445283018867924,2
race,Hispanic,0.6474358974358975,2
sex,male,0.6610515326943153,2
sex,female,0.7862318840579711,2
race,African-American,0.5830783180324153,3
race,Caucasian,0.7446002273588481,3
race,Hispanic,0.6346153846153846,3
race,Other,0.625,3
sex,male,0.6407291433683739,3
sex,female,0.7564102564102564,3
race,Caucasian,0.8278481012658226,4
race,African-American,0.6226933443914576,4
race,Hispanic,0.7777777777777778,4
race,Other,0.6260869565217392,4
sex,male,0.6873415716096324,4
sex,female,0.6696428571428571,4
