Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5624705882352941,0
race,Hispanic,0.5158730158730158,0
race,Caucasian,0.596875,0
race,Other,0.4736842105263158,0
sex,male,0.5573397013614405,0
sex,female,0.6411483253588517,0
race,Other,0.40909090909090906,1
race,Caucasian,0.6143306379155437,1
race,African-American,0.5541285479709125,1
race,Hispanic,0.7554347826086957,1
sex,male,0.5800318640467339,1
sex,female,0.5603174603174603,1
race,African-American,0.6911354248074131,2
race,Other,0.6833333333333333,2
race,Caucasian,0.6977358490566037,2
race,Hispanic,0.7435897435897436,2
sex,male,0.6851096137420519,2
sex,female,0.798913043478261,2
race,African-American,0.598662586421852,3
race,Caucasian,0.7129594543387646,3
race,Hispanic,0.5769230769230769,3
race,Other,0.5208333333333333,3
sex,male,0.6191456050100649,3
sex,female,0.8044871794871795,3
race,Caucasian,0.6645569620253164,4
race,African-American,0.5956873315363882,4
race,Hispanic,0.888888888888889,4
race,Other,0.7434782608695651,4
sex,male,0.6331854668356569,4
sex,female,0.5922619047619048,4
