Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5627058823529412,0
race,Hispanic,0.47619047619047616,0
race,Caucasian,0.6192307692307693,0
race,Other,0.6578947368421053,0
sex,male,0.5839920948616601,0
sex,female,0.65311004784689,0
race,Other,0.5303030303030303,1
race,Caucasian,0.7371967654986522,1
race,African-American,0.696809758386113,1
race,Hispanic,0.5434782608695652,1
sex,male,0.7079925650557621,1
sex,female,0.5714285714285714,1
race,African-American,0.6517807301551859,2
race,Other,0.625,2
race,Caucasian,0.6069811320754717,2
race,Hispanic,0.5128205128205128,2
sex,male,0.6242289076587264,2
sex,female,0.6594202898550725,2
race,African-American,0.6603762892440213,3
race,Caucasian,0.6540356195528609,3
race,Hispanic,0.6794871794871795,3
race,Other,0.5972222222222222,3
sex,male,0.6489152314918363,3
sex,female,0.6057692307692307,3
race,Caucasian,0.5629746835443038,4
race,African-American,0.6198424217292142,4
race,Hispanic,0.8703703703703703,4
race,Other,0.6782608695652175,4
sex,male,0.6241814533164344,4
sex,female,0.5491071428571429,4
