Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5867058823529412,0
race,Hispanic,0.47619047619047616,0
race,Caucasian,0.5788461538461539,0
race,Other,0.6578947368421053,0
sex,male,0.5953008344312691,0
sex,female,0.6315789473684211,0
race,Other,0.5757575757575757,1
race,Caucasian,0.6796945193171609,1
race,African-American,0.6561107201501292,1
race,Hispanic,0.6304347826086956,1
sex,male,0.6592671269251195,1
sex,female,0.6634920634920634,1
race,African-American,0.7069331249302222,2
race,Other,0.7333333333333334,2
race,Caucasian,0.7675471698113208,2
race,Hispanic,0.7820512820512822,2
sex,male,0.7126791306823574,2
sex,female,0.7898550724637682,2
race,African-American,0.6774339793720956,3
race,Caucasian,0.742326638878363,3
race,Hispanic,0.641025641025641,3
race,Other,0.5694444444444444,3
sex,male,0.6753299038246477,3
sex,female,0.8717948717948717,3
race,Caucasian,0.7683544303797468,4
race,African-American,0.6375699771926189,4
race,Hispanic,1.0,4
race,Other,0.8,4
sex,male,0.693546683565695,4
sex,female,0.6755952380952381,4
