Attribute,Attribute Value,AUC,fold_num
race,African-American,0.5497647058823529,0
race,Hispanic,0.4365079365079365,0
race,Caucasian,0.590625,0
race,Other,0.5263157894736843,0
sex,male,0.5477053140096619,0
sex,female,0.7511961722488038,0
race,Other,0.45454545454545453,1
race,Caucasian,0.6453279424977538,1
race,African-American,0.5910157166314801,1
race,Hispanic,0.657608695652174,1
sex,male,0.6014338821030271,1
sex,female,0.653968253968254,1
race,African-American,0.6994529418332031,2
race,Other,0.625,2
race,Caucasian,0.7320754716981133,2
race,Hispanic,0.8397435897435899,2
sex,male,0.6990604536395558,2
sex,female,0.891304347826087,2
race,African-American,0.6333446673467076,3
race,Caucasian,0.7913982569154984,3
race,Hispanic,0.5961538461538461,3
race,Other,0.5486111111111112,3
sex,male,0.6700738089912771,3
sex,female,0.8397435897435898,3
race,Caucasian,0.7851265822784811,4
race,African-American,0.6286025295459258,4
race,Hispanic,0.8333333333333334,4
race,Other,0.8086956521739131,4
sex,male,0.6859949302915082,4
sex,female,0.6264880952380951,4
