,CART,EBM,Lasso Stumps,RiskSLIM,Performance Range,Arnold PSA,Compas
,,,,,,,
General,0.549 (0.021),0.622 (0.022),0.62 (0.019),0.585 (0.021),0.074,0.577 (0.018),0.609 (0.019)
,,,,,,,
Violent,0.631 (0.05),0.68 (0.04),0.676 (0.029),0.671 (0.039),0.049,0.675 (0.038),0.609 (0.047)
,,,,,,,
Drug,0.569 (0.074),0.672 (0.043),0.656 (0.068),0.65 (0.068),0.102,0.498 (0.057),0.597 (0.05)
,,,,,,,
Property,0.637 (0.052),0.725 (0.031),0.725 (0.036),0.703 (0.023),0.089,0.626 (0.029),0.64 (0.035)
,,,,,,,
Felony,0.513 (0.014),0.606 (0.049),0.574 (0.036),0.561 (0.045),0.093,0.58 (0.052),0.624 (0.051)
,,,,,,,
Misdemeanor,0.535 (0.021),0.608 (0.042),0.582 (0.036),0.576 (0.024),0.073,0.556 (0.03),0.569 (0.024)
