Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.019740971073201347,35054,0
race,African-American,0.0,0.1,0.013825503355704698,7450,0
race,Other,0.0,0.1,0.006166495375128468,973,0
race,Caucasian,0.0,0.1,0.020628209857276623,35243,1
race,African-American,0.0,0.1,0.014665570175438597,7296,1
race,Other,0.0,0.1,0.003083247687564234,973,1
race,African-American,0.0,0.1,0.015052617556946849,7507,2
race,Caucasian,0.0,0.1,0.020385050962627407,35320,2
race,Other,0.0,0.1,0.006750241080038573,1037,2
race,Caucasian,0.0,0.1,0.020926166168424614,35458,3
race,African-American,0.0,0.1,0.017562254259501964,7630,3
race,Other,0.0,0.1,0.009708737864077669,1030,3
race,Caucasian,0.0,0.1,0.01966626936829559,35238,4
race,Other,0.0,0.1,0.005870841487279843,1022,4
race,African-American,0.0,0.1,0.015052888527257934,7374,4
race,Caucasian,0.1,0.2,0.10797546012269939,815,0
race,African-American,0.1,0.2,0.12903225806451613,186,0
race,Other,0.1,0.2,0.18181818181818182,11,0
race,Caucasian,0.1,0.2,0.10273972602739725,876,1
race,African-American,0.1,0.2,0.06474820143884892,139,1
race,Other,0.1,0.2,0.0,6,1
race,African-American,0.1,0.2,0.07920792079207921,101,2
race,Caucasian,0.1,0.2,0.08644400785854617,509,2
race,Other,0.1,0.2,0.0,4,2
race,Caucasian,0.1,0.2,0.15669515669515668,351,3
race,African-American,0.1,0.2,0.10869565217391304,46,3
race,Other,0.1,0.2,0.0,2,3
race,Caucasian,0.1,0.2,0.1279683377308707,758,4
race,Other,0.1,0.2,0.25,4,4
race,African-American,0.1,0.2,0.11920529801324503,151,4
race,Caucasian,0.2,0.3,0.18181818181818182,55,0
race,African-American,0.2,0.3,0.125,8,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.125,24,1
race,African-American,0.2,0.3,0.0,2,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.3333333333333333,9,2
race,Caucasian,0.2,0.3,0.16666666666666666,48,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.09375,32,3
race,African-American,0.2,0.3,0.0,9,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.3333333333333333,12,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.25,4,4
race,Caucasian,0.3,0.4,0.0,3,0
race,African-American,0.3,0.4,0.0,2,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.5,4,1
race,African-American,0.3,0.4,1.0,2,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.0,3,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.2,10,3
race,African-American,0.3,0.4,0.0,1,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,1,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.0,5,2
race,Caucasian,0.4,0.5,0.16666666666666666,6,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,0.0,4,0
race,African-American,0.5,0.6,0.0,2,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.0,1,1
race,African-American,0.5,0.6,0.0,1,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.0,1,2
race,Caucasian,0.5,0.6,0.25,8,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.5,4,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,Caucasian,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.0,1,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.4,5,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Caucasian,0.7,0.8,0.5,2,0
race,African-American,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
