Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.014384213029006181,8412,0
race,Caucasian,0.0,0.1,0.021036238690858754,40454,0
race,Other,0.0,0.1,0.007955449482895784,1257,0
race,Caucasian,0.0,0.1,0.0199009900990099,40400,1
race,African-American,0.0,0.1,0.016463342413833945,8443,1
race,Other,0.0,0.1,0.004713275726630008,1273,1
race,African-American,0.0,0.1,0.01650087770626097,8545,2
race,Caucasian,0.0,0.1,0.021626447756752064,40321,2
race,Other,0.0,0.1,0.007246376811594203,1242,2
race,Other,0.0,0.1,0.005847953216374269,1197,3
race,Caucasian,0.0,0.1,0.02203883974897465,40474,3
race,African-American,0.0,0.1,0.018590882178804027,8445,3
race,Caucasian,0.0,0.1,0.021228802053763176,40511,4
race,African-American,0.0,0.1,0.014647616760715573,8329,4
race,Other,0.0,0.1,0.003933910306845004,1271,4
race,African-American,0.1,0.2,0.25,4,0
race,Caucasian,0.1,0.2,0.14814814814814814,27,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.18181818181818182,22,1
race,African-American,0.1,0.2,0.5,4,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,0.0,3,2
race,Caucasian,0.1,0.2,0.22857142857142856,35,2
race,Other,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.14285714285714285,28,3
race,African-American,0.1,0.2,0.3333333333333333,3,3
race,Caucasian,0.1,0.2,0.26666666666666666,30,4
race,African-American,0.1,0.2,0.2,5,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.5,2,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,3,1
race,African-American,0.2,0.3,0.0,1,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.0,3,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.25,4,3
race,African-American,0.2,0.3,1.0,1,3
race,Caucasian,0.2,0.3,0.0,5,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.0,4,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.0,1,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,2,3
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,2,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.0,2,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,1.0,1,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.0,1,2
race,Other,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,1,3
race,African-American,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,1,4
race,African-American,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.0,1,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.0,2,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.0,2,2
race,Other,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.0,1,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.0,1,2
race,Other,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,1.0,1,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
