Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,,0,0
race,African-American,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Caucasian,0.1,0.2,,0,0
race,African-American,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Caucasian,0.2,0.3,0.0,11,0
race,African-American,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,6,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.0,2,2
race,Caucasian,0.2,0.3,0.0,16,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.0,5,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,4,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Caucasian,0.3,0.4,0.00261437908496732,765,0
race,African-American,0.3,0.4,0.0,201,0
race,Other,0.3,0.4,0.0,15,0
race,Caucasian,0.3,0.4,0.0,128,1
race,African-American,0.3,0.4,0.0,20,1
race,Other,0.3,0.4,0.0,1,1
race,African-American,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.08333333333333333,12,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.006756756756756757,444,3
race,African-American,0.3,0.4,0.0,106,3
race,Other,0.3,0.4,0.0,11,3
race,Caucasian,0.3,0.4,0.008287292817679558,362,4
race,Other,0.3,0.4,0.0,11,4
race,African-American,0.3,0.4,0.0,93,4
race,Caucasian,0.4,0.5,0.004688546550569324,1493,0
race,African-American,0.4,0.5,0.002277904328018223,439,0
race,Other,0.4,0.5,0.0,64,0
race,Caucasian,0.4,0.5,0.004943153732081068,2023,1
race,African-American,0.4,0.5,0.0,594,1
race,Other,0.4,0.5,0.0,84,1
race,African-American,0.4,0.5,0.0,555,2
race,Caucasian,0.4,0.5,0.0025214321734745334,1983,2
race,Other,0.4,0.5,0.0,77,2
race,Caucasian,0.4,0.5,0.006340057636887608,1735,3
race,African-American,0.4,0.5,0.002044989775051125,489,3
race,Other,0.4,0.5,0.0,78,3
race,Caucasian,0.4,0.5,0.0034782608695652175,1725,4
race,Other,0.4,0.5,0.0,80,4
race,African-American,0.4,0.5,0.0,482,4
race,Caucasian,0.5,0.6,0.003857566765578635,10110,0
race,African-American,0.5,0.6,0.002572898799313894,2332,0
race,Other,0.5,0.6,0.0,409,0
race,Caucasian,0.5,0.6,0.004539951573849879,9912,1
race,African-American,0.5,0.6,0.0013831258644536654,2169,1
race,Other,0.5,0.6,0.0,404,1
race,African-American,0.5,0.6,0.0018009905447996398,2221,2
race,Caucasian,0.5,0.6,0.005291543706115803,9827,2
race,Other,0.5,0.6,0.002506265664160401,399,2
race,Caucasian,0.5,0.6,0.0038767598449296063,9802,3
race,African-American,0.5,0.6,0.002697841726618705,2224,3
race,Other,0.5,0.6,0.0,423,3
race,Caucasian,0.5,0.6,0.004244139046079224,9896,4
race,Other,0.5,0.6,0.0,406,4
race,African-American,0.5,0.6,0.004094631483166515,2198,4
race,Caucasian,0.6,0.7,0.005896064719594131,7293,0
race,African-American,0.6,0.7,0.0023273855702094647,1289,0
race,Other,0.6,0.7,0.0,201,0
race,Caucasian,0.6,0.7,0.0054575986565911,7146,1
race,African-American,0.6,0.7,0.00529500756429652,1322,1
