Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.02103339232353709,34469,0
race,African-American,0.0,0.1,0.020639693821760525,7316,0
race,Other,0.0,0.1,0.00819672131147541,976,0
race,Caucasian,0.0,0.1,0.022346528154342304,35039,1
race,African-American,0.0,0.1,0.020305980528511822,7190,1
race,Other,0.0,0.1,0.0030864197530864196,972,1
race,African-American,0.0,0.1,0.021745152354570637,7220,2
race,Caucasian,0.0,0.1,0.01987025889778505,34222,2
race,Other,0.0,0.1,0.006815968841285297,1027,2
race,Caucasian,0.0,0.1,0.019192724481058257,33867,3
race,African-American,0.0,0.1,0.020444812819450202,7239,3
race,Other,0.0,0.1,0.012757605495583905,1019,3
race,Caucasian,0.0,0.1,0.02143973149701985,34562,4
race,Other,0.0,0.1,0.008858267716535433,1016,4
race,African-American,0.0,0.1,0.019406709176601054,7214,4
race,Caucasian,0.1,0.2,0.1128165771297007,1303,0
race,African-American,0.1,0.2,0.13448275862068965,290,0
race,Other,0.1,0.2,0.375,8,0
race,Caucasian,0.1,0.2,0.10032715376226826,917,1
race,African-American,0.1,0.2,0.11711711711711711,222,1
race,Other,0.1,0.2,0.16666666666666666,6,1
race,African-American,0.1,0.2,0.11956521739130435,368,2
race,Caucasian,0.1,0.2,0.1164850136239782,1468,2
race,Other,0.1,0.2,0.15384615384615385,13,2
race,Caucasian,0.1,0.2,0.1278648974668275,1658,3
race,African-American,0.1,0.2,0.12403100775193798,387,3
race,Other,0.1,0.2,0.25,12,3
race,Caucasian,0.1,0.2,0.13509060955518945,1214,4
race,Other,0.1,0.2,0.1,10,4
race,African-American,0.1,0.2,0.1,270,4
race,Caucasian,0.2,0.3,0.20300751879699247,133,0
race,African-American,0.2,0.3,0.17142857142857143,35,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.20786516853932585,178,1
race,African-American,0.2,0.3,0.2857142857142857,28,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.08823529411764706,34,2
race,Caucasian,0.2,0.3,0.22058823529411764,204,2
race,Other,0.2,0.3,0.0,1,2
race,Caucasian,0.2,0.3,0.18248175182481752,274,3
race,African-American,0.2,0.3,0.1276595744680851,47,3
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.18695652173913044,230,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.13333333333333333,45,4
race,Caucasian,0.3,0.4,0.3333333333333333,9,0
race,African-American,0.3,0.4,0.0,1,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.5,2,2
race,Caucasian,0.3,0.4,0.0,3,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.25,24,3
race,African-American,0.3,0.4,0.0,5,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,1.0,2,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.0,1,4
race,Caucasian,0.4,0.5,0.25,4,0
race,African-American,0.4,0.5,0.0,1,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.0,1,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.0,2,3
race,African-American,0.4,0.5,0.0,1,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.0,1,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,1.0,1,0
race,African-American,0.5,0.6,0.0,1,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.2222222222222222,9,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.0,3,3
race,African-American,0.5,0.6,0.0,2,3
race,Other,0.5,0.6,,0,3
