Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.024422239589148152,35828,0
race,African-American,0.0,0.1,0.02464604090194022,7628,0
race,Other,0.0,0.1,0.011178861788617886,984,0
race,Caucasian,0.0,0.1,0.02449851566184835,36043,1
race,African-American,0.0,0.1,0.023459619792368883,7417,1
race,Other,0.0,0.1,0.003067484662576687,978,1
race,African-American,0.0,0.1,0.02618076568872517,7601,2
race,Caucasian,0.0,0.1,0.024316619151433842,35778,2
race,Other,0.0,0.1,0.008645533141210375,1041,2
race,Caucasian,0.0,0.1,0.02508810203054204,35754,3
race,African-American,0.0,0.1,0.025577450084823178,7663,3
race,Other,0.0,0.1,0.015518913676042677,1031,3
race,Caucasian,0.0,0.1,0.025537484683078978,35908,4
race,Other,0.0,0.1,0.009746588693957114,1026,4
race,African-American,0.0,0.1,0.02264553083788464,7507,4
race,Caucasian,0.1,0.2,0.27710843373493976,83,0
race,African-American,0.1,0.2,0.3333333333333333,18,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.25925925925925924,81,1
race,African-American,0.1,0.2,0.3125,16,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,0.3333333333333333,15,2
race,Caucasian,0.1,0.2,0.17204301075268819,93,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,0.2878787878787879,66,3
race,African-American,0.1,0.2,0.375,16,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.34210526315789475,76,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,0.06666666666666667,15,4
race,Caucasian,0.2,0.3,0.21428571428571427,14,0
race,African-American,0.2,0.3,0.25,4,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.2,15,1
race,African-American,0.2,0.3,0.3333333333333333,6,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.0,5,2
race,Caucasian,0.2,0.3,0.2857142857142857,21,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.2,15,3
race,African-American,0.2,0.3,0.0,5,3
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.2,15,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,0.4,5,4
race,Caucasian,0.3,0.4,0.0,5,0
race,African-American,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.5714285714285714,7,1
race,African-American,0.3,0.4,0.0,2,1
race,Other,0.3,0.4,1.0,1,1
race,African-American,0.3,0.4,0.0,1,2
race,Caucasian,0.3,0.4,0.42857142857142855,7,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.2,10,3
race,African-American,0.3,0.4,0.0,1,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,1,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,0.3333333333333333,3,0
race,African-American,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.6666666666666666,3,1
race,African-American,0.4,0.5,0.0,1,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.3333333333333333,3,2
race,Caucasian,0.4,0.5,0.0,2,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.2,5,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.4,5,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,1.0,1,0
race,African-American,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.0,3,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.25,4,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.0,2,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,2,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,0.0,1,4
race,Caucasian,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,1.0,1,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,1.0,1,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.0,2,3
race,African-American,0.6,0.7,0.0,1,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.0,3,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Caucasian,0.7,0.8,0.3333333333333333,3,0
race,African-American,0.7,0.8,1.0,1,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.5,2,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.0,1,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Caucasian,0.8,0.9,,0,0
race,African-American,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Caucasian,0.9,1.0,1.0,1,0
race,African-American,0.9,1.0,1.0,1,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,1.0,2,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,0.3333333333333333,6,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,0.0,2,4
sex,male,0.0,0.1,0.025416530545573343,30610,0
sex,female,0.0,0.1,0.021402747650036153,13830,0
sex,male,0.0,0.1,0.025595935912465808,30708,1
sex,female,0.0,0.1,0.01995630007283321,13730,1
sex,male,0.0,0.1,0.02528172464478197,30615,2
sex,female,0.0,0.1,0.02202100688156465,13805,2
sex,male,0.0,0.1,0.025771680548750613,30615,3
sex,female,0.0,0.1,0.023133087544278175,13833,3
sex,female,0.0,0.1,0.021816595156715874,13751,4
sex,male,0.0,0.1,0.025969371130661452,30690,4
sex,male,0.1,0.2,0.2894736842105263,76,0
sex,female,0.1,0.2,0.28,25,0
sex,male,0.1,0.2,0.25,72,1
sex,female,0.1,0.2,0.32,25,1
sex,male,0.1,0.2,0.20253164556962025,79,2
sex,female,0.1,0.2,0.1724137931034483,29,2
sex,male,0.1,0.2,0.328125,64,3
sex,female,0.1,0.2,0.2222222222222222,18,3
sex,female,0.1,0.2,0.25,20,4
sex,male,0.1,0.2,0.30985915492957744,71,4
sex,male,0.2,0.3,0.2857142857142857,14,0
sex,female,0.2,0.3,0.0,4,0
sex,male,0.2,0.3,0.23809523809523808,21,1
sex,female,0.2,0.3,,0,1
sex,male,0.2,0.3,0.22727272727272727,22,2
sex,female,0.2,0.3,0.25,4,2
sex,male,0.2,0.3,0.2,15,3
sex,female,0.2,0.3,0.0,6,3
sex,female,0.2,0.3,0.3333333333333333,6,4
sex,male,0.2,0.3,0.21428571428571427,14,4
sex,male,0.3,0.4,0.0,3,0
sex,female,0.3,0.4,0.0,2,0
sex,male,0.3,0.4,0.5555555555555556,9,1
sex,female,0.3,0.4,0.0,1,1
sex,male,0.3,0.4,0.2,5,2
sex,female,0.3,0.4,0.6666666666666666,3,2
sex,male,0.3,0.4,0.2222222222222222,9,3
sex,female,0.3,0.4,0.0,2,3
sex,female,0.3,0.4,,0,4
sex,male,0.3,0.4,0.0,1,4
sex,male,0.4,0.5,1.0,1,0
sex,female,0.4,0.5,0.0,2,0
sex,male,0.4,0.5,0.5,4,1
sex,female,0.4,0.5,,0,1
sex,male,0.4,0.5,0.25,4,2
sex,female,0.4,0.5,0.0,1,2
sex,male,0.4,0.5,0.3333333333333333,3,3
sex,female,0.4,0.5,0.0,2,3
sex,female,0.4,0.5,1.0,2,4
sex,male,0.4,0.5,0.0,3,4
sex,male,0.5,0.6,1.0,1,0
sex,female,0.5,0.6,,0,0
sex,male,0.5,0.6,0.0,3,1
sex,female,0.5,0.6,,0,1
sex,male,0.5,0.6,0.25,4,2
sex,female,0.5,0.6,,0,2
sex,male,0.5,0.6,0.0,2,3
sex,female,0.5,0.6,,0,3
sex,female,0.5,0.6,,0,4
sex,male,0.5,0.6,0.0,3,4
sex,male,0.6,0.7,,0,0
sex,female,0.6,0.7,,0,0
sex,male,0.6,0.7,1.0,1,1
sex,female,0.6,0.7,,0,1
sex,male,0.6,0.7,1.0,1,2
sex,female,0.6,0.7,,0,2
sex,male,0.6,0.7,0.0,2,3
sex,female,0.6,0.7,0.0,1,3
sex,female,0.6,0.7,0.0,2,4
sex,male,0.6,0.7,0.0,1,4
sex,male,0.7,0.8,0.5,4,0
sex,female,0.7,0.8,,0,0
sex,male,0.7,0.8,,0,1
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,0.5,2,2
sex,female,0.7,0.8,,0,2
sex,male,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,4
sex,male,0.7,0.8,0.0,1,4
sex,male,0.8,0.9,,0,0
