Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.03812651720691133,7003,0
race,Caucasian,0.0,0.1,0.033899300863639036,34042,0
race,Other,0.0,0.1,0.018092105263157895,1216,0
race,Caucasian,0.0,0.1,0.0357493967289302,33567,1
race,African-American,0.0,0.1,0.03555163801968562,6807,1
race,Other,0.0,0.1,0.01314708299096138,1217,1
race,African-American,0.0,0.1,0.03329555114763389,7058,2
race,Caucasian,0.0,0.1,0.03580426212987937,33739,2
race,Other,0.0,0.1,0.015833333333333335,1200,2
race,Other,0.0,0.1,0.013888888888888888,1152,3
race,Caucasian,0.0,0.1,0.0337251356238698,33180,3
race,African-American,0.0,0.1,0.03164744158532978,6762,3
race,Caucasian,0.0,0.1,0.03387899502308569,33354,4
race,African-American,0.0,0.1,0.03299643281807372,6728,4
race,Other,0.0,0.1,0.013223140495867768,1210,4
race,African-American,0.1,0.2,0.118,1000,0
race,Caucasian,0.1,0.2,0.14390406395736177,4503,0
race,Other,0.1,0.2,0.1,30,0
race,Caucasian,0.1,0.2,0.13524590163934427,5124,1
race,African-American,0.1,0.2,0.1200644641418211,1241,1
race,Other,0.1,0.2,0.08163265306122448,49,1
race,African-American,0.1,0.2,0.12533097969991175,1133,2
race,Caucasian,0.1,0.2,0.13974252491694353,4816,2
race,Other,0.1,0.2,0.0967741935483871,31,2
race,Other,0.1,0.2,0.06060606060606061,33,3
race,Caucasian,0.1,0.2,0.14487510766580533,5805,3
race,African-American,0.1,0.2,0.14296351451973194,1343,3
race,Caucasian,0.1,0.2,0.14322691975841242,5795,4
race,African-American,0.1,0.2,0.13477924089852827,1291,4
race,Other,0.1,0.2,0.021739130434782608,46,4
race,African-American,0.2,0.3,0.20987654320987653,324,0
race,Caucasian,0.2,0.3,0.24456521739130435,1472,0
race,Other,0.2,0.3,0.2222222222222222,9,0
race,Caucasian,0.2,0.3,0.25302061122956643,1407,1
race,African-American,0.2,0.3,0.22884012539184953,319,1
race,Other,0.2,0.3,0.14285714285714285,7,1
race,African-American,0.2,0.3,0.24479166666666666,192,2
race,Caucasian,0.2,0.3,0.22362869198312235,948,2
race,Other,0.2,0.3,0.2222222222222222,9,2
race,Other,0.2,0.3,0.3,10,3
race,Caucasian,0.2,0.3,0.25583756345177666,985,3
race,African-American,0.2,0.3,0.24669603524229075,227,3
race,Caucasian,0.2,0.3,0.2805816937553465,1169,4
race,African-American,0.2,0.3,0.28957528957528955,259,4
race,Other,0.2,0.3,0.18181818181818182,11,4
race,African-American,0.3,0.4,0.29508196721311475,61,0
race,Caucasian,0.3,0.4,0.32951289398280803,349,0
race,Other,0.3,0.4,0.0,1,0
race,Caucasian,0.3,0.4,0.34600760456273766,263,1
race,African-American,0.3,0.4,0.27586206896551724,58,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.2894736842105263,152,2
race,Caucasian,0.3,0.4,0.3,760,2
race,Other,0.3,0.4,0.5,2,2
race,Other,0.3,0.4,0.5,2,3
race,Caucasian,0.3,0.4,0.32516703786191536,449,3
race,African-American,0.3,0.4,0.25842696629213485,89,3
race,Caucasian,0.3,0.4,0.3333333333333333,147,4
race,African-American,0.3,0.4,0.3235294117647059,34,4
race,Other,0.3,0.4,0.0,2,4
race,African-American,0.4,0.5,0.21428571428571427,14,0
race,Caucasian,0.4,0.5,0.34782608695652173,46,0
race,Other,0.4,0.5,0.0,1,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.2222222222222222,9,2
race,Caucasian,0.4,0.5,0.5303030303030303,66,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.3488372093023256,43,3
race,African-American,0.4,0.5,0.3333333333333333,12,3
race,Caucasian,0.4,0.5,0.3783783783783784,37,4
race,African-American,0.4,0.5,0.46153846153846156,13,4
race,Other,0.4,0.5,1.0,1,4
race,African-American,0.5,0.6,0.5555555555555556,9,0
race,Caucasian,0.5,0.6,0.4444444444444444,54,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.3157894736842105,19,1
race,African-American,0.5,0.6,0.0,4,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.0,3,2
race,Caucasian,0.5,0.6,0.3333333333333333,6,2
race,Other,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.3333333333333333,3,3
race,African-American,0.5,0.6,0.0,2,3
race,Caucasian,0.5,0.6,0.45161290322580644,31,4
race,African-American,0.5,0.6,0.25,8,4
race,Other,0.5,0.6,1.0,1,4
race,African-American,0.6,0.7,0.0,1,0
race,Caucasian,0.6,0.7,0.0,4,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.3469387755102041,49,1
race,African-American,0.6,0.7,0.4666666666666667,15,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.6,5,2
race,Other,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.4444444444444444,27,3
race,African-American,0.6,0.7,0.9090909090909091,11,3
race,Caucasian,0.6,0.7,0.16666666666666666,6,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,0.0,2,0
race,Caucasian,0.7,0.8,0.6,5,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.5,2,2
race,Caucasian,0.7,0.8,0.3684210526315789,19,2
race,Other,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.0,3,3
race,African-American,0.7,0.8,1.0,1,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,1.0,1,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.0,3,2
race,Other,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.6666666666666666,3,3
race,African-American,0.8,0.9,0.0,2,3
race,Caucasian,0.8,0.9,0.75,4,4
race,African-American,0.8,0.9,0.0,1,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,0.0,1,2
race,Caucasian,0.9,1.0,1.0,1,2
race,Other,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.03492295384187276,28749,0
sex,female,0.0,0.1,0.03248963883955003,13512,0
sex,female,0.0,0.1,0.03014407092722571,13535,1
sex,male,0.0,0.1,0.0374251497005988,28056,1
sex,male,0.0,0.1,0.03669466802572845,28451,2
sex,female,0.0,0.1,0.03085781780599439,13546,2
sex,female,0.0,0.1,0.031546940326871914,13155,3
sex,male,0.0,0.1,0.03342997243995848,27939,3
sex,female,0.0,0.1,0.03323239969719909,13210,4
sex,male,0.0,0.1,0.033081689338366214,28082,4
sex,male,0.1,0.2,0.14022045629325813,3901,0
sex,female,0.1,0.2,0.13602941176470587,1632,0
sex,female,0.1,0.2,0.12450925406618059,1783,1
sex,male,0.1,0.2,0.13474411574174044,4631,1
sex,male,0.1,0.2,0.14196962724344225,4346,2
sex,female,0.1,0.2,0.1230110159118727,1634,2
sex,female,0.1,0.2,0.1316793893129771,2096,3
sex,male,0.1,0.2,0.14926253687315635,5085,3
sex,female,0.1,0.2,0.12807424593967517,2155,4
sex,male,0.1,0.2,0.14647377938517178,4977,4
sex,male,0.2,0.3,0.24263565891472869,1290,0
sex,female,0.2,0.3,0.22718446601941747,515,0
sex,female,0.2,0.3,0.2551867219917012,482,1
sex,male,0.2,0.3,0.2454036770583533,1251,1
sex,male,0.2,0.3,0.23974358974358975,780,2
sex,female,0.2,0.3,0.2005420054200542,369,2
sex,female,0.2,0.3,0.2514124293785311,354,3
sex,male,0.2,0.3,0.2557603686635945,868,3
sex,female,0.2,0.3,0.23929471032745592,397,4
sex,male,0.2,0.3,0.29750479846449135,1042,4
sex,male,0.3,0.4,0.3288135593220339,295,0
sex,female,0.3,0.4,0.3103448275862069,116,0
sex,female,0.3,0.4,0.38202247191011235,89,1
sex,male,0.3,0.4,0.3146551724137931,232,1
sex,male,0.3,0.4,0.3063063063063063,666,2
sex,female,0.3,0.4,0.2782258064516129,248,2
sex,female,0.3,0.4,0.2721518987341772,158,3
sex,male,0.3,0.4,0.3324607329842932,382,3
sex,female,0.3,0.4,0.4,55,4
sex,male,0.3,0.4,0.296875,128,4
sex,male,0.4,0.5,0.1951219512195122,41,0
sex,female,0.4,0.5,0.55,20,0
sex,female,0.4,0.5,,0,1
sex,male,0.4,0.5,,0,1
sex,male,0.4,0.5,0.5254237288135594,59,2
sex,female,0.4,0.5,0.375,16,2
sex,female,0.4,0.5,0.4,10,3
sex,male,0.4,0.5,0.3333333333333333,45,3
sex,female,0.4,0.5,0.2857142857142857,14,4
sex,male,0.4,0.5,0.4594594594594595,37,4
sex,male,0.5,0.6,0.46808510638297873,47,0
sex,female,0.5,0.6,0.4375,16,0
sex,female,0.5,0.6,0.2222222222222222,9,1
sex,male,0.5,0.6,0.2857142857142857,14,1
sex,male,0.5,0.6,0.5,4,2
sex,female,0.5,0.6,0.0,5,2
sex,female,0.5,0.6,,0,3
sex,male,0.5,0.6,0.2,5,3
sex,female,0.5,0.6,0.5833333333333334,12,4
sex,male,0.5,0.6,0.35714285714285715,28,4
sex,male,0.6,0.7,0.0,4,0
sex,female,0.6,0.7,0.0,1,0
sex,female,0.6,0.7,0.3181818181818182,22,1
sex,male,0.6,0.7,0.40476190476190477,42,1
sex,male,0.6,0.7,0.75,4,2
sex,female,0.6,0.7,0.0,1,2
sex,female,0.6,0.7,0.4166666666666667,12,3
sex,male,0.6,0.7,0.6538461538461539,26,3
sex,female,0.6,0.7,0.0,1,4
sex,male,0.6,0.7,0.2,5,4
sex,male,0.7,0.8,0.3333333333333333,6,0
sex,female,0.7,0.8,1.0,1,0
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,,0,1
sex,male,0.7,0.8,0.25,12,2
sex,female,0.7,0.8,0.5555555555555556,9,2
sex,female,0.7,0.8,0.0,2,3
sex,male,0.7,0.8,0.5,2,3
sex,female,0.7,0.8,,0,4
sex,male,0.7,0.8,,0,4
sex,male,0.8,0.9,,0,0
sex,female,0.8,0.9,1.0,1,0
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,,0,1
sex,male,0.8,0.9,0.0,1,2
sex,female,0.8,0.9,0.0,2,2
sex,female,0.8,0.9,1.0,1,3
sex,male,0.8,0.9,0.25,4,3
sex,female,0.8,0.9,0.5,2,4
sex,male,0.8,0.9,0.6666666666666666,3,4
sex,male,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,,0,1
sex,male,0.9,1.0,0.5,2,2
sex,female,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,3
sex,male,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,4
sex,male,0.9,1.0,,0,4
