Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.05137905784720527,8194,0
race,Caucasian,0.0,0.1,0.05025904104022755,39376,0
race,Other,0.0,0.1,0.020783373301358914,1251,0
race,Caucasian,0.0,0.1,0.05133094348257189,39333,1
race,African-American,0.0,0.1,0.05039138943248532,8176,1
race,Other,0.0,0.1,0.015723270440251572,1272,1
race,African-American,0.0,0.1,0.04941685703979801,8317,2
race,Caucasian,0.0,0.1,0.05060185540136471,39129,2
race,Other,0.0,0.1,0.018593371059013743,1237,2
race,Other,0.0,0.1,0.016764459346186086,1193,3
race,Caucasian,0.0,0.1,0.05160210061648527,39417,3
race,African-American,0.0,0.1,0.051091330325570054,8201,3
race,Caucasian,0.0,0.1,0.051039553752535494,39440,4
race,African-American,0.0,0.1,0.04998144253371273,8083,4
race,Other,0.0,0.1,0.014263074484944533,1262,4
race,African-American,0.1,0.2,0.24113475177304963,141,0
race,Caucasian,0.1,0.2,0.2549618320610687,655,0
race,Other,0.1,0.2,0.3333333333333333,3,0
race,Caucasian,0.1,0.2,0.2852664576802508,638,1
race,African-American,0.1,0.2,0.25161290322580643,155,1
race,Other,0.1,0.2,1.0,1,1
race,African-American,0.1,0.2,0.2097902097902098,143,2
race,Caucasian,0.1,0.2,0.28,750,2
race,Other,0.1,0.2,0.25,4,2
race,Other,0.1,0.2,0.6666666666666666,3,3
race,Caucasian,0.1,0.2,0.29767441860465116,645,3
race,African-American,0.1,0.2,0.2916666666666667,144,3
race,Caucasian,0.1,0.2,0.2904191616766467,668,4
race,African-American,0.1,0.2,0.30864197530864196,162,4
race,Other,0.1,0.2,0.3333333333333333,6,4
race,African-American,0.2,0.3,0.1794871794871795,39,0
race,Caucasian,0.2,0.3,0.3537117903930131,229,0
race,Other,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.3217391304347826,230,1
race,African-American,0.2,0.3,0.296875,64,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.3,50,2
race,Caucasian,0.2,0.3,0.2863247863247863,234,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.34080717488789236,223,3
race,African-American,0.2,0.3,0.3559322033898305,59,3
race,Caucasian,0.2,0.3,0.33175355450236965,211,4
race,African-American,0.2,0.3,0.35714285714285715,42,4
race,Other,0.2,0.3,0.0,2,4
race,African-American,0.3,0.4,0.5384615384615384,13,0
race,Caucasian,0.3,0.4,0.39361702127659576,94,0
race,Other,0.3,0.4,0.0,1,0
race,Caucasian,0.3,0.4,0.3431372549019608,102,1
race,African-American,0.3,0.4,0.125,24,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.47619047619047616,21,2
race,Caucasian,0.3,0.4,0.3300970873786408,103,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.34065934065934067,91,3
race,African-American,0.3,0.4,0.15384615384615385,13,3
race,Caucasian,0.3,0.4,0.3465346534653465,101,4
race,African-American,0.3,0.4,0.4117647058823529,17,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.4,10,0
race,Caucasian,0.4,0.5,0.4807692307692308,52,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.38461538461538464,52,1
race,African-American,0.4,0.5,0.46153846153846156,13,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.16666666666666666,6,2
race,Caucasian,0.4,0.5,0.38333333333333336,60,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.38461538461538464,52,3
race,African-American,0.4,0.5,0.3333333333333333,15,3
race,Caucasian,0.4,0.5,0.43137254901960786,51,4
race,African-American,0.4,0.5,0.36363636363636365,11,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.36363636363636365,11,0
race,Caucasian,0.5,0.6,0.5,30,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.30303030303030304,33,1
race,African-American,0.5,0.6,0.5,6,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.4,5,2
race,Caucasian,0.5,0.6,0.6756756756756757,37,2
race,Other,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.36666666666666664,30,3
race,African-American,0.5,0.6,0.6666666666666666,9,3
race,Caucasian,0.5,0.6,0.3333333333333333,36,4
race,African-American,0.5,0.6,0.625,8,4
race,Other,0.5,0.6,1.0,1,4
race,African-American,0.6,0.7,0.0,3,0
race,Caucasian,0.6,0.7,0.375,16,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.45454545454545453,11,1
race,African-American,0.6,0.7,0.5,2,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.3333333333333333,3,2
race,Caucasian,0.6,0.7,0.5263157894736842,19,2
race,Other,0.6,0.7,1.0,1,2
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.4782608695652174,23,3
race,African-American,0.6,0.7,0.3333333333333333,3,3
race,Caucasian,0.6,0.7,0.5555555555555556,18,4
race,African-American,0.6,0.7,0.5,4,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,0.5,2,0
race,Caucasian,0.7,0.8,0.5,14,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.5,16,1
race,African-American,0.7,0.8,0.5,2,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.0,4,2
race,Caucasian,0.7,0.8,0.9166666666666666,12,2
race,Other,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.5454545454545454,11,3
race,African-American,0.7,0.8,0.6666666666666666,3,3
race,Caucasian,0.7,0.8,0.8,10,4
race,African-American,0.7,0.8,0.25,4,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,0.5,2,0
race,Caucasian,0.8,0.9,0.4166666666666667,12,0
race,Other,0.8,0.9,0.0,1,0
race,Caucasian,0.8,0.9,0.7,10,1
race,African-American,0.8,0.9,0.75,4,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.4444444444444444,9,2
race,Other,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.375,8,3
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.8333333333333334,6,4
race,African-American,0.8,0.9,0.5,2,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,0.0,1,0
race,Caucasian,0.9,1.0,0.8,5,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,0.6,10,1
race,African-American,0.9,1.0,1.0,2,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,1.0,1,2
race,Caucasian,0.9,1.0,0.45454545454545453,11,2
race,Other,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,0.7777777777777778,9,3
race,African-American,0.9,1.0,1.0,2,3
race,Caucasian,0.9,1.0,0.5555555555555556,9,4
race,African-American,0.9,1.0,1.0,1,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.05111524163568773,33356,0
sex,female,0.0,0.1,0.046621403168444875,15465,0
sex,female,0.0,0.1,0.043486639260020554,15568,1
sex,male,0.0,0.1,0.05341282028121519,33213,1
sex,male,0.0,0.1,0.05265533323303746,33235,2
sex,female,0.0,0.1,0.04298291040911445,15448,2
sex,female,0.0,0.1,0.047508241225518714,15471,3
sex,male,0.0,0.1,0.05212957408518296,33340,3
sex,female,0.0,0.1,0.047705002578648785,15512,4
sex,male,0.0,0.1,0.05094220539175908,33273,4
sex,male,0.1,0.2,0.252129471890971,587,0
sex,female,0.1,0.2,0.25471698113207547,212,0
sex,female,0.1,0.2,0.30927835051546393,194,1
sex,male,0.1,0.2,0.27,600,1
sex,male,0.1,0.2,0.27177177177177175,666,2
sex,female,0.1,0.2,0.2597402597402597,231,2
sex,female,0.1,0.2,0.30851063829787234,188,3
sex,male,0.1,0.2,0.2947019867549669,604,3
sex,female,0.1,0.2,0.2617801047120419,191,4
sex,male,0.1,0.2,0.30387596899224806,645,4
sex,male,0.2,0.3,0.3121951219512195,205,0
sex,female,0.2,0.3,0.375,64,0
sex,female,0.2,0.3,0.32051282051282054,78,1
sex,male,0.2,0.3,0.3148148148148148,216,1
sex,male,0.2,0.3,0.3018867924528302,212,2
sex,female,0.2,0.3,0.25,72,2
sex,female,0.2,0.3,0.28169014084507044,71,3
sex,male,0.2,0.3,0.3632075471698113,212,3
sex,female,0.2,0.3,0.36764705882352944,68,4
sex,male,0.2,0.3,0.32085561497326204,187,4
sex,male,0.3,0.4,0.38461538461538464,78,0
sex,female,0.3,0.4,0.4666666666666667,30,0
sex,female,0.3,0.4,0.2857142857142857,35,1
sex,male,0.3,0.4,0.3076923076923077,91,1
sex,male,0.3,0.4,0.38202247191011235,89,2
