Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.03414996288047513,32328,0
race,Other,0.0,0.1,0.014107883817427386,1205,0
race,African-American,0.0,0.1,0.03369613836290443,6707,0
race,Caucasian,0.0,0.1,0.03426867873497864,32537,1
race,African-American,0.0,0.1,0.03566591422121896,6645,1
race,Other,0.0,0.1,0.0136986301369863,1168,1
race,African-American,0.0,0.1,0.03187894814161892,6807,2
race,Caucasian,0.0,0.1,0.03400452980050262,32231,2
race,Other,0.0,0.1,0.01488833746898263,1209,2
race,Caucasian,0.0,0.1,0.03351144330852148,32377,3
race,African-American,0.0,0.1,0.032521532521532524,6734,3
race,Other,0.0,0.1,0.012142237640936688,1153,3
race,Caucasian,0.0,0.1,0.033835969106289075,32628,4
race,African-American,0.0,0.1,0.03417375455650061,6584,4
race,Other,0.0,0.1,0.014925373134328358,1206,4
race,Caucasian,0.1,0.2,0.11195041642455937,5163,0
race,Other,0.1,0.2,0.09090909090909091,55,0
race,African-American,0.1,0.2,0.11023622047244094,1143,0
race,Caucasian,0.1,0.2,0.11327744199649055,5129,1
race,African-American,0.1,0.2,0.11407160699417153,1201,1
race,Other,0.1,0.2,0.06521739130434782,46,1
race,African-American,0.1,0.2,0.11363636363636363,1144,2
race,Caucasian,0.1,0.2,0.10465344590614568,5093,2
race,Other,0.1,0.2,0.023255813953488372,43,2
race,Caucasian,0.1,0.2,0.11629256965944272,5168,3
race,African-American,0.1,0.2,0.11524500907441017,1102,3
race,Other,0.1,0.2,0.11904761904761904,42,3
race,Caucasian,0.1,0.2,0.11376542001174858,5107,4
race,African-American,0.1,0.2,0.10788757932910245,1103,4
race,Other,0.1,0.2,0.061224489795918366,49,4
race,Caucasian,0.2,0.3,0.23019634394041977,2954,0
race,Other,0.2,0.3,0.5714285714285714,14,0
race,African-American,0.2,0.3,0.2227891156462585,588,0
race,Caucasian,0.2,0.3,0.2335223245924876,2822,1
race,African-American,0.2,0.3,0.20672268907563024,595,1
race,Other,0.2,0.3,0.23076923076923078,13,1
race,African-American,0.2,0.3,0.20133111480865223,601,2
race,Caucasian,0.2,0.3,0.25107794361525704,3015,2
race,Other,0.2,0.3,0.08333333333333333,12,2
race,Caucasian,0.2,0.3,0.23102866779089376,2965,3
race,African-American,0.2,0.3,0.225,600,3
race,Other,0.2,0.3,0.21428571428571427,14,3
race,Caucasian,0.2,0.3,0.2361898016997167,2824,4
race,African-American,0.2,0.3,0.24261275272161742,643,4
race,Other,0.2,0.3,0.09090909090909091,11,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
