Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.031308552432759144,33090,0
race,African-American,0.0,0.1,0.03066071685619692,6947,0
race,Other,0.0,0.1,0.007186858316221766,974,0
race,Caucasian,0.0,0.1,0.030958335875068625,32786,1
race,African-American,0.0,0.1,0.02791802791802792,6734,1
race,Other,0.0,0.1,0.006256517205422315,959,1
race,African-American,0.0,0.1,0.034970857618651124,7206,2
race,Caucasian,0.0,0.1,0.032674727219109405,33910,2
race,Other,0.0,0.1,0.007797270955165692,1026,2
race,Caucasian,0.0,0.1,0.03294735585531813,33508,3
race,African-American,0.0,0.1,0.03480924533556112,7182,3
race,Other,0.0,0.1,0.01383399209486166,1012,3
race,Caucasian,0.0,0.1,0.031409788166544925,32856,4
race,Other,0.0,0.1,0.011857707509881422,1012,4
race,African-American,0.0,0.1,0.0267208829509149,6886,4
race,Caucasian,0.1,0.2,0.14001766784452296,2264,0
race,African-American,0.1,0.2,0.11131059245960502,557,0
race,Other,0.1,0.2,0.25,8,0
race,Caucasian,0.1,0.2,0.133781512605042,2975,1
race,African-American,0.1,0.2,0.11570247933884298,605,1
race,Other,0.1,0.2,0.05555555555555555,18,1
race,African-American,0.1,0.2,0.15041782729805014,359,2
race,Caucasian,0.1,0.2,0.14548591144335826,1739,2
race,Other,0.1,0.2,0.14285714285714285,14,2
race,Caucasian,0.1,0.2,0.1417910447761194,1742,3
race,African-American,0.1,0.2,0.1276595744680851,376,3
race,Other,0.1,0.2,0.1111111111111111,18,3
race,Caucasian,0.1,0.2,0.14161073825503356,2980,4
race,Other,0.1,0.2,0.15384615384615385,13,4
race,African-American,0.1,0.2,0.1322314049586777,605,4
race,Caucasian,0.2,0.3,0.19881889763779528,508,0
race,African-American,0.2,0.3,0.1935483870967742,124,0
race,Other,0.2,0.3,0.0,2,0
race,Caucasian,0.2,0.3,0.21561338289962825,269,1
race,African-American,0.2,0.3,0.07407407407407407,54,1
race,Other,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,0.24324324324324326,37,2
race,Caucasian,0.2,0.3,0.18518518518518517,162,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.19499105545617174,559,3
race,African-American,0.2,0.3,0.20689655172413793,116,3
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.23076923076923078,104,4
race,Other,0.2,0.3,0.0,1,4
race,African-American,0.2,0.3,0.17391304347826086,23,4
race,Caucasian,0.3,0.4,0.21621621621621623,37,0
race,African-American,0.3,0.4,0.46153846153846156,13,0
race,Other,0.3,0.4,,0,0
