Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.03934912899792752,35706,0
race,African-American,0.0,0.1,0.038512092534174557,7608,0
race,Other,0.0,0.1,0.009146341463414634,984,0
race,Caucasian,0.0,0.1,0.04003117866488503,35922,1
race,African-American,0.0,0.1,0.03530844155844156,7392,1
race,Other,0.0,0.1,0.007157464212678937,978,1
race,African-American,0.0,0.1,0.040185062789160605,7565,2
race,Caucasian,0.0,0.1,0.03799988782320938,35658,2
race,Other,0.0,0.1,0.009624639076034648,1039,2
race,Caucasian,0.0,0.1,0.03935835487133386,35596,3
race,African-American,0.0,0.1,0.04086444007858546,7635,3
race,Other,0.0,0.1,0.01556420233463035,1028,3
race,Caucasian,0.0,0.1,0.039926238439831244,35791,4
race,Other,0.0,0.1,0.01364522417153996,1026,4
race,African-American,0.0,0.1,0.03475471193690683,7481,4
race,Caucasian,0.1,0.2,0.28104575163398693,153,0
race,African-American,0.1,0.2,0.21428571428571427,28,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.2085889570552147,163,1
race,African-American,0.1,0.2,0.23684210526315788,38,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,0.2,40,2
race,Caucasian,0.1,0.2,0.2138364779874214,159,2
race,Other,0.1,0.2,0.5,2,2
race,Caucasian,0.1,0.2,0.24691358024691357,162,3
race,African-American,0.1,0.2,0.35714285714285715,28,3
race,Other,0.1,0.2,0.0,1,3
race,Caucasian,0.1,0.2,0.26973684210526316,152,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,0.18181818181818182,33,4
race,Caucasian,0.2,0.3,0.275,40,0
race,African-American,0.2,0.3,0.5,6,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.32432432432432434,37,1
race,African-American,0.2,0.3,0.25,8,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.5714285714285714,7,2
race,Caucasian,0.2,0.3,0.28205128205128205,39,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,0.3181818181818182,44,3
race,African-American,0.2,0.3,0.5,8,3
race,Other,0.2,0.3,0.0,2,3
race,Caucasian,0.2,0.3,0.36363636363636365,33,4
race,Other,0.2,0.3,,0,4
