Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.010101010101010102,495,0
race,Caucasian,0.4,0.5,0.006958250497017893,4024,0
race,Other,0.4,0.5,0.0,113,0
race,Caucasian,0.4,0.5,0.008720024914356897,3211,1
race,African-American,0.4,0.5,0.005813953488372093,344,1
race,Other,0.4,0.5,0.012987012987012988,77,1
race,African-American,0.4,0.5,0.009009009009009009,555,2
race,Caucasian,0.4,0.5,0.006669733210671573,4348,2
race,Other,0.4,0.5,0.0,111,2
race,Other,0.4,0.5,0.0,107,3
race,Caucasian,0.4,0.5,0.005433498700685093,4233,3
race,African-American,0.4,0.5,0.0076045627376425855,526,3
race,Caucasian,0.4,0.5,0.00399800099950025,4002,4
race,African-American,0.4,0.5,0.007434944237918215,538,4
race,Other,0.4,0.5,0.010416666666666666,96,4
race,African-American,0.5,0.6,0.019453207150368034,3804,0
race,Caucasian,0.5,0.6,0.016706174511795915,17718,0
race,Other,0.5,0.6,0.008244994110718492,849,0
race,Caucasian,0.5,0.6,0.015407150219714642,18433,1
race,African-American,0.5,0.6,0.013610888710968775,3747,1
race,Other,0.5,0.6,0.0044444444444444444,900,1
race,African-American,0.5,0.6,0.01350635593220339,3776,2
race,Caucasian,0.5,0.6,0.017827457724276297,17445,2
race,Other,0.5,0.6,0.0048484848484848485,825,2
race,Other,0.5,0.6,0.005973715651135006,837,3
race,Caucasian,0.5,0.6,0.016585849680405555,18148,3
race,African-American,0.5,0.6,0.0161837640302793,3831,3
race,Caucasian,0.5,0.6,0.016815315571209452,17603,4
race,African-American,0.5,0.6,0.01917113053284466,3547,4
race,Other,0.5,0.6,0.005793742757821553,863,4
race,African-American,0.6,0.7,0.030107526881720432,1395,0
race,Caucasian,0.6,0.7,0.03072445019404916,6184,0
race,Other,0.6,0.7,0.022857142857142857,175,0
race,Caucasian,0.6,0.7,0.03737240698057293,6074,1
race,African-American,0.6,0.7,0.03558718861209965,1405,1
race,Other,0.6,0.7,0.005813953488372093,172,1
race,African-American,0.6,0.7,0.019508670520231215,1384,2
race,Caucasian,0.6,0.7,0.03774823568028886,6093,2
race,Other,0.6,0.7,0.029239766081871343,171,2
race,Other,0.6,0.7,0.006622516556291391,151,3
race,Caucasian,0.6,0.7,0.03337633021605933,6202,3
race,African-American,0.6,0.7,0.025252525252525252,1386,3
race,Caucasian,0.6,0.7,0.03107832365405745,6371,4
race,African-American,0.6,0.7,0.02373887240356083,1348,4
race,Other,0.6,0.7,0.00546448087431694,183,4
race,African-American,0.7,0.8,0.0389948006932409,1154,0
race,Caucasian,0.7,0.8,0.047855696668507273,5433,0
race,Other,0.7,0.8,0.014084507042253521,71,0
race,Caucasian,0.7,0.8,0.04935583378697151,5511,1
race,African-American,0.7,0.8,0.033672670321064996,1277,1
race,Other,0.7,0.8,0.012987012987012988,77,1
race,African-American,0.7,0.8,0.048599670510708404,1214,2
race,Caucasian,0.7,0.8,0.04613953488372093,5375,2
race,Other,0.7,0.8,0.0,83,2
race,Other,0.7,0.8,0.07936507936507936,63,3
race,Caucasian,0.7,0.8,0.05512260026610911,5261,3
race,African-American,0.7,0.8,0.048053024026512015,1207,3
race,Caucasian,0.7,0.8,0.04791628419313383,5447,4
race,African-American,0.7,0.8,0.04717710750193349,1293,4
race,Other,0.7,0.8,0.0,71,4
race,African-American,0.8,0.9,0.08649602824360106,1133,0
race,Caucasian,0.8,0.9,0.08727695888285493,5156,0
race,Other,0.8,0.9,0.1,40,0
race,Caucasian,0.8,0.9,0.0907177033492823,5225,1
race,African-American,0.8,0.9,0.08175061932287365,1211,1
race,Other,0.8,0.9,0.046511627906976744,43,1
race,African-American,0.8,0.9,0.08677337826453244,1187,2
