Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.008703946583999046,8387,0
race,Caucasian,0.0,0.1,0.009186124247901552,40387,0
race,Other,0.0,0.1,0.0,1256,0
race,Caucasian,0.0,0.1,0.00819856525108106,40007,1
race,African-American,0.0,0.1,0.009583133684714902,8348,1
race,Other,0.0,0.1,0.0007861635220125787,1272,1
race,African-American,0.0,0.1,0.006725663716814159,8475,2
race,Caucasian,0.0,0.1,0.008761359642516443,39834,2
race,Other,0.0,0.1,0.003228410008071025,1239,2
race,Other,0.0,0.1,0.0033444816053511705,1196,3
race,Caucasian,0.0,0.1,0.007487479545792632,40334,3
race,African-American,0.0,0.1,0.007011289364230541,8415,3
race,Caucasian,0.0,0.1,0.008523290386521309,40360,4
race,African-American,0.0,0.1,0.009048136083966703,8289,4
race,Other,0.0,0.1,0.0007880220646178094,1269,4
race,African-American,0.1,0.2,0.13333333333333333,15,0
race,Caucasian,0.1,0.2,0.047619047619047616,63,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.09210526315789473,380,1
race,African-American,0.1,0.2,0.12359550561797752,89,1
race,Other,0.1,0.2,0.0,1,1
race,African-American,0.1,0.2,0.18666666666666668,75,2
race,Caucasian,0.1,0.2,0.11909262759924386,529,2
race,Other,0.1,0.2,0.3333333333333333,3,2
race,Other,0.1,0.2,0.0,1,3
race,Caucasian,0.1,0.2,0.12121212121212122,165,3
race,African-American,0.1,0.2,0.125,32,3
race,Caucasian,0.1,0.2,0.0949367088607595,158,4
race,African-American,0.1,0.2,0.1,40,4
race,Other,0.1,0.2,0.0,2,4
race,African-American,0.2,0.3,0.0,5,0
race,Caucasian,0.2,0.3,0.08333333333333333,12,0
race,Other,0.2,0.3,0.0,1,0
race,Caucasian,0.2,0.3,0.07692307692307693,13,1
race,African-American,0.2,0.3,0.0,1,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.125,8,4
race,African-American,0.2,0.3,0.0,1,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.14285714285714285,7,0
race,Caucasian,0.3,0.4,0.16666666666666666,12,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.09090909090909091,22,1
race,African-American,0.3,0.4,0.1111111111111111,9,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.6666666666666666,6,3
race,African-American,0.3,0.4,0.0,1,3
race,Caucasian,0.3,0.4,0.14285714285714285,7,4
race,African-American,0.3,0.4,0.0,2,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.3333333333333333,3,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.0,1,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.0,1,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.4,5,4
race,African-American,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.5,2,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.0,5,1
race,African-American,0.7,0.8,0.0,1,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.0,1,2
race,Other,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.0,2,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.0,1,3
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,0.0,1,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.00884542402568968,34255,0
sex,female,0.0,0.1,0.008938193343898573,15775,0
sex,female,0.0,0.1,0.008206106870229008,15720,1
sex,male,0.0,0.1,0.008257881853304627,33907,1
sex,male,0.0,0.1,0.008309514688982526,33937,2
sex,female,0.0,0.1,0.008199346614566652,15611,2
sex,female,0.0,0.1,0.008719450101832994,15712,3
sex,male,0.0,0.1,0.0066602401191832444,34233,3
