Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.00891583452211127,8412,0
race,Caucasian,0.0,0.1,0.009265894097007734,40471,0
race,Other,0.0,0.1,0.0,1257,0
race,Caucasian,0.0,0.1,0.009007225576561417,40412,1
race,African-American,0.0,0.1,0.010895310279488394,8444,1
race,Other,0.0,0.1,0.0007855459544383347,1273,1
race,African-American,0.0,0.1,0.008304093567251461,8550,2
race,Caucasian,0.0,0.1,0.010085991128292816,40353,2
race,Other,0.0,0.1,0.004025764895330112,1242,2
race,Other,0.0,0.1,0.003341687552213868,1197,3
race,Caucasian,0.0,0.1,0.007927491850242023,40492,3
race,African-American,0.0,0.1,0.007223208999407934,8445,3
race,Caucasian,0.0,0.1,0.008979893918835575,40535,4
race,African-American,0.0,0.1,0.009486071085494716,8328,4
race,Other,0.0,0.1,0.0007874015748031496,1270,4
race,African-American,0.1,0.2,0.3333333333333333,3,0
race,Caucasian,0.1,0.2,0.2,10,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.0,12,1
race,African-American,0.1,0.2,0.0,4,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,0.5714285714285714,7,2
race,Other,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.2,10,3
race,African-American,0.1,0.2,0.5,2,3
race,Caucasian,0.1,0.2,0.14285714285714285,7,4
race,African-American,0.1,0.2,0.0,2,4
race,Other,0.1,0.2,0.0,1,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.0,1,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.5,4,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.5,2,3
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.0,1,4
race,African-American,0.2,0.3,0.0,2,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.0,1,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.5,2,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,1.0,1,3
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,1,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.5,2,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.0,1,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,0.0,1,3
race,Caucasian,0.4,0.5,0.0,1,4
race,African-American,0.4,0.5,0.5,2,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.3333333333333333,3,3
race,African-American,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,0.0,1,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.0,1,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.0,2,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,0.0,1,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,0.0,1,2
race,Other,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,1.0,1,3
race,Caucasian,0.8,0.9,0.5,2,4
race,African-American,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
