Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.006815968841285297,8216,0
race,Caucasian,0.0,0.1,0.007395547422994815,39348,0
race,Other,0.0,0.1,0.0,1253,0
race,Caucasian,0.0,0.1,0.007562492069534323,39405,1
race,African-American,0.0,0.1,0.008503401360544218,8232,1
race,Other,0.0,0.1,0.0007867820613690008,1271,1
race,African-American,0.0,0.1,0.006210438313627135,8373,2
race,Caucasian,0.0,0.1,0.008043511567335683,39162,2
race,Other,0.0,0.1,0.003236245954692557,1236,2
race,Other,0.0,0.1,0.0025188916876574307,1191,3
race,Caucasian,0.0,0.1,0.006058455220664656,39449,3
race,African-American,0.0,0.1,0.0060591371788657295,8252,3
race,Caucasian,0.0,0.1,0.007163287518667578,39507,4
race,African-American,0.0,0.1,0.007622326038849275,8134,4
race,Other,0.0,0.1,0.0007905138339920949,1265,4
race,African-American,0.1,0.2,0.1,200,0
race,Caucasian,0.1,0.2,0.07577092511013216,1135,0
race,Other,0.1,0.2,0.0,4,0
race,Caucasian,0.1,0.2,0.06796116504854369,1030,1
race,African-American,0.1,0.2,0.10185185185185185,216,1
race,Other,0.1,0.2,0.0,2,1
race,African-American,0.1,0.2,0.10734463276836158,177,2
race,Caucasian,0.1,0.2,0.08069883527454243,1202,2
race,Other,0.1,0.2,0.16666666666666666,6,2
race,Other,0.1,0.2,0.16666666666666666,6,3
race,Caucasian,0.1,0.2,0.0820754716981132,1060,3
race,African-American,0.1,0.2,0.06598984771573604,197,3
race,Caucasian,0.1,0.2,0.07957813998082454,1043,4
race,African-American,0.1,0.2,0.09,200,4
race,Other,0.1,0.2,0.0,6,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
