Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.0031446540880503146,318,0
race,Caucasian,0.3,0.4,0.0005530973451327434,3616,0
race,Other,0.3,0.4,0.0,120,0
race,Caucasian,0.3,0.4,0.00030807147258163895,3246,1
race,African-American,0.3,0.4,0.0,298,1
race,Other,0.3,0.4,0.0,91,1
race,African-American,0.3,0.4,0.0,412,2
race,Caucasian,0.3,0.4,0.0007057163020465773,4251,2
race,Other,0.3,0.4,0.0,126,2
race,Other,0.3,0.4,0.0,160,3
race,Caucasian,0.3,0.4,0.00018688095683049897,5351,3
race,African-American,0.3,0.4,0.0,558,3
race,Caucasian,0.3,0.4,0.0,3027,4
race,African-American,0.3,0.4,0.0,298,4
race,Other,0.3,0.4,0.0,113,4
race,African-American,0.4,0.5,0.001554001554001554,1287,0
race,Caucasian,0.4,0.5,0.0005462242250443807,7323,0
race,Other,0.4,0.5,0.0,247,0
race,Caucasian,0.4,0.5,0.0006935614379840481,8651,1
race,African-American,0.4,0.5,0.0006958942240779402,1437,1
race,Other,0.4,0.5,0.0,323,1
race,African-American,0.4,0.5,0.0006414368184733803,1559,2
race,Caucasian,0.4,0.5,0.0010500525026251313,8571,2
race,Other,0.4,0.5,0.0,295,2
race,Other,0.4,0.5,0.0,301,3
race,Caucasian,0.4,0.5,0.0005571030640668524,8975,3
race,African-American,0.4,0.5,0.001693002257336343,1772,3
race,Caucasian,0.4,0.5,0.0007471448393638595,9369,4
race,African-American,0.4,0.5,0.0006289308176100629,1590,4
race,Other,0.4,0.5,0.0,308,4
race,African-American,0.5,0.6,0.0017055144968732233,1759,0
race,Caucasian,0.5,0.6,0.002577319587628866,6984,0
race,Other,0.5,0.6,0.0,344,0
race,Caucasian,0.5,0.6,0.002016754576481539,6446,1
race,African-American,0.5,0.6,0.0025477707006369425,1570,1
race,Other,0.5,0.6,0.0,282,1
race,African-American,0.5,0.6,0.0,1649,2
race,Caucasian,0.5,0.6,0.0022935779816513763,6104,2
race,Other,0.5,0.6,0.0,257,2
race,Other,0.5,0.6,0.0,227,3
race,Caucasian,0.5,0.6,0.001884303749764462,5307,3
race,African-American,0.5,0.6,0.0015128593040847202,1322,3
race,Caucasian,0.5,0.6,0.0018951358180669614,6332,4
race,African-American,0.5,0.6,0.002028397565922921,1479,4
race,Other,0.5,0.6,0.0,271,4
race,African-American,0.6,0.7,0.0,1275,0
race,Caucasian,0.6,0.7,0.0028328611898017,5295,0
race,Other,0.6,0.7,0.0,211,0
race,Caucasian,0.6,0.7,0.0030643513789581204,4895,1
race,African-American,0.6,0.7,0.004962779156327543,1209,1
race,Other,0.6,0.7,0.0,224,1
race,African-American,0.6,0.7,0.0034129692832764505,1172,2
race,Caucasian,0.6,0.7,0.004629629629629629,4752,2
race,Other,0.6,0.7,0.0,212,2
race,Other,0.6,0.7,0.0,197,3
race,Caucasian,0.6,0.7,0.002793296089385475,4654,3
race,African-American,0.6,0.7,0.0008771929824561404,1140,3
race,Caucasian,0.6,0.7,0.001998001998001998,5005,4
race,African-American,0.6,0.7,0.0025951557093425604,1156,4
race,Other,0.6,0.7,0.0,218,4
race,African-American,0.7,0.8,0.0017683465959328027,1131,0
race,Caucasian,0.7,0.8,0.0055434567412393585,5051,0
race,Other,0.7,0.8,0.0,125,0
race,Caucasian,0.7,0.8,0.00628140703517588,5572,1
race,African-American,0.7,0.8,0.003228410008071025,1239,1
race,Other,0.7,0.8,0.0,152,1
race,African-American,0.7,0.8,0.008110300081103,1233,2
race,Caucasian,0.7,0.8,0.006015311702515494,5486,2
race,Other,0.7,0.8,0.006622516556291391,151,2
race,Other,0.7,0.8,0.0,144,3
race,Caucasian,0.7,0.8,0.004698103358273882,5747,3
race,African-American,0.7,0.8,0.002356637863315004,1273,3
race,Caucasian,0.7,0.8,0.0057306590257879654,5584,4
race,African-American,0.7,0.8,0.0024549918166939444,1222,4
race,Other,0.7,0.8,0.0,162,4
race,African-American,0.8,0.9,0.008468595624558928,1417,0
race,Caucasian,0.8,0.9,0.010268300761841669,6038,0
race,Other,0.8,0.9,0.0,149,0
race,Caucasian,0.8,0.9,0.011574074074074073,5616,1
race,African-American,0.8,0.9,0.01188707280832095,1346,1
race,Other,0.8,0.9,0.0,148,1
