Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.011341929321872016,8376,0
race,Caucasian,0.0,0.1,0.005744991704430082,40383,0
race,Other,0.0,0.1,0.0031821797931583136,1257,0
race,Caucasian,0.0,0.1,0.005993956506662704,40374,1
race,African-American,0.0,0.1,0.010697729704029478,8413,1
race,Other,0.0,0.1,0.0015723270440251573,1272,1
race,African-American,0.0,0.1,0.008873639375295788,8452,2
race,Caucasian,0.0,0.1,0.005460257305275756,40108,2
race,Other,0.0,0.1,0.002421307506053269,1239,2
race,Other,0.0,0.1,0.003341687552213868,1197,3
race,Caucasian,0.0,0.1,0.0054477020602218705,40384,3
race,African-American,0.0,0.1,0.008215263721871651,8399,3
race,Caucasian,0.0,0.1,0.005852718921321678,40494,4
race,African-American,0.0,0.1,0.010109519797809604,8309,4
race,Other,0.0,0.1,0.0007874015748031496,1270,4
race,African-American,0.1,0.2,0.0,34,0
race,Caucasian,0.1,0.2,0.08333333333333333,60,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.11428571428571428,35,1
race,African-American,0.1,0.2,0.16666666666666666,12,1
race,Other,0.1,0.2,0.0,1,1
race,African-American,0.1,0.2,0.13978494623655913,93,2
race,Caucasian,0.1,0.2,0.09163346613545817,251,2
race,Other,0.1,0.2,0.0,3,2
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.10256410256410256,78,3
race,African-American,0.1,0.2,0.17142857142857143,35,3
race,Caucasian,0.1,0.2,0.08,50,4
race,African-American,0.1,0.2,0.08333333333333333,24,4
race,Other,0.1,0.2,0.0,1,4
race,African-American,0.2,0.3,0.3333333333333333,3,0
race,Caucasian,0.2,0.3,0.20833333333333334,24,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.125,8,1
race,African-American,0.2,0.3,0.0,7,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.07894736842105263,38,3
race,African-American,0.2,0.3,0.16666666666666666,12,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.0,1,0
race,Caucasian,0.3,0.4,0.0,4,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.1,10,1
race,African-American,0.3,0.4,0.16666666666666666,6,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.5,4,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.0,3,3
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.3333333333333333,3,4
race,African-American,0.3,0.4,0.0,1,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.5,2,1
race,African-American,0.4,0.5,0.0,1,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.0,2,0
race,Caucasian,0.5,0.6,0.0,1,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.6666666666666666,3,3
race,African-American,0.5,0.6,0.5,2,3
race,Caucasian,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.5,2,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.0,1,1
race,African-American,0.6,0.7,0.0,2,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,1.0,2,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.0,1,2
race,Other,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.0,1,4
race,African-American,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.007858603564125037,34230,0
sex,female,0.0,0.1,0.00392753072342582,15786,0
sex,female,0.0,0.1,0.0033947318790469604,15907,1
sex,male,0.0,0.1,0.008198641368001873,34152,1
sex,male,0.0,0.1,0.007579318448883666,34040,2
sex,female,0.0,0.1,0.002474776318294308,15759,2
sex,female,0.0,0.1,0.003363584438662182,15757,3
sex,male,0.0,0.1,0.0070128276305408644,34223,3
sex,female,0.0,0.1,0.002840550435551067,15842,4
sex,male,0.0,0.1,0.008092080278110484,34231,4
sex,male,0.1,0.2,0.05405405405405406,74,0
sex,female,0.1,0.2,0.05,20,0
sex,female,0.1,0.2,0.0,11,1
sex,male,0.1,0.2,0.16216216216216217,37,1
sex,male,0.1,0.2,0.11594202898550725,276,2
sex,female,0.1,0.2,0.056338028169014086,71,2
sex,female,0.1,0.2,0.0,16,3
sex,male,0.1,0.2,0.14432989690721648,97,3
sex,female,0.1,0.2,0.0,4,4
sex,male,0.1,0.2,0.08450704225352113,71,4
sex,male,0.2,0.3,0.3,20,0
sex,female,0.2,0.3,0.0,7,0
sex,female,0.2,0.3,0.0,2,1
sex,male,0.2,0.3,0.07692307692307693,13,1
sex,male,0.2,0.3,,0,2
sex,female,0.2,0.3,,0,2
sex,female,0.2,0.3,0.2,15,3
sex,male,0.2,0.3,0.05714285714285714,35,3
sex,female,0.2,0.3,,0,4
sex,male,0.2,0.3,,0,4
sex,male,0.3,0.4,0.0,4,0
sex,female,0.3,0.4,0.0,1,0
sex,female,0.3,0.4,0.0,1,1
sex,male,0.3,0.4,0.13333333333333333,15,1
sex,male,0.3,0.4,0.5,4,2
sex,female,0.3,0.4,,0,2
sex,female,0.3,0.4,,0,3
sex,male,0.3,0.4,0.0,3,3
sex,female,0.3,0.4,1.0,1,4
sex,male,0.3,0.4,0.0,3,4
sex,male,0.4,0.5,,0,0
sex,female,0.4,0.5,,0,0
sex,female,0.4,0.5,,0,1
sex,male,0.4,0.5,0.3333333333333333,3,1
sex,male,0.4,0.5,,0,2
sex,female,0.4,0.5,,0,2
sex,female,0.4,0.5,,0,3
sex,male,0.4,0.5,,0,3
sex,female,0.4,0.5,,0,4
sex,male,0.4,0.5,,0,4
sex,male,0.5,0.6,0.0,3,0
sex,female,0.5,0.6,,0,0
sex,female,0.5,0.6,,0,1
sex,male,0.5,0.6,,0,1
sex,male,0.5,0.6,,0,2
sex,female,0.5,0.6,,0,2
sex,female,0.5,0.6,,0,3
sex,male,0.5,0.6,0.6,5,3
sex,female,0.5,0.6,,0,4
sex,male,0.5,0.6,,0,4
sex,male,0.6,0.7,1.0,1,0
sex,female,0.6,0.7,0.0,1,0
sex,female,0.6,0.7,0.0,1,1
sex,male,0.6,0.7,0.0,2,1
sex,male,0.6,0.7,,0,2
sex,female,0.6,0.7,,0,2
sex,female,0.6,0.7,,0,3
sex,male,0.6,0.7,,0,3
sex,female,0.6,0.7,,0,4
sex,male,0.6,0.7,,0,4
sex,male,0.7,0.8,,0,0
sex,female,0.7,0.8,,0,0
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,1.0,2,1
sex,male,0.7,0.8,0.0,1,2
sex,female,0.7,0.8,,0,2
sex,female,0.7,0.8,,0,3
sex,male,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,4
sex,male,0.7,0.8,,0,4
sex,male,0.8,0.9,,0,0
sex,female,0.8,0.9,,0,0
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,,0,1
sex,male,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,3
sex,male,0.8,0.9,,0,3
sex,female,0.8,0.9,,0,4
sex,male,0.8,0.9,0.0,1,4
sex,male,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,,0,1
sex,male,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,3
sex,male,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,4
sex,male,0.9,1.0,,0,4
