Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.01442672741078208,5268,0
race,Caucasian,0.0,0.1,0.010185185185185186,25920,0
race,Other,0.0,0.1,0.0,706,0
race,African-American,0.0,0.1,0.015509887553315239,5158,1
race,Caucasian,0.0,0.1,0.011023743447425224,25944,1
race,Other,0.0,0.1,0.0014204545454545455,704,1
race,Caucasian,0.0,0.1,0.010588962745401144,25876,2
race,African-American,0.0,0.1,0.01651794190241124,5267,2
race,Other,0.0,0.1,0.001443001443001443,693,2
race,Other,0.0,0.1,0.001483679525222552,674,3
race,Caucasian,0.0,0.1,0.010110830254715146,25715,3
race,African-American,0.0,0.1,0.016036866359447004,5425,3
race,Caucasian,0.0,0.1,0.010323229198886483,25864,4
race,Other,0.0,0.1,0.0,703,4
race,African-American,0.0,0.1,0.016163171060227053,5197,4
race,African-American,0.1,0.2,0.1276595744680851,564,0
race,Caucasian,0.1,0.2,0.13696369636963696,1818,0
race,Other,0.1,0.2,0.03125,64,0
race,African-American,0.1,0.2,0.13949579831932774,595,1
race,Caucasian,0.1,0.2,0.11764705882352941,1887,1
race,Other,0.1,0.2,0.1323529411764706,68,1
race,Caucasian,0.1,0.2,0.12214137214137215,1924,2
race,African-American,0.1,0.2,0.15104166666666666,576,2
race,Other,0.1,0.2,0.07142857142857142,56,2
race,Other,0.1,0.2,0.11267605633802817,71,3
race,Caucasian,0.1,0.2,0.12607758620689655,1856,3
race,African-American,0.1,0.2,0.1384083044982699,578,3
race,Caucasian,0.1,0.2,0.12102621305075292,1793,4
race,Other,0.1,0.2,0.04918032786885246,61,4
race,African-American,0.1,0.2,0.11869918699186992,615,4
race,African-American,0.2,0.3,0.3053435114503817,262,0
race,Caucasian,0.2,0.3,0.3021897810218978,685,0
race,Other,0.2,0.3,0.42857142857142855,7,0
race,African-American,0.2,0.3,0.3173431734317343,271,1
race,Caucasian,0.2,0.3,0.27987897125567324,661,1
race,Other,0.2,0.3,0.16666666666666666,6,1
race,Caucasian,0.2,0.3,0.2978723404255319,658,2
race,African-American,0.2,0.3,0.288135593220339,236,2
race,Other,0.2,0.3,0.125,8,2
race,Other,0.2,0.3,0.3333333333333333,9,3
race,Caucasian,0.2,0.3,0.2863013698630137,730,3
race,African-American,0.2,0.3,0.29914529914529914,234,3
race,Caucasian,0.2,0.3,0.29545454545454547,748,4
race,Other,0.2,0.3,0.6,10,4
race,African-American,0.2,0.3,0.2691029900332226,301,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,African-American,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,Caucasian,0.5,0.6,,0,2
race,African-American,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
