Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.021739130434782608,46,0
race,Caucasian,0.4,0.5,0.0018018018018018018,555,0
race,Other,0.4,0.5,0.0,24,0
race,Caucasian,0.4,0.5,0.003663003663003663,1365,1
race,Other,0.4,0.5,0.0,39,1
race,African-American,0.4,0.5,0.0,156,1
race,African-American,0.4,0.5,0.0,54,2
race,Caucasian,0.4,0.5,0.003367003367003367,594,2
race,Other,0.4,0.5,0.0,19,2
race,Caucasian,0.4,0.5,0.0,1153,3
race,African-American,0.4,0.5,0.008403361344537815,119,3
race,Other,0.4,0.5,0.0,40,3
race,Caucasian,0.4,0.5,0.0008787346221441124,1138,4
race,Other,0.4,0.5,0.0,43,4
race,African-American,0.4,0.5,0.0,103,4
race,African-American,0.5,0.6,0.0018975332068311196,1054,0
race,Caucasian,0.5,0.6,0.0014976174268209667,7345,0
race,Other,0.5,0.6,0.0,254,0
race,Caucasian,0.5,0.6,0.002829907655644921,6714,1
race,Other,0.5,0.6,0.0,227,1
race,African-American,0.5,0.6,0.0036730945821854912,1089,1
race,African-American,0.5,0.6,0.0009569377990430622,1045,2
race,Caucasian,0.5,0.6,0.0012690355329949238,7092,2
race,Other,0.5,0.6,0.0,228,2
race,Caucasian,0.5,0.6,0.0022294887039239,6728,3
race,African-American,0.5,0.6,0.0018867924528301887,1060,3
race,Other,0.5,0.6,0.004405286343612335,227,3
race,Caucasian,0.5,0.6,0.0012062726176115801,6632,4
race,Other,0.5,0.6,0.0,159,4
race,African-American,0.5,0.6,0.0010080645161290322,992,4
race,African-American,0.6,0.7,0.00646551724137931,1392,0
race,Caucasian,0.6,0.7,0.006380602966980379,6269,0
race,Other,0.6,0.7,0.0,245,0
race,Caucasian,0.6,0.7,0.0063758389261744965,5960,1
race,Other,0.6,0.7,0.0,217,1
race,African-American,0.6,0.7,0.006149116064565719,1301,1
race,African-American,0.6,0.7,0.006711409395973154,1341,2
race,Caucasian,0.6,0.7,0.005813014694009366,6193,2
race,Other,0.6,0.7,0.0,249,2
race,Caucasian,0.6,0.7,0.004415707301687431,6341,3
race,African-American,0.6,0.7,0.0045385779122541605,1322,3
race,Other,0.6,0.7,0.0,255,3
race,Caucasian,0.6,0.7,0.005318316909119349,6393,4
race,Other,0.6,0.7,0.0,270,4
race,African-American,0.6,0.7,0.006419400855920114,1402,4
race,African-American,0.7,0.8,0.00877963125548727,1139,0
race,Caucasian,0.7,0.8,0.008736415938632005,4693,0
race,Other,0.7,0.8,0.0,107,0
race,Caucasian,0.7,0.8,0.007707553402334287,4541,1
race,Other,0.7,0.8,0.0,120,1
race,African-American,0.7,0.8,0.003369839932603201,1187,1
race,African-American,0.7,0.8,0.011255411255411256,1155,2
race,Caucasian,0.7,0.8,0.00822867042009528,4618,2
race,Other,0.7,0.8,0.0,98,2
race,Caucasian,0.7,0.8,0.007807271916127593,4483,3
race,African-American,0.7,0.8,0.013134851138353765,1142,3
race,Other,0.7,0.8,0.0,106,3
race,Caucasian,0.7,0.8,0.007194244604316547,4448,4
race,Other,0.7,0.8,0.0,100,4
race,African-American,0.7,0.8,0.009548611111111112,1152,4
race,African-American,0.8,0.9,0.014557670772676373,893,0
race,Caucasian,0.8,0.9,0.017445917655268667,4299,0
race,Other,0.8,0.9,0.0,32,0
race,Caucasian,0.8,0.9,0.016937514305333027,4369,1
race,Other,0.8,0.9,0.0,51,1
race,African-American,0.8,0.9,0.019300361881785282,829,1
race,African-American,0.8,0.9,0.0255863539445629,938,2
race,Caucasian,0.8,0.9,0.01434655906747366,4461,2
race,Other,0.8,0.9,0.0,41,2
race,Caucasian,0.8,0.9,0.015169471438729557,4219,3
