Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.05482233502538071,2955,0
race,Caucasian,0.0,0.1,0.06583516405640989,14111,0
race,Other,0.0,0.1,0.014814814814814815,540,0
race,Caucasian,0.0,0.1,0.06714547056033607,14759,1
race,Other,0.0,0.1,0.005836575875486381,514,1
race,African-American,0.0,0.1,0.047270509301616345,3279,1
race,African-American,0.0,0.1,0.04207668815744825,2947,2
race,Caucasian,0.0,0.1,0.05916947572258481,13943,2
race,Other,0.0,0.1,0.014198782961460446,493,2
race,Caucasian,0.0,0.1,0.06063193851409052,14052,3
race,African-American,0.0,0.1,0.04806408544726302,2996,3
race,Other,0.0,0.1,0.016666666666666666,540,3
race,Caucasian,0.0,0.1,0.0602452335388759,14109,4
race,Other,0.0,0.1,0.015533980582524271,515,4
race,African-American,0.0,0.1,0.051387461459403906,2919,4
race,African-American,0.1,0.2,0.10730710270822688,1957,0
race,Caucasian,0.1,0.2,0.14788126478812647,9298,0
race,Other,0.1,0.2,0.049723756906077346,181,0
race,Caucasian,0.1,0.2,0.15594585524107843,8939,1
race,Other,0.1,0.2,0.07352941176470588,204,1
race,African-American,0.1,0.2,0.13039014373716631,1948,1
race,African-American,0.1,0.2,0.1187598528638991,1903,2
race,Caucasian,0.1,0.2,0.13351529625838734,8793,2
race,Other,0.1,0.2,0.06435643564356436,202,2
race,Caucasian,0.1,0.2,0.1518534576197702,9226,3
race,African-American,0.1,0.2,0.11737331954498449,1934,3
race,Other,0.1,0.2,0.055299539170506916,217,3
race,Caucasian,0.1,0.2,0.15082872928176796,9050,4
race,Other,0.1,0.2,0.06896551724137931,203,4
race,African-American,0.1,0.2,0.12488083889418494,2098,4
race,African-American,0.2,0.3,0.18652849740932642,772,0
race,Caucasian,0.2,0.3,0.250151240169389,3306,0
race,Other,0.2,0.3,0.11904761904761904,42,0
race,Caucasian,0.2,0.3,0.27139296593741347,3611,1
race,Other,0.2,0.3,0.21621621621621623,37,1
race,African-American,0.2,0.3,0.25884016973125884,707,1
race,African-American,0.2,0.3,0.21946375372393248,1007,2
race,Caucasian,0.2,0.3,0.24708037554385162,4367,2
race,Other,0.2,0.3,0.022727272727272728,44,2
race,Caucasian,0.2,0.3,0.2552562417871222,3044,3
race,African-American,0.2,0.3,0.24500665778961384,751,3
race,Other,0.2,0.3,0.05714285714285714,35,3
race,Caucasian,0.2,0.3,0.23354623715634545,3601,4
race,Other,0.2,0.3,0.14814814814814814,27,4
race,African-American,0.2,0.3,0.22105263157894736,855,4
race,African-American,0.3,0.4,0.29225352112676056,284,0
race,Caucasian,0.3,0.4,0.32897770945426597,1301,0
race,Other,0.3,0.4,0.125,8,0
race,Caucasian,0.3,0.4,0.38442521631644005,809,1
race,Other,0.3,0.4,0.0,6,1
race,African-American,0.3,0.4,0.3609467455621302,169,1
race,African-American,0.3,0.4,0.35795454545454547,176,2
race,Caucasian,0.3,0.4,0.32918552036199095,884,2
race,Other,0.3,0.4,0.16666666666666666,6,2
race,Caucasian,0.3,0.4,0.31976744186046513,1548,3
race,African-American,0.3,0.4,0.3054662379421222,311,3
race,Other,0.3,0.4,0.375,8,3
race,Caucasian,0.3,0.4,0.34576271186440677,1180,4
race,Other,0.3,0.4,0.0,6,4
race,African-American,0.3,0.4,0.31,200,4
race,African-American,0.4,0.5,0.4426229508196721,61,0
race,Caucasian,0.4,0.5,0.38563829787234044,376,0
race,Other,0.4,0.5,0.6666666666666666,3,0
race,Caucasian,0.4,0.5,0.3953488372093023,129,1
race,Other,0.4,0.5,0.0,3,1
race,African-American,0.4,0.5,0.6428571428571429,14,1
race,African-American,0.4,0.5,0.3902439024390244,82,2
race,Caucasian,0.4,0.5,0.44226044226044225,407,2
race,Other,0.4,0.5,0.5,2,2
race,Caucasian,0.4,0.5,0.4409090909090909,440,3
race,African-American,0.4,0.5,0.3924050632911392,79,3
race,Other,0.4,0.5,0.5,2,3
race,Caucasian,0.4,0.5,0.4709976798143852,431,4
race,Other,0.4,0.5,0.0,2,4
race,African-American,0.4,0.5,0.4647887323943662,71,4
race,African-American,0.5,0.6,0.3333333333333333,9,0
race,Caucasian,0.5,0.6,0.23333333333333334,30,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.34558823529411764,136,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.5172413793103449,29,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.40540540540540543,37,3
race,African-American,0.5,0.6,0.625,8,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.0,3,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,African-American,0.6,0.7,0.6,5,0
race,Caucasian,0.6,0.7,0.5641025641025641,39,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.5,4,2
race,Caucasian,0.6,0.7,0.5,32,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.4888888888888889,45,3
race,African-American,0.6,0.7,0.5,10,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.6842105263157895,19,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,1.0,3,4
race,African-American,0.7,0.8,0.0,1,0
race,Caucasian,0.7,0.8,0.3333333333333333,12,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.3333333333333333,6,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
sex,male,0.0,0.1,0.06604493429419245,11795,0
sex,female,0.0,0.1,0.05506797453106178,5811,0
sex,male,0.0,0.1,0.06492371265098539,12584,1
sex,female,0.0,0.1,0.05563002680965148,5968,1
sex,male,0.0,0.1,0.05955293125263602,11855,2
sex,female,0.0,0.1,0.04522431259044862,5528,2
sex,male,0.0,0.1,0.06106097663827275,11857,3
sex,female,0.0,0.1,0.04903158262083406,5731,3
sex,female,0.0,0.1,0.05003474635163308,5756,4
sex,male,0.0,0.1,0.06108424535505218,11787,4
sex,male,0.1,0.2,0.13934726806013933,8181,0
sex,female,0.1,0.2,0.13947772657450078,3255,0
sex,male,0.1,0.2,0.1517948717948718,7800,1
sex,female,0.1,0.2,0.14554846551200243,3291,1
sex,male,0.1,0.2,0.13590844062947066,7689,2
sex,female,0.1,0.2,0.11467746961670303,3209,2
sex,male,0.1,0.2,0.1447774078184733,8109,3
sex,female,0.1,0.2,0.14259485924112608,3268,3
sex,female,0.1,0.2,0.14506880733944955,3488,4
sex,male,0.1,0.2,0.144346941370978,7863,4
sex,male,0.2,0.3,0.2420844327176781,3032,0
sex,female,0.2,0.3,0.22242647058823528,1088,0
sex,male,0.2,0.3,0.2783078880407125,3144,1
sex,female,0.2,0.3,0.2444260941370768,1211,1
