Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.08189388812053085,33983,0
race,African-American,0.0,0.1,0.06460091298934846,7229,0
race,Other,0.0,0.1,0.019527235354573486,973,0
race,Caucasian,0.0,0.1,0.08236567316973295,34189,1
race,African-American,0.0,0.1,0.06730086610819253,7043,1
race,Other,0.0,0.1,0.01748971193415638,972,1
race,African-American,0.0,0.1,0.06847222222222223,7200,2
race,Caucasian,0.0,0.1,0.08144849753767214,33911,2
race,Other,0.0,0.1,0.01749271137026239,1029,2
race,Caucasian,0.0,0.1,0.0800743231286498,33906,3
race,African-American,0.0,0.1,0.06813489332415691,7265,3
race,Other,0.0,0.1,0.023346303501945526,1028,3
race,Caucasian,0.0,0.1,0.08323065188053747,34086,4
race,Other,0.0,0.1,0.02064896755162242,1017,4
race,African-American,0.0,0.1,0.06340097970608817,7145,4
race,Caucasian,0.1,0.2,0.27280334728033473,1195,0
race,African-American,0.1,0.2,0.25,272,0
race,Other,0.1,0.2,0.2,10,0
race,Caucasian,0.1,0.2,0.28674698795180725,1245,1
race,African-American,0.1,0.2,0.24521072796934865,261,1
race,Other,0.1,0.2,0.25,4,1
race,African-American,0.1,0.2,0.2641509433962264,265,2
race,Caucasian,0.1,0.2,0.25835370823145887,1227,2
race,Other,0.1,0.2,0.0,10,2
race,Caucasian,0.1,0.2,0.28618968386023297,1202,3
race,African-American,0.1,0.2,0.28205128205128205,273,3
race,Other,0.1,0.2,0.0,1,3
race,Caucasian,0.1,0.2,0.2698019801980198,1212,4
race,Other,0.1,0.2,0.42857142857142855,7,4
race,African-American,0.1,0.2,0.31645569620253167,237,4
race,Caucasian,0.2,0.3,0.39864864864864863,444,0
race,African-American,0.2,0.3,0.43478260869565216,92,0
race,Other,0.2,0.3,1.0,1,0
race,Caucasian,0.2,0.3,0.3575,400,1
race,African-American,0.2,0.3,0.2682926829268293,82,1
race,Other,0.2,0.3,0.0,2,1
race,African-American,0.2,0.3,0.29411764705882354,102,2
race,Caucasian,0.2,0.3,0.33248730964467005,394,2
race,Other,0.2,0.3,0.5,2,2
race,Caucasian,0.2,0.3,0.3469879518072289,415,3
race,African-American,0.2,0.3,0.27586206896551724,87,3
race,Other,0.2,0.3,0.5,2,3
race,Caucasian,0.2,0.3,0.355,400,4
race,Other,0.2,0.3,0.0,2,4
race,African-American,0.2,0.3,0.3764705882352941,85,4
race,Caucasian,0.3,0.4,0.34355828220858897,163,0
race,African-American,0.3,0.4,0.3548387096774194,31,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.3882978723404255,188,1
race,African-American,0.3,0.4,0.24242424242424243,33,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.3888888888888889,36,2
race,Caucasian,0.3,0.4,0.37681159420289856,207,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,0.3905325443786982,169,3
race,African-American,0.3,0.4,0.38235294117647056,34,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.4556213017751479,169,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,0.19230769230769232,26,4
race,Caucasian,0.4,0.5,0.40789473684210525,76,0
race,African-American,0.4,0.5,0.5625,16,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.375,64,1
race,African-American,0.4,0.5,0.4166666666666667,12,1
race,Other,0.4,0.5,0.0,1,1
race,African-American,0.4,0.5,0.2,15,2
race,Caucasian,0.4,0.5,0.4,80,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,0.47368421052631576,95,3
race,African-American,0.4,0.5,0.1875,16,3
race,Other,0.4,0.5,0.0,1,3
race,Caucasian,0.4,0.5,0.43333333333333335,90,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,0.56,25,4
race,Caucasian,0.5,0.6,0.41025641025641024,39,0
race,African-American,0.5,0.6,0.6,5,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.47368421052631576,38,1
race,African-American,0.5,0.6,0.6666666666666666,6,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.4,5,2
race,Caucasian,0.5,0.6,0.42,50,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.4838709677419355,31,3
race,African-American,0.5,0.6,0.2222222222222222,9,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.3333333333333333,30,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,0.25,4,4
race,Caucasian,0.6,0.7,0.5454545454545454,22,0
race,African-American,0.6,0.7,0.5,2,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.3684210526315789,19,1
race,African-American,0.6,0.7,0.3333333333333333,3,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.5,2,2
race,Caucasian,0.6,0.7,0.16666666666666666,18,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,0.29411764705882354,17,3
race,African-American,0.6,0.7,1.0,1,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.6111111111111112,18,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,0.25,4,4
race,Caucasian,0.7,0.8,0.42857142857142855,7,0
race,African-American,0.7,0.8,0.0,1,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.6666666666666666,6,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.3333333333333333,12,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,0.16666666666666666,12,3
race,African-American,0.7,0.8,1.0,1,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.3333333333333333,6,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,1.0,1,4
race,Caucasian,0.8,0.9,0.4,5,0
race,African-American,0.8,0.9,0.3333333333333333,3,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,0.0,3,1
race,African-American,0.8,0.9,1.0,2,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,1.0,1,2
race,Caucasian,0.8,0.9,0.6,5,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,1.0,6,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,1.0,3,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Caucasian,0.9,1.0,0.0,4,0
race,African-American,0.9,1.0,1.0,1,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,1.0,1,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,0.6666666666666666,3,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,0.3333333333333333,3,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,0.6666666666666666,3,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,0.0,3,4
sex,male,0.0,0.1,0.08098956533757169,28942,0
sex,female,0.0,0.1,0.06984822170203127,13243,0
sex,male,0.0,0.1,0.0807806154057961,29054,1
sex,female,0.0,0.1,0.07300380228136882,13150,1
sex,male,0.0,0.1,0.0800152080741048,28932,2
sex,female,0.0,0.1,0.07253179890975167,13208,2
sex,male,0.0,0.1,0.07939580380906294,28931,3
sex,female,0.0,0.1,0.0706210431112451,13268,3
sex,female,0.0,0.1,0.07389424171155451,13181,4
sex,male,0.0,0.1,0.08040045412323253,29067,4
sex,male,0.1,0.2,0.2750455373406193,1098,0
sex,female,0.1,0.2,0.24802110817941952,379,0
sex,male,0.1,0.2,0.28482697426796805,1127,1
sex,female,0.1,0.2,0.26370757180156656,383,1
sex,male,0.1,0.2,0.24577025823686555,1123,2
sex,female,0.1,0.2,0.2928759894459103,379,2
sex,male,0.1,0.2,0.28167730173199634,1097,3
sex,female,0.1,0.2,0.2955145118733509,379,3
sex,female,0.1,0.2,0.2755905511811024,381,4
sex,male,0.1,0.2,0.27906976744186046,1075,4
sex,male,0.2,0.3,0.4036458333333333,384,0
sex,female,0.2,0.3,0.4117647058823529,153,0
sex,male,0.2,0.3,0.3208092485549133,346,1
sex,female,0.2,0.3,0.391304347826087,138,1
sex,male,0.2,0.3,0.33424657534246577,365,2
sex,female,0.2,0.3,0.3007518796992481,133,2
sex,male,0.2,0.3,0.34271099744245526,391,3
sex,female,0.2,0.3,0.30973451327433627,113,3
sex,female,0.2,0.3,0.3305785123966942,121,4
sex,male,0.2,0.3,0.366120218579235,366,4
sex,male,0.3,0.4,0.3767123287671233,146,0
sex,female,0.3,0.4,0.25,48,0
sex,male,0.3,0.4,0.38461538461538464,169,1
sex,female,0.3,0.4,0.3076923076923077,52,1
sex,male,0.3,0.4,0.39156626506024095,166,2
sex,female,0.3,0.4,0.35064935064935066,77,2
sex,male,0.3,0.4,0.4276315789473684,152,3
sex,female,0.3,0.4,0.27450980392156865,51,3
sex,female,0.3,0.4,0.42592592592592593,54,4
sex,male,0.3,0.4,0.41843971631205673,141,4
sex,male,0.4,0.5,0.3972602739726027,73,0
sex,female,0.4,0.5,0.5789473684210527,19,0
sex,male,0.4,0.5,0.3448275862068966,58,1
sex,female,0.4,0.5,0.47368421052631576,19,1
sex,male,0.4,0.5,0.4,75,2
sex,female,0.4,0.5,0.25,20,2
sex,male,0.4,0.5,0.4230769230769231,78,3
sex,female,0.4,0.5,0.4411764705882353,34,3
sex,female,0.4,0.5,0.391304347826087,23,4
sex,male,0.4,0.5,0.4782608695652174,92,4
sex,male,0.5,0.6,0.42857142857142855,35,0
sex,female,0.5,0.6,0.4444444444444444,9,0
sex,male,0.5,0.6,0.4722222222222222,36,1
sex,female,0.5,0.6,0.625,8,1
sex,male,0.5,0.6,0.48717948717948717,39,2
sex,female,0.5,0.6,0.25,16,2
sex,male,0.5,0.6,0.37142857142857144,35,3
sex,female,0.5,0.6,0.8,5,3
sex,female,0.5,0.6,0.2,15,4
sex,male,0.5,0.6,0.42105263157894735,19,4
sex,male,0.6,0.7,0.47368421052631576,19,0
sex,female,0.6,0.7,0.8,5,0
sex,male,0.6,0.7,0.4375,16,1
sex,female,0.6,0.7,0.16666666666666666,6,1
sex,male,0.6,0.7,0.1875,16,2
sex,female,0.6,0.7,0.25,4,2
sex,male,0.6,0.7,0.4,15,3
sex,female,0.6,0.7,0.0,3,3
sex,female,0.6,0.7,0.5,4,4
sex,male,0.6,0.7,0.5555555555555556,18,4
sex,male,0.7,0.8,0.2,5,0
sex,female,0.7,0.8,0.6666666666666666,3,0
sex,male,0.7,0.8,0.6666666666666666,6,1
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,0.4,10,2
sex,female,0.7,0.8,0.0,2,2
sex,male,0.7,0.8,0.6,5,3
sex,female,0.7,0.8,0.0,8,3
sex,female,0.7,0.8,1.0,1,4
sex,male,0.7,0.8,0.3333333333333333,6,4
sex,male,0.8,0.9,0.2857142857142857,7,0
sex,female,0.8,0.9,1.0,1,0
sex,male,0.8,0.9,0.4,5,1
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,0.6666666666666666,3,2
sex,female,0.8,0.9,0.6666666666666666,3,2
sex,male,0.8,0.9,1.0,5,3
sex,female,0.8,0.9,1.0,1,3
sex,female,0.8,0.9,1.0,2,4
sex,male,0.8,0.9,1.0,1,4
sex,male,0.9,1.0,0.5,2,0
sex,female,0.9,1.0,0.0,3,0
sex,male,0.9,1.0,1.0,1,1
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,0.6666666666666666,3,2
sex,female,0.9,1.0,,0,2
sex,male,0.9,1.0,0.0,2,3
sex,female,0.9,1.0,1.0,1,3
sex,female,0.9,1.0,,0,4
sex,male,0.9,1.0,0.3333333333333333,6,4
