Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.05292832475861583,28378,0
race,Other,0.0,0.1,0.009000900090009001,1111,0
race,African-American,0.0,0.1,0.039261744966442955,5960,0
race,Caucasian,0.0,0.1,0.05123380081661637,28165,1
race,African-American,0.0,0.1,0.04582117727818775,5827,1
race,Other,0.0,0.1,0.008130081300813009,1107,1
race,African-American,0.0,0.1,0.04331828064893795,5979,2
race,Caucasian,0.0,0.1,0.05348746774136529,28287,2
race,Other,0.0,0.1,0.01771479185119575,1129,2
race,Caucasian,0.0,0.1,0.05270594884838208,28308,3
race,African-American,0.0,0.1,0.04191213600403972,5941,3
race,Other,0.0,0.1,0.013636363636363636,1100,3
race,Caucasian,0.0,0.1,0.04957502044880686,28119,4
race,Other,0.0,0.1,0.010135135135135136,1184,4
race,African-American,0.0,0.1,0.041011047874121194,5974,4
race,Caucasian,0.1,0.2,0.14300861497680584,7545,0
race,Other,0.1,0.2,0.08536585365853659,82,0
race,African-American,0.1,0.2,0.12109623964308477,1569,0
race,Caucasian,0.1,0.2,0.1464468001570475,7641,1
race,African-American,0.1,0.2,0.11497005988023952,1670,1
race,Other,0.1,0.2,0.06363636363636363,110,1
race,African-American,0.1,0.2,0.11500615006150061,1626,2
race,Caucasian,0.1,0.2,0.14386239249413604,7674,2
race,Other,0.1,0.2,0.0410958904109589,73,2
race,Caucasian,0.1,0.2,0.14296956977964323,7624,3
race,African-American,0.1,0.2,0.12083847102342787,1622,3
race,Other,0.1,0.2,0.05154639175257732,97,3
race,Caucasian,0.1,0.2,0.14845197142101085,7558,4
race,Other,0.1,0.2,0.09278350515463918,97,4
race,African-American,0.1,0.2,0.12367270455965022,1601,4
race,Caucasian,0.2,0.3,0.24414276330194876,4567,0
race,Other,0.2,0.3,0.1111111111111111,36,0
race,African-American,0.2,0.3,0.24118942731277532,908,0
race,Caucasian,0.2,0.3,0.2396798652064027,4748,1
race,African-American,0.2,0.3,0.21236872812135357,857,1
race,Other,0.2,0.3,0.0967741935483871,31,1
race,African-American,0.2,0.3,0.2392502756339581,907,2
race,Caucasian,0.2,0.3,0.23675942549371634,4456,2
race,Other,0.2,0.3,0.08,25,2
race,Caucasian,0.2,0.3,0.24340949033391915,4552,3
race,African-American,0.2,0.3,0.22824858757062147,885,3
race,Other,0.2,0.3,0.1111111111111111,27,3
race,Caucasian,0.2,0.3,0.2466624284806103,4719,4
race,Other,0.2,0.3,0.22580645161290322,31,4
race,African-American,0.2,0.3,0.23880597014925373,871,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
sex,male,0.0,0.1,0.051520587376413164,23971,0
sex,female,0.0,0.1,0.04451995121101237,11478,0
sex,male,0.0,0.1,0.051442592435908284,23638,1
sex,female,0.0,0.1,0.04388796789110898,11461,1
sex,male,0.0,0.1,0.05276140306869016,23919,2
sex,female,0.0,0.1,0.046183339142558386,11476,2
sex,female,0.0,0.1,0.045470536499560246,11370,3
sex,male,0.0,0.1,0.05167021143500563,23979,3
sex,female,0.0,0.1,0.04139850408766742,11498,4
sex,male,0.0,0.1,0.04941334791202322,23779,4
sex,male,0.1,0.2,0.14616564417177913,6520,0
sex,female,0.1,0.2,0.12070254110612855,2676,0
sex,male,0.1,0.2,0.14731736889966657,6598,1
sex,female,0.1,0.2,0.12256464753808005,2823,1
sex,male,0.1,0.2,0.14186537881074554,6626,2
sex,female,0.1,0.2,0.12886785584273752,2747,2
sex,female,0.1,0.2,0.12678636863319898,2729,3
sex,male,0.1,0.2,0.14287874206229212,6614,3
sex,female,0.1,0.2,0.13236363636363635,2750,4
sex,male,0.1,0.2,0.1483246234245312,6506,4
sex,male,0.2,0.3,0.251477010017981,3893,0
sex,female,0.2,0.3,0.2218788627935723,1618,0
sex,male,0.2,0.3,0.2330345710627401,3905,1
sex,female,0.2,0.3,0.2385904101675332,1731,1
sex,male,0.2,0.3,0.240473061760841,3805,2
sex,female,0.2,0.3,0.22678458622867972,1583,2
sex,female,0.2,0.3,0.2347879532882606,1627,3
sex,male,0.2,0.3,0.24263747719572581,3837,3
sex,female,0.2,0.3,0.23841463414634145,1640,4
sex,male,0.2,0.3,0.24817884953529265,3981,4
sex,male,0.3,0.4,,0,0
sex,female,0.3,0.4,,0,0
sex,male,0.3,0.4,,0,1
sex,female,0.3,0.4,,0,1
sex,male,0.3,0.4,,0,2
sex,female,0.3,0.4,,0,2
sex,female,0.3,0.4,,0,3
sex,male,0.3,0.4,,0,3
sex,female,0.3,0.4,,0,4
sex,male,0.3,0.4,,0,4
sex,male,0.4,0.5,,0,0
sex,female,0.4,0.5,,0,0
sex,male,0.4,0.5,,0,1
sex,female,0.4,0.5,,0,1
sex,male,0.4,0.5,,0,2
sex,female,0.4,0.5,,0,2
sex,female,0.4,0.5,,0,3
sex,male,0.4,0.5,,0,3
sex,female,0.4,0.5,,0,4
sex,male,0.4,0.5,,0,4
sex,male,0.5,0.6,,0,0
sex,female,0.5,0.6,,0,0
sex,male,0.5,0.6,,0,1
sex,female,0.5,0.6,,0,1
sex,male,0.5,0.6,,0,2
sex,female,0.5,0.6,,0,2
sex,female,0.5,0.6,,0,3
sex,male,0.5,0.6,,0,3
sex,female,0.5,0.6,,0,4
sex,male,0.5,0.6,,0,4
sex,male,0.6,0.7,,0,0
sex,female,0.6,0.7,,0,0
sex,male,0.6,0.7,,0,1
sex,female,0.6,0.7,,0,1
sex,male,0.6,0.7,,0,2
sex,female,0.6,0.7,,0,2
sex,female,0.6,0.7,,0,3
sex,male,0.6,0.7,,0,3
sex,female,0.6,0.7,,0,4
sex,male,0.6,0.7,,0,4
sex,male,0.7,0.8,,0,0
sex,female,0.7,0.8,,0,0
sex,male,0.7,0.8,,0,1
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,,0,2
sex,female,0.7,0.8,,0,2
sex,female,0.7,0.8,,0,3
sex,male,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,4
sex,male,0.7,0.8,,0,4
sex,male,0.8,0.9,,0,0
sex,female,0.8,0.9,,0,0
sex,male,0.8,0.9,,0,1
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,3
sex,male,0.8,0.9,,0,3
sex,female,0.8,0.9,,0,4
sex,male,0.8,0.9,,0,4
sex,male,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,0
sex,male,0.9,1.0,,0,1
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,3
sex,male,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,4
sex,male,0.9,1.0,,0,4
