Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.07510139997383226,7643,0
race,Caucasian,0.0,0.1,0.07281631774393198,37162,0
race,Other,0.0,0.1,0.029790660225442835,1242,0
race,Caucasian,0.0,0.1,0.07269541778975741,37100,1
race,African-American,0.0,0.1,0.0763988992268379,7631,1
race,Other,0.0,0.1,0.023961661341853034,1252,1
race,African-American,0.0,0.1,0.0762656998575683,7723,2
race,Caucasian,0.0,0.1,0.07302258738035196,36879,2
race,Other,0.0,0.1,0.0343980343980344,1221,2
race,Other,0.0,0.1,0.031197301854974706,1186,3
race,Caucasian,0.0,0.1,0.07231121281464531,37145,3
race,African-American,0.0,0.1,0.07729468599033816,7659,3
race,Caucasian,0.0,0.1,0.07531909176407363,37215,4
race,African-American,0.0,0.1,0.07448367754830114,7505,4
race,Other,0.0,0.1,0.02642113690952762,1249,4
race,African-American,0.1,0.2,0.3372093023255814,430,0
race,Caucasian,0.1,0.2,0.28,1625,0
race,Other,0.1,0.2,0.375,8,0
race,Caucasian,0.1,0.2,0.28869778869778867,1628,1
race,African-American,0.1,0.2,0.30637254901960786,408,1
race,Other,0.1,0.2,0.13333333333333333,15,1
race,African-American,0.1,0.2,0.28117359413202936,409,2
race,Caucasian,0.1,0.2,0.28079392877991827,1713,2
race,Other,0.1,0.2,0.2857142857142857,14,2
race,Other,0.1,0.2,0.0,5,3
race,Caucasian,0.1,0.2,0.2907758094074527,1637,3
race,African-American,0.1,0.2,0.3333333333333333,390,3
race,Caucasian,0.1,0.2,0.26467065868263473,1670,4
race,African-American,0.1,0.2,0.29107981220657275,426,4
race,Other,0.1,0.2,0.3333333333333333,12,4
race,African-American,0.2,0.3,0.3732394366197183,142,0
race,Caucasian,0.2,0.3,0.3671562082777036,749,0
race,Other,0.2,0.3,0.5,2,0
race,Caucasian,0.2,0.3,0.3484224965706447,729,1
race,African-American,0.2,0.3,0.44047619047619047,168,1
race,Other,0.2,0.3,0.5,4,1
race,African-American,0.2,0.3,0.3526315789473684,190,2
race,Caucasian,0.2,0.3,0.3473389355742297,714,2
race,Other,0.2,0.3,0.0,3,2
race,Other,0.2,0.3,0.0,1,3
race,Caucasian,0.2,0.3,0.3541383989145183,737,3
race,African-American,0.2,0.3,0.3516483516483517,182,3
race,Caucasian,0.2,0.3,0.3328671328671329,715,4
race,African-American,0.2,0.3,0.3473053892215569,167,4
race,Other,0.2,0.3,0.0,2,4
race,African-American,0.3,0.4,0.43902439024390244,82,0
race,Caucasian,0.3,0.4,0.4005102040816326,392,0
