Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.05245949284313013,13763,0
race,Other,0.0,0.1,0.019801980198019802,404,0
race,African-American,0.0,0.1,0.05361397934868944,2518,0
race,Caucasian,0.0,0.1,0.05544795925686823,13941,1
race,African-American,0.0,0.1,0.05030425963488844,2465,1
race,Other,0.0,0.1,0.029748283752860413,437,1
race,Caucasian,0.0,0.1,0.05662400800743547,13987,2
race,African-American,0.0,0.1,0.05984251968503937,2540,2
race,Other,0.0,0.1,0.033766233766233764,385,2
race,Other,0.0,0.1,0.012195121951219513,328,3
race,Caucasian,0.0,0.1,0.053356975900701216,12407,3
race,African-American,0.0,0.1,0.04985213350232361,2367,3
race,African-American,0.0,0.1,0.06147368421052631,2375,4
race,Caucasian,0.0,0.1,0.056594383220760755,14065,4
race,Other,0.0,0.1,0.013513513513513514,444,4
race,Caucasian,0.1,0.2,0.14826659843929896,7817,0
race,Other,0.1,0.2,0.06666666666666667,270,0
race,African-American,0.1,0.2,0.12834489593657086,2018,0
race,Caucasian,0.1,0.2,0.14228689157867627,7766,1
race,African-American,0.1,0.2,0.11499493414387031,1974,1
race,Other,0.1,0.2,0.06048387096774194,248,1
race,Caucasian,0.1,0.2,0.14699792960662525,7728,2
race,African-American,0.1,0.2,0.13131839499739448,1919,2
race,Other,0.1,0.2,0.08658008658008658,231,2
race,Other,0.1,0.2,0.05070422535211268,355,3
race,Caucasian,0.1,0.2,0.13399592863130164,8351,3
race,African-American,0.1,0.2,0.12686567164179105,2010,3
race,African-American,0.1,0.2,0.13586673607496097,1921,4
race,Caucasian,0.1,0.2,0.14228689157867627,7766,4
race,Other,0.1,0.2,0.07633587786259542,262,4
race,Caucasian,0.2,0.3,0.2670891806247171,4418,0
race,Other,0.2,0.3,0.10256410256410256,78,0
race,African-American,0.2,0.3,0.25656223539373413,1181,0
race,Caucasian,0.2,0.3,0.2693018955154877,4326,1
race,African-American,0.2,0.3,0.2775862068965517,1160,1
race,Other,0.2,0.3,0.11267605633802817,71,1
race,Caucasian,0.2,0.3,0.2600226500566251,4415,2
race,African-American,0.2,0.3,0.2634315424610052,1154,2
race,Other,0.2,0.3,0.13157894736842105,76,2
race,Other,0.2,0.3,0.1134020618556701,97,3
race,Caucasian,0.2,0.3,0.24604444444444445,5625,3
race,African-American,0.2,0.3,0.23880597014925373,1340,3
race,African-American,0.2,0.3,0.2508503401360544,1176,4
race,Caucasian,0.2,0.3,0.27056962025316456,4424,4
race,Other,0.2,0.3,0.1518987341772152,79,4
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,4
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,4
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,0.4041540458675898,2311,0
race,Other,0.5,0.6,0.2222222222222222,9,0
race,African-American,0.5,0.6,0.4280078895463511,507,0
race,Caucasian,0.5,0.6,0.40125786163522015,2385,1
race,African-American,0.5,0.6,0.466,500,1
race,Other,0.5,0.6,0.15,20,1
race,Caucasian,0.5,0.6,0.39418907198612313,2306,2
race,African-American,0.5,0.6,0.3822975517890772,531,2
race,Other,0.5,0.6,0.2857142857142857,21,2
race,Other,0.5,0.6,0.21428571428571427,14,3
race,Caucasian,0.5,0.6,0.436,2000,3
race,African-American,0.5,0.6,0.44862155388471175,399,3
race,African-American,0.5,0.6,0.4715447154471545,492,4
race,Caucasian,0.5,0.6,0.38235294117647056,2278,4
race,Other,0.5,0.6,0.36363636363636365,11,4
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,4
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,2
race,African-American,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,4
race,Caucasian,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,Caucasian,0.8,0.9,,0,2
race,African-American,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,4
race,Caucasian,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,Caucasian,0.9,1.0,,0,2
race,African-American,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,4
race,Caucasian,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.052673583399840386,11277,0
sex,female,0.0,0.1,0.05011094674556213,5408,0
sex,male,0.0,0.1,0.054424188528234774,11245,1
