Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.0794392523364486,214,0
race,Caucasian,0.0,0.1,0.08870967741935484,2356,0
race,Other,0.0,0.1,0.05084745762711865,59,0
race,Caucasian,0.0,0.1,0.0923213493120284,2253,1
race,Other,0.0,0.1,0.0,58,1
race,African-American,0.0,0.1,0.09433962264150944,212,1
race,African-American,0.0,0.1,0.09316770186335403,322,2
race,Caucasian,0.0,0.1,0.09674168626133692,2977,2
race,Other,0.0,0.1,0.05,80,2
race,Caucasian,0.0,0.1,0.08514931396287329,2478,3
race,African-American,0.0,0.1,0.13307984790874525,263,3
race,Other,0.0,0.1,0.056338028169014086,71,3
race,Caucasian,0.0,0.1,0.06836248012718601,1258,4
race,Other,0.0,0.1,0.058823529411764705,34,4
race,African-American,0.0,0.1,0.11965811965811966,117,4
race,African-American,0.1,0.2,0.16234996841440302,1583,0
race,Caucasian,0.1,0.2,0.1583605030274802,8588,0
race,Other,0.1,0.2,0.07033639143730887,327,0
race,Caucasian,0.1,0.2,0.1589563692172769,9122,1
race,Other,0.1,0.2,0.05730659025787966,349,1
race,African-American,0.1,0.2,0.14776444929116686,1834,1
race,African-American,0.1,0.2,0.16046966731898238,1533,2
race,Caucasian,0.1,0.2,0.1454452666496555,7838,2
race,Other,0.1,0.2,0.07220216606498195,277,2
race,Caucasian,0.1,0.2,0.15437319344823894,9341,3
race,African-American,0.1,0.2,0.1492785793562708,1802,3
race,Other,0.1,0.2,0.09367088607594937,395,3
race,Caucasian,0.1,0.2,0.1455193482688391,9820,4
race,Other,0.1,0.2,0.09014084507042254,355,4
race,African-American,0.1,0.2,0.15824915824915825,1782,4
race,African-American,0.2,0.3,0.21603830041891084,1671,0
race,Caucasian,0.2,0.3,0.23921684086559694,6793,0
race,Other,0.2,0.3,0.16535433070866143,254,0
race,Caucasian,0.2,0.3,0.2566671370114294,7087,1
race,Other,0.2,0.3,0.10300429184549356,233,1
race,African-American,0.2,0.3,0.23914238592633316,1819,1
race,African-American,0.2,0.3,0.22889417360285375,1682,2
race,Caucasian,0.2,0.3,0.24742710120068612,6996,2
race,Other,0.2,0.3,0.11678832116788321,274,2
race,Caucasian,0.2,0.3,0.2556074062923378,6643,3
race,African-American,0.2,0.3,0.2367005379557681,1673,3
race,Other,0.2,0.3,0.13122171945701358,221,3
race,Caucasian,0.2,0.3,0.2583094734221337,8033,4
race,Other,0.2,0.3,0.16911764705882354,272,4
race,African-American,0.2,0.3,0.2524366471734893,2052,4
race,African-American,0.3,0.4,0.3269230769230769,1092,0
race,Caucasian,0.3,0.4,0.35873166114529104,4226,0
