Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.13039443155452435,25860,0
race,African-American,0.0,0.1,0.1317903596021423,5228,0
race,Other,0.0,0.1,0.058759521218716,919,0
race,Caucasian,0.0,0.1,0.13192331101643334,26288,1
race,African-American,0.0,0.1,0.13712310351449972,5207,1
race,Other,0.0,0.1,0.0570801317233809,911,1
race,African-American,0.0,0.1,0.1391504901018643,5203,2
race,Caucasian,0.0,0.1,0.13283179012345678,25920,2
race,Other,0.0,0.1,0.06610703043022036,953,2
race,Caucasian,0.0,0.1,0.13050545707872127,25838,3
race,African-American,0.0,0.1,0.14198589670287784,5247,3
race,Other,0.0,0.1,0.06362672322375397,943,3
race,Caucasian,0.0,0.1,0.12962038920661728,26053,4
race,Other,0.0,0.1,0.06708595387840671,954,4
race,African-American,0.0,0.1,0.13132851161020176,5254,4
race,Caucasian,0.1,0.2,0.30327631197448535,3449,0
race,African-American,0.1,0.2,0.26805385556915545,817,0
race,Other,0.1,0.2,0.14285714285714285,35,0
race,Caucasian,0.1,0.2,0.3059220619822031,3259,1
race,African-American,0.1,0.2,0.3107769423558897,798,1
race,Other,0.1,0.2,0.09375,32,1
race,African-American,0.1,0.2,0.291871921182266,812,2
race,Caucasian,0.1,0.2,0.29081632653061223,3332,2
race,Other,0.1,0.2,0.1935483870967742,31,2
race,Caucasian,0.1,0.2,0.2687004986799648,3409,3
race,African-American,0.1,0.2,0.29453681710213775,842,3
race,Other,0.1,0.2,0.16666666666666666,48,3
race,Caucasian,0.1,0.2,0.31123662306777644,3364,4
race,Other,0.1,0.2,0.2222222222222222,36,4
race,African-American,0.1,0.2,0.28188775510204084,784,4
race,Caucasian,0.2,0.3,0.36967349197565025,1807,0
race,African-American,0.2,0.3,0.3,450,0
race,Other,0.2,0.3,0.375,8,0
race,Caucasian,0.2,0.3,0.38478500551267913,1814,1
race,African-American,0.2,0.3,0.3425,400,1
race,Other,0.2,0.3,0.18181818181818182,11,1
race,African-American,0.2,0.3,0.3609341825902335,471,2
race,Caucasian,0.2,0.3,0.3524277141298418,1833,2
race,Other,0.2,0.3,0.1111111111111111,18,2
race,Caucasian,0.2,0.3,0.3684210526315789,1748,3
race,African-American,0.2,0.3,0.4023529411764706,425,3
race,Other,0.2,0.3,0.26666666666666666,15,3
race,Caucasian,0.2,0.3,0.37047052460789615,1849,4
race,Other,0.2,0.3,0.0625,16,4
race,African-American,0.2,0.3,0.36091954022988504,435,4
race,Caucasian,0.3,0.4,0.4095238095238095,1260,0
race,African-American,0.3,0.4,0.45918367346938777,294,0
race,Other,0.3,0.4,0.5,8,0
