Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.07792207792207792,154,0
race,Caucasian,0.4,0.5,0.08681462140992167,1532,0
race,Other,0.4,0.5,0.05263157894736842,57,0
race,Caucasian,0.4,0.5,0.08965929468021518,1673,1
race,Other,0.4,0.5,0.0,47,1
race,African-American,0.4,0.5,0.0658682634730539,167,1
race,African-American,0.4,0.5,0.1292517006802721,147,2
race,Caucasian,0.4,0.5,0.07961309523809523,1344,2
race,Other,0.4,0.5,0.0,40,2
race,Caucasian,0.4,0.5,0.06705539358600583,1372,3
race,African-American,0.4,0.5,0.07333333333333333,150,3
race,Other,0.4,0.5,0.0,46,3
race,Caucasian,0.4,0.5,0.07746478873239436,1562,4
race,Other,0.4,0.5,0.04,50,4
race,African-American,0.4,0.5,0.09740259740259741,154,4
race,African-American,0.5,0.6,0.133086876155268,1082,0
race,Caucasian,0.5,0.6,0.1363051864552079,6999,0
race,Other,0.5,0.6,0.07169811320754717,265,0
race,Caucasian,0.5,0.6,0.14200256373735934,7021,1
race,Other,0.5,0.6,0.04878048780487805,287,1
race,African-American,0.5,0.6,0.12751677852348994,1192,1
race,African-American,0.5,0.6,0.1293800539083558,1113,2
race,Caucasian,0.5,0.6,0.13062937062937063,7150,2
race,Other,0.5,0.6,0.07335907335907337,259,2
race,Caucasian,0.5,0.6,0.13064165307232192,7356,3
race,African-American,0.5,0.6,0.12145390070921985,1128,3
race,Other,0.5,0.6,0.07931034482758621,290,3
race,Caucasian,0.5,0.6,0.13472563472563473,7326,4
race,Other,0.5,0.6,0.0821917808219178,292,4
race,African-American,0.5,0.6,0.13624220837043632,1123,4
race,African-American,0.6,0.7,0.19126691266912668,1626,0
race,Caucasian,0.6,0.7,0.21456953642384105,6795,0
race,Other,0.6,0.7,0.13257575757575757,264,0
race,Caucasian,0.6,0.7,0.21779964221824688,6708,1
race,Other,0.6,0.7,0.07964601769911504,226,1
race,African-American,0.6,0.7,0.20046620046620048,1716,1
race,African-American,0.6,0.7,0.19888129272840274,1609,2
race,Caucasian,0.6,0.7,0.20364336492890994,6752,2
race,Other,0.6,0.7,0.1018867924528302,265,2
race,Caucasian,0.6,0.7,0.2128262490678598,6705,3
race,African-American,0.6,0.7,0.20648967551622419,1695,3
race,Other,0.6,0.7,0.13261648745519714,279,3
race,Caucasian,0.6,0.7,0.22158490566037736,6625,4
race,Other,0.6,0.7,0.16101694915254236,236,4
race,African-American,0.6,0.7,0.21500295333727112,1693,4
race,African-American,0.7,0.8,0.27684563758389263,1192,0
race,Caucasian,0.7,0.8,0.29742289818335443,4734,0
race,Other,0.7,0.8,0.17543859649122806,114,0
race,Caucasian,0.7,0.8,0.3000220118864187,4543,1
race,Other,0.7,0.8,0.16981132075471697,106,1
race,African-American,0.7,0.8,0.27399650959860383,1146,1
race,African-American,0.7,0.8,0.2661290322580645,1240,2
race,Caucasian,0.7,0.8,0.3055016181229773,4635,2
race,Other,0.7,0.8,0.13392857142857142,112,2
race,Caucasian,0.7,0.8,0.2983175150992235,4636,3
race,African-American,0.7,0.8,0.26666666666666666,1155,3
race,Other,0.7,0.8,0.15151515151515152,99,3
race,Caucasian,0.7,0.8,0.29670808807499455,4587,4
race,Other,0.7,0.8,0.21739130434782608,92,4
race,African-American,0.7,0.8,0.29346904156064463,1179,4
race,African-American,0.8,0.9,0.4126712328767123,1168,0
race,Caucasian,0.8,0.9,0.4408018375443725,4789,0
race,Other,0.8,0.9,0.3392857142857143,56,0
race,Caucasian,0.8,0.9,0.44164428837017145,4841,1
race,Other,0.8,0.9,0.3466666666666667,75,1
race,African-American,0.8,0.9,0.4527777777777778,1080,1
