Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.07785312180143296,15632,0
race,African-American,0.0,0.1,0.0800132802124834,3012,0
race,Other,0.0,0.1,0.029985007496251874,667,0
race,Caucasian,0.0,0.1,0.07480975106410422,15506,1
race,African-American,0.0,0.1,0.08744993324432576,2996,1
race,Other,0.0,0.1,0.02457757296466974,651,1
race,African-American,0.0,0.1,0.0832458901713886,2859,2
race,Caucasian,0.0,0.1,0.07420258908314427,14986,2
race,Other,0.0,0.1,0.018209408194233688,659,2
race,Caucasian,0.0,0.1,0.07849654819739198,15644,3
race,African-American,0.0,0.1,0.08344113842173351,3092,3
race,Other,0.0,0.1,0.027565084226646247,653,3
race,Caucasian,0.0,0.1,0.07531990371215001,15786,4
race,Other,0.0,0.1,0.024495677233429394,694,4
race,African-American,0.0,0.1,0.07212793733681462,3064,4
race,Caucasian,0.1,0.2,0.13629175726428147,10118,0
race,African-American,0.1,0.2,0.13079615048118984,2286,0
race,Other,0.1,0.2,0.03065134099616858,261,0
race,Caucasian,0.1,0.2,0.14085525721001718,11061,1
race,African-American,0.1,0.2,0.12609238451935081,2403,1
race,Other,0.1,0.2,0.03787878787878788,264,1
race,African-American,0.1,0.2,0.13396375098502758,2538,2
race,Caucasian,0.1,0.2,0.1339572192513369,11220,2
race,Other,0.1,0.2,0.033783783783783786,296,2
race,Caucasian,0.1,0.2,0.14000752728641325,10628,3
race,African-American,0.1,0.2,0.14754098360655737,2379,3
race,Other,0.1,0.2,0.053691275167785234,298,3
race,Caucasian,0.1,0.2,0.14214292716400354,10201,4
race,Other,0.1,0.2,0.06870229007633588,262,4
race,African-American,0.1,0.2,0.12478411053540588,2316,4
race,Caucasian,0.2,0.3,0.23672818409660515,4389,0
race,African-American,0.2,0.3,0.19397363465160075,1062,0
race,Other,0.2,0.3,0.0967741935483871,31,0
race,Caucasian,0.2,0.3,0.26144347455822864,4697,1
race,African-American,0.2,0.3,0.25996204933586337,1054,1
race,Other,0.2,0.3,0.09090909090909091,44,1
race,African-American,0.2,0.3,0.2488306828811974,1069,2
race,Caucasian,0.2,0.3,0.2505041451938158,4463,2
race,Other,0.2,0.3,0.15217391304347827,46,2
race,Caucasian,0.2,0.3,0.2328054298642534,4420,3
race,African-American,0.2,0.3,0.2612282309807516,1091,3
race,Other,0.2,0.3,0.14,50,3
race,Caucasian,0.2,0.3,0.2545196018687792,4923,4
race,Other,0.2,0.3,0.14285714285714285,35,4
race,African-American,0.2,0.3,0.23459061637534498,1087,4
race,Caucasian,0.3,0.4,0.32076032076032074,3367,0
race,African-American,0.3,0.4,0.34112792297111416,727,0
race,Other,0.3,0.4,0.14285714285714285,14,0
race,Caucasian,0.3,0.4,0.3469770935035674,2663,1
race,African-American,0.3,0.4,0.3612662942271881,537,1
race,Other,0.3,0.4,0.2222222222222222,9,1
race,African-American,0.3,0.4,0.3289665211062591,687,2
race,Caucasian,0.3,0.4,0.3444682807232608,3263,2
race,Other,0.3,0.4,0.041666666666666664,24,2
race,Caucasian,0.3,0.4,0.345679012345679,2754,3
race,African-American,0.3,0.4,0.3501577287066246,634,3
race,Other,0.3,0.4,0.1,20,3
race,Caucasian,0.3,0.4,0.33811475409836067,2928,4
race,Other,0.3,0.4,0.14285714285714285,21,4
race,African-American,0.3,0.4,0.35901386748844377,649,4
race,Caucasian,0.4,0.5,0.40441801189464743,1177,0
race,African-American,0.4,0.5,0.4216417910447761,268,0
race,Other,0.4,0.5,0.2222222222222222,9,0
race,Caucasian,0.4,0.5,0.42090193271295634,1397,1
race,African-American,0.4,0.5,0.4270833333333333,288,1
race,Other,0.4,0.5,0.3333333333333333,6,1
race,African-American,0.4,0.5,0.4594594594594595,259,2
race,Caucasian,0.4,0.5,0.4503375120540019,1037,2
race,Other,0.4,0.5,0.375,8,2
race,Caucasian,0.4,0.5,0.4141238012205754,1147,3
race,African-American,0.4,0.5,0.42083333333333334,240,3
race,Other,0.4,0.5,0.25,4,3
race,Caucasian,0.4,0.5,0.4323076923076923,1300,4
race,Other,0.4,0.5,0.3333333333333333,6,4
race,African-American,0.4,0.5,0.46484375,256,4
race,Caucasian,0.5,0.6,0.47050359712230216,695,0
race,African-American,0.5,0.6,0.3987730061349693,163,0
race,Other,0.5,0.6,1.0,1,0
race,Caucasian,0.5,0.6,0.5492125984251969,508,1
race,African-American,0.5,0.6,0.5473684210526316,95,1
race,Other,0.5,0.6,0.4,5,1
race,African-American,0.5,0.6,0.5084745762711864,118,2
race,Caucasian,0.5,0.6,0.5053533190578159,467,2
race,Other,0.5,0.6,0.5,2,2
race,Caucasian,0.5,0.6,0.5125725338491296,1034,3
race,African-American,0.5,0.6,0.5495049504950495,202,3
race,Other,0.5,0.6,0.25,4,3
race,Caucasian,0.5,0.6,0.5164410058027079,517,4
race,Other,0.5,0.6,0.0,4,4
race,African-American,0.5,0.6,0.5113636363636364,88,4
race,Caucasian,0.6,0.7,0.5372750642673522,389,0
race,African-American,0.6,0.7,0.5483870967741935,93,0
race,Other,0.6,0.7,0.0,1,0
race,Caucasian,0.6,0.7,0.6204620462046204,303,1
race,African-American,0.6,0.7,0.5303030303030303,66,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.5774647887323944,71,2
race,Caucasian,0.6,0.7,0.6005917159763313,338,2
race,Other,0.6,0.7,0.5,4,2
race,Caucasian,0.6,0.7,0.6,130,3
race,African-American,0.6,0.7,0.631578947368421,19,3
race,Other,0.6,0.7,0.5,2,3
race,Caucasian,0.6,0.7,0.5451127819548872,266,4
race,Other,0.6,0.7,0.5,4,4
race,African-American,0.6,0.7,0.5625,48,4
race,Caucasian,0.7,0.8,0.64,125,0
race,African-American,0.7,0.8,0.9047619047619048,21,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,0.6666666666666666,9,1
race,African-American,0.7,0.8,1.0,1,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.5,10,2
race,Caucasian,0.7,0.8,0.4,50,2
race,Other,0.7,0.8,0.0,1,2
race,Caucasian,0.7,0.8,0.5588235294117647,34,3
race,African-American,0.7,0.8,0.4,10,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.6029411764705882,68,4
race,Other,0.7,0.8,,0,4
race,African-American,0.7,0.8,0.5,16,4
race,Caucasian,0.8,0.9,0.6333333333333333,30,0
