Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.11288667350828324,6821,0
race,Caucasian,0.0,0.1,0.109499940327008,33516,0
race,Other,0.0,0.1,0.03542009884678748,1214,0
race,Caucasian,0.0,0.1,0.10776942355889724,33516,1
race,African-American,0.0,0.1,0.11529411764705882,6800,1
race,Other,0.0,0.1,0.0210016155088853,1238,1
race,African-American,0.0,0.1,0.10989169675090253,6925,2
race,Caucasian,0.0,0.1,0.11279390595009597,33344,2
race,Other,0.0,0.1,0.027385892116182572,1205,2
race,Other,0.0,0.1,0.031841652323580036,1162,3
race,Caucasian,0.0,0.1,0.11059634117367546,33672,3
race,African-American,0.0,0.1,0.1127330539095245,6919,3
race,Caucasian,0.0,0.1,0.10796961120214509,33565,4
race,African-American,0.0,0.1,0.1094430265725867,6661,4
race,Other,0.0,0.1,0.030204081632653063,1225,4
race,African-American,0.1,0.2,0.26453488372093026,688,0
race,Caucasian,0.1,0.2,0.28841442072103607,2857,0
race,Other,0.1,0.2,0.05263157894736842,19,0
race,Caucasian,0.1,0.2,0.30987359070720877,2927,1
race,African-American,0.1,0.2,0.2938718662952646,718,1
race,Other,0.1,0.2,0.17647058823529413,17,1
race,African-American,0.1,0.2,0.2844574780058651,682,2
race,Caucasian,0.1,0.2,0.28920353982300884,2825,2
race,Other,0.1,0.2,0.17647058823529413,17,2
race,Other,0.1,0.2,0.3,20,3
race,Caucasian,0.1,0.2,0.3103202846975089,2810,3
race,African-American,0.1,0.2,0.2935153583617747,586,3
race,Caucasian,0.1,0.2,0.29330093717459216,2881,4
race,African-American,0.1,0.2,0.3008849557522124,678,4
race,Other,0.1,0.2,0.125,24,4
race,African-American,0.2,0.3,0.38461538461538464,338,0
race,Caucasian,0.2,0.3,0.36200716845878134,1395,0
race,Other,0.2,0.3,0.3,10,0
race,Caucasian,0.2,0.3,0.38642857142857145,1400,1
race,African-American,0.2,0.3,0.41875,320,1
race,Other,0.2,0.3,0.42857142857142855,7,1
race,African-American,0.2,0.3,0.3743016759776536,358,2
race,Caucasian,0.2,0.3,0.3596866096866097,1404,2
race,Other,0.2,0.3,0.16666666666666666,6,2
race,Other,0.2,0.3,0.0,6,3
race,Caucasian,0.2,0.3,0.3786407766990291,1442,3
race,African-American,0.2,0.3,0.3786127167630058,346,3
race,Caucasian,0.2,0.3,0.3581881533101045,1435,4
race,African-American,0.2,0.3,0.3791208791208791,364,4
race,Other,0.2,0.3,0.2,5,4
race,African-American,0.3,0.4,0.3763440860215054,186,0
race,Caucasian,0.3,0.4,0.42731277533039647,908,0
race,Other,0.3,0.4,0.25,4,0
race,Caucasian,0.3,0.4,0.45714285714285713,840,1
race,African-American,0.3,0.4,0.4387755102040816,196,1
