Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.07344410025344973,17755,0
race,Other,0.0,0.1,0.016666666666666666,840,0
race,African-American,0.0,0.1,0.07544088830829523,3062,0
race,African-American,0.0,0.1,0.07048599935629224,3107,1
race,Caucasian,0.0,0.1,0.07206600437784139,17817,1
race,Other,0.0,0.1,0.01694915254237288,826,1
race,African-American,0.0,0.1,0.07450980392156863,3060,2
race,Caucasian,0.0,0.1,0.07165667544400246,17849,2
race,Other,0.0,0.1,0.03211517165005537,903,2
race,Caucasian,0.0,0.1,0.07272019139820843,17973,3
race,Other,0.0,0.1,0.013563501849568433,811,3
race,African-American,0.0,0.1,0.0785925682341335,3041,3
race,Caucasian,0.0,0.1,0.0690943564577292,17932,4
race,African-American,0.0,0.1,0.08164577306332368,3111,4
race,Other,0.0,0.1,0.02453271028037383,856,4
race,Caucasian,0.1,0.2,0.1365800073233248,10924,0
race,Other,0.1,0.2,0.03666666666666667,300,0
race,African-American,0.1,0.2,0.13106796116504854,2678,0
race,African-American,0.1,0.2,0.13478915662650603,2656,1
race,Caucasian,0.1,0.2,0.14160253508374832,11045,1
race,Other,0.1,0.2,0.03873239436619718,284,1
race,African-American,0.1,0.2,0.12551672303645245,2661,2
race,Caucasian,0.1,0.2,0.14065670540490685,10842,2
race,Other,0.1,0.2,0.0472972972972973,296,2
race,Caucasian,0.1,0.2,0.14441192610206693,10934,3
race,Other,0.1,0.2,0.04152249134948097,289,3
race,African-American,0.1,0.2,0.12613636363636363,2640,3
race,Caucasian,0.1,0.2,0.1389272242156592,10869,4
race,African-American,0.1,0.2,0.14006888633754305,2613,4
race,Other,0.1,0.2,0.04081632653061224,294,4
race,Caucasian,0.2,0.3,0.2586436170212766,7520,0
race,Other,0.2,0.3,0.041666666666666664,72,0
race,African-American,0.2,0.3,0.24605855855855857,1776,0
race,African-American,0.2,0.3,0.25632183908045975,1740,1
race,Caucasian,0.2,0.3,0.25664316702819956,7376,1
race,Other,0.2,0.3,0.10227272727272728,88,1
race,African-American,0.2,0.3,0.25100516944284895,1741,2
race,Caucasian,0.2,0.3,0.2545672756367516,7499,2
