Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.0234375,128,0
race,Caucasian,0.4,0.5,0.0418342719227675,1243,0
race,Other,0.4,0.5,0.016129032258064516,62,0
race,Caucasian,0.4,0.5,0.037296037296037296,1287,1
race,African-American,0.4,0.5,0.023622047244094488,127,1
race,Other,0.4,0.5,0.05172413793103448,58,1
race,African-American,0.4,0.5,0.014084507042253521,142,2
race,Caucasian,0.4,0.5,0.03653693407466243,1259,2
race,Other,0.4,0.5,0.013157894736842105,76,2
race,Other,0.4,0.5,0.012987012987012988,77,3
race,Caucasian,0.4,0.5,0.03545051698670606,1354,3
race,African-American,0.4,0.5,0.027777777777777776,144,3
race,Caucasian,0.4,0.5,0.03387220939183987,1299,4
race,African-American,0.4,0.5,0.03305785123966942,121,4
race,Other,0.4,0.5,0.02197802197802198,91,4
race,African-American,0.5,0.6,0.07533573534228627,3053,0
race,Caucasian,0.5,0.6,0.07657685055653549,16441,0
race,Other,0.5,0.6,0.02247191011235955,801,0
race,Caucasian,0.5,0.6,0.0688015409618973,16613,1
race,African-American,0.5,0.6,0.07321187584345479,2964,1
race,Other,0.5,0.6,0.014457831325301205,830,1
race,African-American,0.5,0.6,0.07466216216216216,2960,2
race,Caucasian,0.5,0.6,0.07417616072522357,16326,2
race,Other,0.5,0.6,0.01832460732984293,764,2
race,Other,0.5,0.6,0.021136063408190225,757,3
race,Caucasian,0.5,0.6,0.07348489345284027,16847,3
race,African-American,0.5,0.6,0.0743747970120169,3079,3
race,Caucasian,0.5,0.6,0.07115513155496142,16457,4
race,African-American,0.5,0.6,0.07720588235294118,2992,4
race,Other,0.5,0.6,0.025,760,4
race,African-American,0.6,0.7,0.11857506361323156,1965,0
race,Caucasian,0.6,0.7,0.11575046324891909,8095,0
race,Other,0.6,0.7,0.054901960784313725,255,0
race,Caucasian,0.6,0.7,0.11921751968503937,8128,1
race,African-American,0.6,0.7,0.1231079717457114,1982,1
race,Other,0.6,0.7,0.016597510373443983,241,1
race,African-American,0.6,0.7,0.1045346062052506,2095,2
race,Caucasian,0.6,0.7,0.12275811924381969,8252,2
race,Other,0.6,0.7,0.0205761316872428,243,2
race,Other,0.6,0.7,0.0391304347826087,230,3
race,Caucasian,0.6,0.7,0.11718083160590172,8201,3
race,African-American,0.6,0.7,0.10893574297188754,1992,3
race,Caucasian,0.6,0.7,0.11754240303641324,8431,4
race,African-American,0.6,0.7,0.11180773249738767,1914,4
race,Other,0.6,0.7,0.03717472118959108,269,4
race,African-American,0.7,0.8,0.17797228300510576,1371,0
race,Caucasian,0.7,0.8,0.17809364548494983,5980,0
race,Other,0.7,0.8,0.0975609756097561,82,0
race,Caucasian,0.7,0.8,0.19747474747474747,5940,1
race,African-American,0.7,0.8,0.1903409090909091,1408,1
race,Other,0.7,0.8,0.05154639175257732,97,1
race,African-American,0.7,0.8,0.1866096866096866,1404,2
race,Caucasian,0.7,0.8,0.1966310873915944,5996,2
race,Other,0.7,0.8,0.12,100,2
race,Other,0.7,0.8,0.12195121951219512,82,3
race,Caucasian,0.7,0.8,0.19989792446410343,5878,3
race,African-American,0.7,0.8,0.18853046594982079,1395,3
race,Caucasian,0.7,0.8,0.1927773000859845,5815,4
race,African-American,0.7,0.8,0.17777777777777778,1350,4
race,Other,0.7,0.8,0.05555555555555555,90,4
race,African-American,0.8,0.9,0.2878228782287823,1355,0
race,Caucasian,0.8,0.9,0.2869522563767168,6116,0
race,Other,0.8,0.9,0.13636363636363635,44,0
race,Caucasian,0.8,0.9,0.3062303751446042,6051,1
race,African-American,0.8,0.9,0.3053977272727273,1408,1
race,Other,0.8,0.9,0.22727272727272727,44,1
