Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.02457586808308229,6307,0
race,Caucasian,0.0,0.1,0.024439181632787316,30402,0
race,Other,0.0,0.1,0.00522466039707419,957,0
race,Caucasian,0.0,0.1,0.024490873683863087,30297,1
race,Other,0.0,0.1,0.006134969325153374,978,1
race,African-American,0.0,0.1,0.02267716535433071,6350,1
race,African-American,0.0,0.1,0.030013241135795204,6797,2
race,Caucasian,0.0,0.1,0.0270595690747782,31560,2
race,Other,0.0,0.1,0.004132231404958678,968,2
race,Caucasian,0.0,0.1,0.02468522200132538,30180,3
race,African-American,0.0,0.1,0.02269170579029734,6390,3
race,Other,0.0,0.1,0.007253886010362694,965,3
race,Caucasian,0.0,0.1,0.0234761936208149,30286,4
race,African-American,0.0,0.1,0.023898781630740395,6402,4
race,Other,0.0,0.1,0.008991008991008992,1001,4
race,African-American,0.1,0.2,0.11811023622047244,889,0
race,Caucasian,0.1,0.2,0.10045908722657305,3703,0
race,Other,0.1,0.2,0.0,29,0
race,Caucasian,0.1,0.2,0.09849086576648133,3777,1
race,Other,0.1,0.2,0.11764705882352941,34,1
race,African-American,0.1,0.2,0.10735826296743065,829,1
race,African-American,0.1,0.2,0.13405238828967642,649,2
race,Caucasian,0.1,0.2,0.11274182788525684,2998,2
race,Other,0.1,0.2,0.043478260869565216,23,2
race,Caucasian,0.1,0.2,0.10549281314168378,3896,3
race,African-American,0.1,0.2,0.09146341463414634,820,3
race,Other,0.1,0.2,0.0,25,3
race,Caucasian,0.1,0.2,0.10957078112503332,3751,4
race,African-American,0.1,0.2,0.10759493670886076,790,4
race,Other,0.1,0.2,0.02631578947368421,38,4
race,African-American,0.2,0.3,0.22625698324022347,358,0
race,Caucasian,0.2,0.3,0.1890625,1920,0
race,Other,0.2,0.3,0.1111111111111111,9,0
race,Caucasian,0.2,0.3,0.19578622816032887,1946,1
race,Other,0.2,0.3,0.18181818181818182,11,1
race,African-American,0.2,0.3,0.24147727272727273,352,1
race,African-American,0.2,0.3,0.22540983606557377,244,2
race,Caucasian,0.2,0.3,0.21143717080511662,1329,2
race,Other,0.2,0.3,0.16666666666666666,6,2
race,Caucasian,0.2,0.3,0.18229715489989462,1898,3
race,African-American,0.2,0.3,0.24102564102564103,390,3
race,Other,0.2,0.3,0.2,10,3
race,Caucasian,0.2,0.3,0.18724066390041494,1928,4
race,African-American,0.2,0.3,0.24390243902439024,369,4
race,Other,0.2,0.3,0.375,8,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,,0,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,1
race,African-American,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,,0,3
race,African-American,0.5,0.6,,0,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,,0,4
race,African-American,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,1
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,1
race,African-American,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,,0,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,1
race,African-American,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Caucasian,0.8,0.9,,0,3
race,African-American,0.8,0.9,,0,3
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,,0,4
race,African-American,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,1
race,African-American,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.021742453190676348,26170,0
sex,female,0.0,0.1,0.029053583855254,11496,0
sex,male,0.0,0.1,0.022846498897589905,26306,1
sex,female,0.0,0.1,0.02570898489265836,11319,1
sex,male,0.0,0.1,0.025921828908554573,27120,2
sex,female,0.0,0.1,0.029414174518639903,12205,2
sex,female,0.0,0.1,0.02692205843410716,11329,3
sex,male,0.0,0.1,0.022590246508433182,26206,3
sex,female,0.0,0.1,0.029099146192716502,11478,4
sex,male,0.0,0.1,0.02056388539162947,26211,4
sex,male,0.1,0.2,0.10091743119266056,3161,0
sex,female,0.1,0.2,0.10821917808219178,1460,0
sex,male,0.1,0.2,0.10229508196721311,3050,1
sex,female,0.1,0.2,0.09622641509433963,1590,1
sex,male,0.1,0.2,0.11319966583124477,2394,2
sex,female,0.1,0.2,0.12147335423197492,1276,2
sex,female,0.1,0.2,0.10750636132315522,1572,3
sex,male,0.1,0.2,0.10003155569580309,3169,3
sex,female,0.1,0.2,0.11287128712871287,1515,4
sex,male,0.1,0.2,0.10639686684073107,3064,4
sex,male,0.2,0.3,0.19188445667125173,1454,0
sex,female,0.2,0.3,0.1992797118847539,833,0
sex,male,0.2,0.3,0.2023082145281738,1473,1
sex,female,0.2,0.3,0.20334928229665072,836,1
sex,male,0.2,0.3,0.22602089268755934,1053,2
sex,female,0.2,0.3,0.188212927756654,526,2
sex,female,0.2,0.3,0.18292682926829268,820,3
sex,male,0.2,0.3,0.1975642760487145,1478,3
sex,female,0.2,0.3,0.19153936545240893,851,4
sex,male,0.2,0.3,0.20013755158184318,1454,4
sex,male,0.3,0.4,,0,0
sex,female,0.3,0.4,,0,0
sex,male,0.3,0.4,,0,1
sex,female,0.3,0.4,,0,1
sex,male,0.3,0.4,,0,2
sex,female,0.3,0.4,,0,2
sex,female,0.3,0.4,,0,3
sex,male,0.3,0.4,,0,3
sex,female,0.3,0.4,,0,4
sex,male,0.3,0.4,,0,4
sex,male,0.4,0.5,,0,0
sex,female,0.4,0.5,,0,0
sex,male,0.4,0.5,,0,1
sex,female,0.4,0.5,,0,1
sex,male,0.4,0.5,,0,2
sex,female,0.4,0.5,,0,2
sex,female,0.4,0.5,,0,3
sex,male,0.4,0.5,,0,3
sex,female,0.4,0.5,,0,4
sex,male,0.4,0.5,,0,4
sex,male,0.5,0.6,,0,0
sex,female,0.5,0.6,,0,0
sex,male,0.5,0.6,,0,1
sex,female,0.5,0.6,,0,1
sex,male,0.5,0.6,,0,2
sex,female,0.5,0.6,,0,2
sex,female,0.5,0.6,,0,3
sex,male,0.5,0.6,,0,3
sex,female,0.5,0.6,,0,4
sex,male,0.5,0.6,,0,4
sex,male,0.6,0.7,,0,0
sex,female,0.6,0.7,,0,0
sex,male,0.6,0.7,,0,1
sex,female,0.6,0.7,,0,1
sex,male,0.6,0.7,,0,2
sex,female,0.6,0.7,,0,2
sex,female,0.6,0.7,,0,3
sex,male,0.6,0.7,,0,3
sex,female,0.6,0.7,,0,4
sex,male,0.6,0.7,,0,4
sex,male,0.7,0.8,,0,0
sex,female,0.7,0.8,,0,0
sex,male,0.7,0.8,,0,1
sex,female,0.7,0.8,,0,1
sex,male,0.7,0.8,,0,2
sex,female,0.7,0.8,,0,2
sex,female,0.7,0.8,,0,3
sex,male,0.7,0.8,,0,3
sex,female,0.7,0.8,,0,4
sex,male,0.7,0.8,,0,4
sex,male,0.8,0.9,,0,0
sex,female,0.8,0.9,,0,0
sex,male,0.8,0.9,,0,1
sex,female,0.8,0.9,,0,1
sex,male,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,2
sex,female,0.8,0.9,,0,3
sex,male,0.8,0.9,,0,3
sex,female,0.8,0.9,,0,4
sex,male,0.8,0.9,,0,4
sex,male,0.9,1.0,,0,0
sex,female,0.9,1.0,,0,0
sex,male,0.9,1.0,,0,1
sex,female,0.9,1.0,,0,1
sex,male,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,2
sex,female,0.9,1.0,,0,3
sex,male,0.9,1.0,,0,3
sex,female,0.9,1.0,,0,4
sex,male,0.9,1.0,,0,4
