Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.0,91,0
race,Caucasian,0.3,0.4,0.006255585344057194,1119,0
race,Other,0.3,0.4,0.0,38,0
race,Caucasian,0.3,0.4,0.0026292725679228747,1141,1
race,Other,0.3,0.4,0.0,29,1
race,African-American,0.3,0.4,0.010101010101010102,99,1
race,African-American,0.3,0.4,0.0,101,2
race,Caucasian,0.3,0.4,0.0035587188612099642,1124,2
race,Other,0.3,0.4,0.0,33,2
race,Caucasian,0.3,0.4,0.0027624309392265192,1086,3
race,African-American,0.3,0.4,0.0,90,3
race,Other,0.3,0.4,0.0,42,3
race,Caucasian,0.3,0.4,0.00699912510936133,1143,4
race,Other,0.3,0.4,0.0,36,4
race,African-American,0.3,0.4,0.0,99,4
race,African-American,0.4,0.5,0.00686106346483705,583,0
race,Caucasian,0.4,0.5,0.010044881384911306,4679,0
race,Other,0.4,0.5,0.0,174,0
race,Caucasian,0.4,0.5,0.009836798569192935,4473,1
race,Other,0.4,0.5,0.0,154,1
race,African-American,0.4,0.5,0.006968641114982578,574,1
race,African-American,0.4,0.5,0.004893964110929853,613,2
race,Caucasian,0.4,0.5,0.0085041430440471,4586,2
race,Other,0.4,0.5,0.006711409395973154,149,2
race,Caucasian,0.4,0.5,0.008684034736138945,4491,3
race,African-American,0.4,0.5,0.0017605633802816902,568,3
race,Other,0.4,0.5,0.0,169,3
race,Caucasian,0.4,0.5,0.007775377969762419,4630,4
race,Other,0.4,0.5,0.0,155,4
race,African-American,0.4,0.5,0.008928571428571428,560,4
race,African-American,0.5,0.6,0.019844082211197732,1411,0
race,Caucasian,0.5,0.6,0.02251741454722177,6173,0
race,Other,0.5,0.6,0.0,220,0
race,Caucasian,0.5,0.6,0.022760290556900726,6195,1
race,Other,0.5,0.6,0.0,214,1
race,African-American,0.5,0.6,0.017229953611663355,1509,1
race,African-American,0.5,0.6,0.020694752402069475,1353,2
race,Caucasian,0.5,0.6,0.022546419098143235,6032,2
race,Other,0.5,0.6,0.0,234,2
race,Caucasian,0.5,0.6,0.021772410273856097,5879,3
race,African-American,0.5,0.6,0.016591251885369532,1326,3
race,Other,0.5,0.6,0.004901960784313725,204,3
race,Caucasian,0.5,0.6,0.023039889958734527,5816,4
race,Other,0.5,0.6,0.0,204,4
race,African-American,0.5,0.6,0.020786933927245732,1347,4
race,African-American,0.6,0.7,0.034930950446791224,1231,0
race,Caucasian,0.6,0.7,0.03715450838241957,4414,0
race,Other,0.6,0.7,0.01910828025477707,157,0
race,Caucasian,0.6,0.7,0.03772766695576756,4612,1
race,Other,0.6,0.7,0.006622516556291391,151,1
race,African-American,0.6,0.7,0.03177124702144559,1259,1
race,African-American,0.6,0.7,0.0297427652733119,1244,2
race,Caucasian,0.6,0.7,0.03996427774056709,4479,2
race,Other,0.6,0.7,0.0078125,128,2
race,Caucasian,0.6,0.7,0.036272806255430064,4604,3
race,African-American,0.6,0.7,0.0258272800645682,1239,3
race,Other,0.6,0.7,0.0,170,3
race,Caucasian,0.6,0.7,0.036585365853658534,4674,4
race,Other,0.6,0.7,0.012578616352201259,159,4
race,African-American,0.6,0.7,0.03225806451612903,1271,4
race,African-American,0.7,0.8,0.05613126079447323,1158,0
race,Caucasian,0.7,0.8,0.06322689786424192,4729,0
race,Other,0.7,0.8,0.048,125,0
race,Caucasian,0.7,0.8,0.07091891891891892,4625,1
race,Other,0.7,0.8,0.008547008547008548,117,1
race,African-American,0.7,0.8,0.06126126126126126,1110,1
race,African-American,0.7,0.8,0.05289672544080604,1191,2
race,Caucasian,0.7,0.8,0.06577319587628866,4850,2
race,Other,0.7,0.8,0.008130081300813009,123,2
race,Caucasian,0.7,0.8,0.06277463904582549,4779,3
race,African-American,0.7,0.8,0.05228758169934641,1224,3
race,Other,0.7,0.8,0.0,113,3
race,Caucasian,0.7,0.8,0.06341463414634146,4715,4
race,Other,0.7,0.8,0.04672897196261682,107,4
race,African-American,0.7,0.8,0.05143338954468803,1186,4
race,African-American,0.8,0.9,0.09117938553022795,1009,0
race,Caucasian,0.8,0.9,0.10959211116091438,4462,0
race,Other,0.8,0.9,0.043478260869565216,46,0
race,Caucasian,0.8,0.9,0.11160123511248346,4534,1
race,Other,0.8,0.9,0.0684931506849315,73,1
