Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Caucasian,0.0,0.1,0.0233347223048991,33598,0
race,African-American,0.0,0.1,0.03749455021072518,6881,0
race,Other,0.0,0.1,0.005291005291005291,945,0
race,Caucasian,0.0,0.1,0.024681128111035483,33791,1
race,African-American,0.0,0.1,0.0357625845229151,6655,1
race,Other,0.0,0.1,0.005274261603375527,948,1
race,African-American,0.0,0.1,0.037939588501386255,6853,2
race,Caucasian,0.0,0.1,0.023083093193903923,33661,2
race,Other,0.0,0.1,0.007049345417925478,993,2
race,Caucasian,0.0,0.1,0.02263062420079103,33627,3
race,African-American,0.0,0.1,0.04207777132907719,6892,3
race,Other,0.0,0.1,0.007035175879396985,995,3
race,Caucasian,0.0,0.1,0.022282382340691378,33614,4
race,Other,0.0,0.1,0.003054989816700611,982,4
race,African-American,0.0,0.1,0.03411450608128152,6742,4
race,Caucasian,0.1,0.2,0.13354531001589826,1887,0
race,African-American,0.1,0.2,0.16013628620102216,587,0
race,Other,0.1,0.2,0.16666666666666666,36,0
race,Caucasian,0.1,0.2,0.11787627861665854,2053,1
race,African-American,0.1,0.2,0.1700787401574803,635,1
race,Other,0.1,0.2,0.07142857142857142,28,1
race,African-American,0.1,0.2,0.1651705565529623,557,2
race,Caucasian,0.1,0.2,0.1261759822910902,1807,2
race,Other,0.1,0.2,0.14285714285714285,42,2
race,Caucasian,0.1,0.2,0.13137472283813748,1804,3
race,African-American,0.1,0.2,0.17264957264957265,585,3
race,Other,0.1,0.2,0.06060606060606061,33,3
race,Caucasian,0.1,0.2,0.11614583333333334,1920,4
race,Other,0.1,0.2,0.10256410256410256,39,4
race,African-American,0.1,0.2,0.16407599309153714,579,4
race,Caucasian,0.2,0.3,0.2528409090909091,352,0
race,African-American,0.2,0.3,0.2765957446808511,141,0
race,Other,0.2,0.3,0.0,3,0
race,Caucasian,0.2,0.3,0.1643835616438356,73,1
race,African-American,0.2,0.3,0.21428571428571427,42,1
race,Other,0.2,0.3,0.0,1,1
race,African-American,0.2,0.3,0.25547445255474455,137,2
race,Caucasian,0.2,0.3,0.2014388489208633,278,2
race,Other,0.2,0.3,0.0,3,2
race,Caucasian,0.2,0.3,0.2375,240,3
race,African-American,0.2,0.3,0.232,125,3
race,Other,0.2,0.3,0.0,3,3
race,Caucasian,0.2,0.3,0.23333333333333334,360,4
race,Other,0.2,0.3,0.0,2,4
race,African-American,0.2,0.3,0.2331288343558282,163,4
race,Caucasian,0.3,0.4,0.3918918918918919,74,0
race,African-American,0.3,0.4,0.3125,32,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.23783783783783785,185,1
race,African-American,0.3,0.4,0.313953488372093,86,1
race,Other,0.3,0.4,0.0,1,1
race,African-American,0.3,0.4,0.23076923076923078,65,2
race,Caucasian,0.3,0.4,0.24031007751937986,129,2
race,Other,0.3,0.4,1.0,1,2
race,Caucasian,0.3,0.4,0.24427480916030533,131,3
race,African-American,0.3,0.4,0.3384615384615385,65,3
race,Other,0.3,0.4,1.0,1,3
race,Caucasian,0.3,0.4,0.2345679012345679,81,4
race,Other,0.3,0.4,1.0,1,4
race,African-American,0.3,0.4,0.3548387096774194,31,4
race,Caucasian,0.4,0.5,0.47058823529411764,17,0
race,African-American,0.4,0.5,0.625,8,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.21428571428571427,14,1
race,African-American,0.4,0.5,0.6666666666666666,6,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,0.375,8,2
race,Caucasian,0.4,0.5,0.5,22,2
race,Other,0.4,0.5,0.0,1,2
race,Caucasian,0.4,0.5,0.4222222222222222,45,3
race,African-American,0.4,0.5,0.21428571428571427,14,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.0,3,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Caucasian,0.5,0.6,0.16666666666666666,6,0
race,African-American,0.5,0.6,0.5,2,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.2857142857142857,21,1
race,African-American,0.5,0.6,0.4444444444444444,9,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,1.0,1,2
race,Caucasian,0.5,0.6,0.0,3,2
race,Other,0.5,0.6,,0,2
race,Caucasian,0.5,0.6,0.3333333333333333,3,3
race,African-American,0.5,0.6,0.0,3,3
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.47058823529411764,17,4
race,Other,0.5,0.6,,0,4
race,African-American,0.5,0.6,0.2,5,4
race,Caucasian,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.4166666666666667,12,1
race,African-American,0.6,0.7,0.875,8,1
race,Other,0.6,0.7,0.0,1,1
