Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.05113089509143407,8312,0
race,Caucasian,0.0,0.1,0.02873334658977928,40232,0
race,Other,0.0,0.1,0.011933174224343675,1257,0
race,Caucasian,0.0,0.1,0.029216335266157332,40183,1
race,African-American,0.0,0.1,0.05267578593712503,8334,1
race,Other,0.0,0.1,0.00550314465408805,1272,1
race,African-American,0.0,0.1,0.04700296735905044,8425,2
race,Caucasian,0.0,0.1,0.029529866566903602,40095,2
race,Other,0.0,0.1,0.008058017727639,1241,2
race,Other,0.0,0.1,0.00919732441471572,1196,3
race,Caucasian,0.0,0.1,0.029053164808422936,40271,3
race,African-American,0.0,0.1,0.04873949579831933,8330,3
race,Caucasian,0.0,0.1,0.02839907653352531,40283,4
race,African-American,0.0,0.1,0.04806522268191774,8218,4
race,Other,0.0,0.1,0.01024428684003152,1269,4
race,African-American,0.1,0.2,0.16666666666666666,60,0
race,Caucasian,0.1,0.2,0.2625,160,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.2641509433962264,159,1
race,African-American,0.1,0.2,0.25862068965517243,58,1
race,Other,0.1,0.2,0.0,1,1
race,African-American,0.1,0.2,0.39473684210526316,76,2
race,Caucasian,0.1,0.2,0.21978021978021978,182,2
race,Other,0.1,0.2,,0,2
race,Other,0.1,0.2,0.0,1,3
race,Caucasian,0.1,0.2,0.23076923076923078,156,3
race,African-American,0.1,0.2,0.3132530120481928,83,3
race,Caucasian,0.1,0.2,0.2655367231638418,177,4
race,African-American,0.1,0.2,0.2236842105263158,76,4
race,Other,0.1,0.2,0.5,2,4
race,African-American,0.2,0.3,0.20833333333333334,24,0
race,Caucasian,0.2,0.3,0.2692307692307692,52,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.35294117647058826,51,1
race,African-American,0.2,0.3,0.38235294117647056,34,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,0.2857142857142857,28,2
race,Caucasian,0.2,0.3,0.32558139534883723,43,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.32558139534883723,43,3
race,African-American,0.2,0.3,0.2857142857142857,21,3
race,Caucasian,0.2,0.3,0.3829787234042553,47,4
race,African-American,0.2,0.3,0.4,20,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,0.14285714285714285,7,0
race,Caucasian,0.3,0.4,0.4375,16,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.4444444444444444,27,1
race,African-American,0.3,0.4,0.7142857142857143,7,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,0.36363636363636365,11,2
race,Caucasian,0.3,0.4,0.38095238095238093,21,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,0.35,20,3
race,African-American,0.3,0.4,0.4444444444444444,9,3
race,Caucasian,0.3,0.4,0.45454545454545453,22,4
race,African-American,0.3,0.4,0.38461538461538464,13,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.5,2,0
race,Caucasian,0.4,0.5,0.2222222222222222,9,0
race,Other,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,0.3333333333333333,9,1
race,African-American,0.4,0.5,0.6,5,1
race,Other,0.4,0.5,,0,1
race,African-American,0.4,0.5,1.0,1,2
race,Caucasian,0.4,0.5,0.5,12,2
race,Other,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,0.2222222222222222,9,3
race,African-American,0.4,0.5,0.4,5,3
race,Caucasian,0.4,0.5,0.4,10,4
race,African-American,0.4,0.5,0.5,4,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.5,6,0
race,Caucasian,0.5,0.6,0.2857142857142857,7,0
race,Other,0.5,0.6,,0,0
race,Caucasian,0.5,0.6,0.3333333333333333,3,1
race,African-American,0.5,0.6,0.75,4,1
race,Other,0.5,0.6,,0,1
race,African-American,0.5,0.6,0.0,2,2
race,Caucasian,0.5,0.6,1.0,4,2
race,Other,0.5,0.6,0.0,1,2
race,Other,0.5,0.6,,0,3
race,Caucasian,0.5,0.6,0.2,5,3
race,African-American,0.5,0.6,1.0,1,3
race,Caucasian,0.5,0.6,0.5,4,4
race,African-American,0.5,0.6,,0,4
race,Other,0.5,0.6,,0,4
race,African-American,0.6,0.7,0.0,2,0
race,Caucasian,0.6,0.7,0.3333333333333333,3,0
race,Other,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,0.5,2,1
race,African-American,0.6,0.7,0.5,2,1
race,Other,0.6,0.7,,0,1
race,African-American,0.6,0.7,0.0,1,2
race,Caucasian,0.6,0.7,0.3333333333333333,6,2
race,Other,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.3333333333333333,3,3
race,African-American,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,0.5,4,4
race,African-American,0.6,0.7,0.0,3,4
race,Other,0.6,0.7,,0,4
race,African-American,0.7,0.8,0.0,1,0
race,Caucasian,0.7,0.8,0.3333333333333333,3,0
race,Other,0.7,0.8,,0,0
race,Caucasian,0.7,0.8,1.0,1,1
race,African-American,0.7,0.8,0.5,2,1
race,Other,0.7,0.8,,0,1
race,African-American,0.7,0.8,0.5,2,2
race,Caucasian,0.7,0.8,0.0,1,2
race,Other,0.7,0.8,,0,2
race,Other,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,1.0,1,3
race,African-American,0.7,0.8,,0,3
race,Caucasian,0.7,0.8,0.0,2,4
race,African-American,0.7,0.8,,0,4
race,Other,0.7,0.8,,0,4
race,African-American,0.8,0.9,1.0,1,0
race,Caucasian,0.8,0.9,,0,0
race,Other,0.8,0.9,,0,0
race,Caucasian,0.8,0.9,,0,1
race,African-American,0.8,0.9,1.0,1,1
race,Other,0.8,0.9,,0,1
race,African-American,0.8,0.9,0.5,2,2
race,Caucasian,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,2
race,Other,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,0.0,1,3
race,African-American,0.8,0.9,,0,3
race,Caucasian,0.8,0.9,1.0,1,4
race,African-American,0.8,0.9,,0,4
race,Other,0.8,0.9,,0,4
race,African-American,0.9,1.0,1.0,1,0
race,Caucasian,0.9,1.0,1.0,1,0
race,Other,0.9,1.0,,0,0
race,Caucasian,0.9,1.0,,0,1
race,African-American,0.9,1.0,0.0,1,1
race,Other,0.9,1.0,,0,1
race,African-American,0.9,1.0,0.5,2,2
race,Caucasian,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,2
race,Other,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,3
race,African-American,0.9,1.0,,0,3
race,Caucasian,0.9,1.0,,0,4
race,African-American,0.9,1.0,,0,4
race,Other,0.9,1.0,,0,4
sex,male,0.0,0.1,0.038533945170020005,33996,0
sex,female,0.0,0.1,0.01809553938627017,15805,0
sex,female,0.0,0.1,0.017216462456801758,15915,1
sex,male,0.0,0.1,0.03973549034657849,33874,1
sex,male,0.0,0.1,0.038774307601649974,33940,2
sex,female,0.0,0.1,0.01731875355540105,15821,2
sex,female,0.0,0.1,0.016790217322435533,15783,3
sex,male,0.0,0.1,0.03886634915034986,34014,3
sex,female,0.0,0.1,0.015785818021089852,15837,4
sex,male,0.0,0.1,0.03836972858279551,33933,4
sex,male,0.1,0.2,0.24056603773584906,212,0
sex,female,0.1,0.2,0.125,8,0
sex,female,0.1,0.2,0.6,5,1
sex,male,0.1,0.2,0.2535211267605634,213,1
sex,male,0.1,0.2,0.276,250,2
sex,female,0.1,0.2,0.125,8,2
sex,female,0.1,0.2,0.3333333333333333,6,3
sex,male,0.1,0.2,0.2564102564102564,234,3
sex,female,0.1,0.2,0.25,8,4
sex,male,0.1,0.2,0.2550607287449393,247,4
sex,male,0.2,0.3,0.25675675675675674,74,0
sex,female,0.2,0.3,0.0,2,0
sex,female,0.2,0.3,0.3333333333333333,3,1
