Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,0.036150585888805785,4011,0
race,Caucasian,0.0,0.1,0.025466810049858245,20458,0
race,Other,0.0,0.1,0.004746835443037975,632,0
race,African-American,0.0,0.1,0.038199513381995134,4110,1
race,Caucasian,0.0,0.1,0.028370126820103335,21290,1
race,Other,0.0,0.1,0.018465909090909092,704,1
race,Caucasian,0.0,0.1,0.02687750905708411,20426,2
race,Other,0.0,0.1,0.0034482758620689655,580,2
race,African-American,0.0,0.1,0.038290513833992096,4048,2
race,Caucasian,0.0,0.1,0.029247515380974917,21130,3
race,African-American,0.0,0.1,0.03818053264199859,4243,3
race,Other,0.0,0.1,0.014903129657228018,671,3
race,Caucasian,0.0,0.1,0.025932087288384382,20438,4
race,Other,0.0,0.1,0.0030120481927710845,664,4
race,African-American,0.0,0.1,0.03489831785086618,3983,4
race,African-American,0.1,0.2,0.13345521023765997,1094,0
race,Caucasian,0.1,0.2,0.09423482091553342,5221,0
race,Other,0.1,0.2,0.04819277108433735,83,0
race,African-American,0.1,0.2,0.12640901771336555,1242,1
race,Caucasian,0.1,0.2,0.09847754866062826,5189,1
race,Other,0.1,0.2,0.15,60,1
race,Caucasian,0.1,0.2,0.09096098953377736,5255,2
race,Other,0.1,0.2,0.12903225806451613,93,2
race,African-American,0.1,0.2,0.13399280575539568,1112,2
race,Caucasian,0.1,0.2,0.09642995731470702,5154,3
race,African-American,0.1,0.2,0.14756671899529042,1274,3
race,Other,0.1,0.2,0.09876543209876543,81,3
race,Caucasian,0.1,0.2,0.09228994424149202,5201,4
race,Other,0.1,0.2,0.12871287128712872,101,4
race,African-American,0.1,0.2,0.13307984790874525,1052,4
race,African-American,0.2,0.3,0.265625,704,0
race,Caucasian,0.2,0.3,0.24647177419354838,1984,0
race,Other,0.2,0.3,0.125,32,0
race,African-American,0.2,0.3,0.39646464646464646,396,1
race,Caucasian,0.2,0.3,0.3069466882067851,1238,1
race,Other,0.2,0.3,0.3076923076923077,13,1
race,Caucasian,0.2,0.3,0.2259663032705649,2018,2
race,Other,0.2,0.3,0.17391304347826086,46,2
race,African-American,0.2,0.3,0.28714285714285714,700,2
race,Caucasian,0.2,0.3,0.2980769230769231,1248,3
race,African-American,0.2,0.3,0.35498839907192575,431,3
race,Other,0.2,0.3,0.2727272727272727,11,3
race,Caucasian,0.2,0.3,0.24493731918997108,2074,4
race,Other,0.2,0.3,0.175,40,4
race,African-American,0.2,0.3,0.2703081232492997,714,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,African-American,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,African-American,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,3
race,African-American,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.5507246376811594,276,0
race,Caucasian,0.5,0.6,0.46558704453441296,741,0
race,Other,0.5,0.6,0.625,8,0
race,African-American,0.5,0.6,0.5798611111111112,288,1
race,Caucasian,0.5,0.6,0.4744429882044561,763,1
race,Other,0.5,0.6,1.0,1,1
race,Caucasian,0.5,0.6,0.4958100558659218,716,2
race,Other,0.5,0.6,0.75,8,2
race,African-American,0.5,0.6,0.5155038759689923,258,2
race,Caucasian,0.5,0.6,0.472,750,3
race,African-American,0.5,0.6,0.5218855218855218,297,3
race,Other,0.5,0.6,0.6666666666666666,3,3
race,Caucasian,0.5,0.6,0.4773371104815864,706,4
race,Other,0.5,0.6,0.25,8,4
race,African-American,0.5,0.6,0.5424354243542435,271,4
race,African-American,0.6,0.7,,0,0
race,Caucasian,0.6,0.7,,0,0
race,Other,0.6,0.7,,0,0
race,African-American,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,1
race,Other,0.6,0.7,,0,1
race,Caucasian,0.6,0.7,,0,2
race,Other,0.6,0.7,,0,2
race,African-American,0.6,0.7,,0,2
race,Caucasian,0.6,0.7,,0,3
race,African-American,0.6,0.7,,0,3
race,Other,0.6,0.7,,0,3
race,Caucasian,0.6,0.7,,0,4
race,Other,0.6,0.7,,0,4
race,African-American,0.6,0.7,,0,4
race,African-American,0.7,0.8,0.5,18,0
race,Caucasian,0.7,0.8,0.625,32,0
race,Other,0.7,0.8,,0,0
race,African-American,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,,0,1
race,Other,0.7,0.8,,0,1
race,Caucasian,0.7,0.8,0.42857142857142855,21,2
race,Other,0.7,0.8,,0,2
race,African-American,0.7,0.8,0.75,12,2
race,Caucasian,0.7,0.8,,0,3
race,African-American,0.7,0.8,,0,3
race,Other,0.7,0.8,,0,3
