Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,1
race,Other,0.0,0.1,,0,1
race,African-American,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,2
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,4
race,African-American,0.0,0.1,,0,4
race,Other,0.0,0.1,,0,4
race,African-American,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,0
race,Other,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,1
race,Other,0.1,0.2,,0,1
race,African-American,0.1,0.2,,0,2
race,Caucasian,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,2
race,Other,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,3
race,African-American,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,,0,4
race,African-American,0.1,0.2,,0,4
race,Other,0.1,0.2,,0,4
race,African-American,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,0
race,Other,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,1
race,Other,0.2,0.3,,0,1
race,African-American,0.2,0.3,,0,2
race,Caucasian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,3
race,African-American,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,,0,4
race,African-American,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,African-American,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Other,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,0.0,146,0
race,Caucasian,0.4,0.5,0.004761904761904762,1470,0
race,Other,0.4,0.5,0.0,68,0
race,Caucasian,0.4,0.5,0.002178649237472767,1377,1
race,African-American,0.4,0.5,0.017857142857142856,112,1
race,Other,0.4,0.5,0.0,105,1
race,African-American,0.4,0.5,0.0,108,2
race,Caucasian,0.4,0.5,0.005439005439005439,1287,2
race,Other,0.4,0.5,0.0,69,2
race,Other,0.4,0.5,0.0,117,3
race,Caucasian,0.4,0.5,0.0026136957658128594,1913,3
race,African-American,0.4,0.5,0.011627906976744186,172,3
race,Caucasian,0.4,0.5,0.0016189962223421479,1853,4
race,African-American,0.4,0.5,0.0,146,4
race,Other,0.4,0.5,0.008695652173913044,115,4
race,African-American,0.5,0.6,0.007021063189568706,997,0
race,Caucasian,0.5,0.6,0.00982379541556214,6413,0
race,Other,0.5,0.6,0.0026041666666666665,384,0
race,Caucasian,0.5,0.6,0.005052051439069198,6532,1
race,African-American,0.5,0.6,0.008,1000,1
race,Other,0.5,0.6,0.0049261083743842365,406,1
race,African-American,0.5,0.6,0.01015228426395939,985,2
race,Caucasian,0.5,0.6,0.006951508986096982,5898,2
race,Other,0.5,0.6,0.0,350,2
race,Other,0.5,0.6,0.0,382,3
race,Caucasian,0.5,0.6,0.008170411438576015,6854,3
race,African-American,0.5,0.6,0.01117798796216681,1163,3
race,Caucasian,0.5,0.6,0.00505952380952381,6720,4
race,African-American,0.5,0.6,0.011937557392102846,1089,4
race,Other,0.5,0.6,0.005319148936170213,376,4
race,African-American,0.6,0.7,0.019326065411298315,2018,0
race,Caucasian,0.6,0.7,0.011404000747803327,10698,0
race,Other,0.6,0.7,0.004866180048661801,411,0
race,Caucasian,0.6,0.7,0.011761303383784826,10373,1
race,African-American,0.6,0.7,0.01631321370309951,1839,1
race,Other,0.6,0.7,0.0027247956403269754,367,1
race,African-American,0.6,0.7,0.011816838995568686,2031,2
race,Caucasian,0.6,0.7,0.011456483126110124,11260,2
race,Other,0.6,0.7,0.007263922518159807,413,2
race,Other,0.6,0.7,0.0,335,3
race,Caucasian,0.6,0.7,0.013044260525368837,11116,3
race,African-American,0.6,0.7,0.017839922854387655,2074,3
race,Caucasian,0.6,0.7,0.012082641579044456,10842,4
race,African-American,0.6,0.7,0.02186878727634195,2012,4
race,Other,0.6,0.7,0.010958904109589041,365,4
race,African-American,0.7,0.8,0.027552674230145867,1851,0
race,Caucasian,0.7,0.8,0.019914829659318636,7984,0
race,Other,0.7,0.8,0.009900990099009901,202,0
race,Caucasian,0.7,0.8,0.022724540098593243,8317,1
race,African-American,0.7,0.8,0.03626666666666667,1875,1
race,Other,0.7,0.8,0.004830917874396135,207,1
race,African-American,0.7,0.8,0.02704135737009544,1886,2
race,Caucasian,0.7,0.8,0.024000989731535322,8083,2
race,Other,0.7,0.8,0.010050251256281407,199,2
race,Other,0.7,0.8,0.020833333333333332,192,3
race,Caucasian,0.7,0.8,0.022056120573459136,8161,3
race,African-American,0.7,0.8,0.02583837273227048,1819,3
race,Caucasian,0.7,0.8,0.021859819569743234,8646,4
race,African-American,0.7,0.8,0.031754294638209266,1921,4
race,Other,0.7,0.8,0.00816326530612245,245,4
race,African-American,0.8,0.9,0.06810709253170502,2129,0
race,Caucasian,0.8,0.9,0.03900123813454395,9692,0
race,Other,0.8,0.9,0.03550295857988166,169,0
race,Caucasian,0.8,0.9,0.04251052737116503,9974,1
race,African-American,0.8,0.9,0.06338939197930142,2319,1
race,Other,0.8,0.9,0.012422360248447204,161,1
race,African-American,0.8,0.9,0.06114311032343819,2257,2
