Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.010313618185645128,0
race,African-American,46,2,1,0.08163265306122448,0
race,African-American,46,4,1,0.20023448257058335,0
race,African-American,46,1,0,0.018982503653787473,0
race,African-American,46,2,0,0.03175871538551666,0
race,African-American,46,3,0,0.04659637763114188,0
race,African-American,46,4,0,0.06354145001366637,0
race,African-American,30,1,0,0.024757774883602708,0
race,African-American,30,2,0,0.03693104674374177,0
race,African-American,30,3,0,0.04648785211998829,0
race,African-American,30,4,0,0.0853180392152735,0
race,African-American,30,1,1,0.022825659189295553,0
race,African-American,30,2,1,0.14085965820818228,0
race,African-American,30,3,1,0.10977640071832953,0
race,African-American,30,4,1,0.116143391336253,0
race,African-American,29,1,0,0.01641517593480396,0
race,African-American,29,2,0,0.022859741369595395,0
race,African-American,29,3,0,0.04123936530412552,0
race,African-American,29,4,0,0.06966689180191664,0
race,African-American,29,2,1,0.06629672897196262,0
race,African-American,29,4,1,0.08405509762482634,0
race,African-American,22,1,0,0.018015574977790116,0
race,African-American,22,2,0,0.037015220311823534,0
race,African-American,22,3,0,0.04078462566578517,0
race,African-American,22,4,0,0.07440234429172221,0
race,African-American,22,1,1,0.010313618185645128,0
race,African-American,22,4,1,0.14778215953080784,0
race,African-American,34,1,0,0.014792791088641866,0
race,African-American,34,2,0,0.03629567657765663,0
race,African-American,34,3,0,0.04694170674624509,0
race,African-American,34,4,0,0.07835181585991823,0
race,African-American,34,1,1,0.010313618185645128,0
race,African-American,34,4,1,0.09928792246948202,0
race,African-American,37,1,0,0.018395356501600568,0
race,African-American,37,2,0,0.02098883640908725,0
race,African-American,37,3,0,0.04554180232290327,0
race,African-American,37,4,0,0.059876404234523777,0
race,African-American,37,4,1,0.11581067472306143,0
race,African-American,53,1,0,0.015336713658579032,0
race,African-American,53,2,0,0.032832571023003375,0
race,African-American,53,3,0,0.037535879377139855,0
race,African-American,53,4,0,0.05706993125706627,0
race,African-American,53,4,1,0.15581550689790227,0
race,African-American,23,1,0,0.02118791387082752,0
race,African-American,23,2,0,0.03128721268929006,0
race,African-American,23,3,0,0.03743162254587807,0
race,African-American,23,4,0,0.06750498777950158,0
race,African-American,23,1,1,0.015035740695094897,0
race,African-American,23,2,1,0.028131957093705726,0
race,African-American,23,3,1,0.06629672897196262,0
race,African-American,23,4,1,0.1211369643331803,0
race,African-American,24,1,0,0.01893087015551392,0
race,African-American,24,2,0,0.03678121130225705,0
race,African-American,24,3,0,0.031311600600551666,0
race,African-American,24,4,0,0.08507413055140466,0
race,African-American,24,1,1,0.010313618185645128,0
race,African-American,24,2,1,0.14085965820818228,0
race,African-American,24,3,1,0.015035740695094897,0
race,African-American,24,4,1,0.13033955333133418,0
race,African-American,26,1,0,0.01757519830050964,0
race,African-American,26,2,0,0.026195009748453877,0
race,African-American,26,3,0,0.03490142472259826,0
race,African-American,26,4,0,0.07446302207684961,0
race,African-American,26,1,1,0.08980438648488441,0
race,African-American,26,2,1,0.010313618185645128,0
race,African-American,26,3,1,0.08980438648488441,0
race,African-American,26,4,1,0.12861904247644979,0
race,African-American,35,1,0,0.018653743664941293,0
race,African-American,35,2,0,0.02737386394077018,0
race,African-American,35,3,0,0.03914127292984711,0
race,African-American,35,4,0,0.08259465482138853,0
race,African-American,35,2,1,0.010313618185645128,0
race,African-American,35,4,1,0.08798570558361209,0
race,African-American,38,1,0,0.01926078810835081,0
race,African-American,38,2,0,0.03318074159734275,0
race,African-American,38,3,0,0.046428460165515544,0
race,African-American,38,4,0,0.08631780162389648,0
race,African-American,38,2,1,0.11581067472306143,0
race,African-American,38,4,1,0.14635925233317676,0
race,African-American,25,1,1,0.050059002335264766,0
race,African-American,25,2,1,0.02822491730981257,0
race,African-American,25,3,1,0.017937219730941704,0
race,African-American,25,4,1,0.09867003214134631,0
race,African-American,25,1,0,0.01938807333147406,0
race,African-American,25,2,0,0.02718501041864637,0
race,African-American,25,3,0,0.03319942449191417,0
race,African-American,25,4,0,0.07445314665762971,0
race,African-American,32,1,0,0.013577943551608941,0
race,African-American,32,2,0,0.021007998633104402,0
race,African-American,32,3,0,0.03761857721227972,0
race,African-American,32,4,0,0.07258161788345936,0
race,African-American,32,2,1,0.03935145039090208,0
race,African-American,32,3,1,0.032077234506384306,0
race,African-American,32,4,1,0.15030414137373702,0
race,African-American,42,1,0,0.0204543500575825,0
race,African-American,42,2,0,0.027435247911156847,0
race,African-American,42,3,0,0.03212773706547009,0
race,African-American,42,4,0,0.0813885808895481,0
race,African-American,42,2,1,0.06629672897196262,0
race,African-American,41,1,0,0.022786813523769763,0
race,African-American,41,2,0,0.037753553155877285,0
race,African-American,41,3,0,0.03925481358811261,0
race,African-American,41,4,0,0.056766386119087915,0
race,African-American,41,1,1,0.010313618185645128,0
race,African-American,41,3,1,0.06555269922879177,0
race,African-American,41,4,1,0.13665847309532114,0
race,African-American,33,1,0,0.016437940618898847,0
race,African-American,33,2,0,0.040914027915643594,0
race,African-American,33,3,0,0.03566640985606118,0
race,African-American,33,4,0,0.07205156350022249,0
race,African-American,33,2,1,0.0755866381969137,0
race,African-American,33,3,1,0.09565155859411331,0
race,African-American,33,4,1,0.13131329487907223,0
race,African-American,31,1,0,0.020950355515375958,0
race,African-American,31,2,0,0.037557043417943144,0
race,African-American,31,3,0,0.04267881331896851,0
race,African-American,31,4,0,0.0889759083226239,0
race,African-American,31,3,1,0.10374212671359763,0
race,African-American,31,4,1,0.16985502971446279,0
race,African-American,50,1,0,0.01965620380340137,0
race,African-American,50,2,0,0.01987163480239231,0
race,African-American,50,3,0,0.02741523908144236,0
race,African-American,50,4,0,0.07992987824586847,0
race,African-American,50,1,1,0.012406171809841535,0
race,African-American,50,2,1,0.06629672897196262,0
race,African-American,50,4,1,0.1878273177636235,0
race,African-American,28,1,0,0.025354693270388782,0
race,African-American,28,2,0,0.026139035769055664,0
race,African-American,28,3,0,0.033263839919791274,0
race,African-American,28,4,0,0.08286266648251882,0
race,African-American,28,1,1,0.011359894997743331,0
race,African-American,28,3,1,0.08395873209534371,0
race,African-American,28,4,1,0.1041838667227582,0
race,African-American,52,1,0,0.029106499470555866,0
race,African-American,52,2,0,0.03593865136450499,0
race,African-American,52,3,0,0.020409532686351668,0
race,African-American,52,4,0,0.06744267050343784,0
race,African-American,52,3,1,0.0881908788885533,0
race,African-American,52,4,1,0.10560224289719458,0
race,African-American,51,1,0,0.015472666574115224,0
race,African-American,51,2,0,0.030463646764862164,0
race,African-American,51,3,0,0.030259590792196506,0
race,African-American,51,4,0,0.053519772789964726,0
race,African-American,51,2,1,0.047260823140887594,0
race,African-American,40,1,0,0.03132656233581928,0
race,African-American,40,2,0,0.026686269694236195,0
race,African-American,40,3,0,0.0423326906662515,0
