Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,Caucasian,26,1,0,0.009052918304630394,0
race,Caucasian,26,2,0,0.011170481098403654,0
race,Caucasian,26,3,0,0.016462403620222384,0
race,Caucasian,26,4,0,0.03479223012248623,0
race,Caucasian,26,1,1,0.03270604156982917,0
race,Caucasian,26,2,1,0.012339530443188206,0
race,Caucasian,26,3,1,0.02705936205092582,0
race,Caucasian,26,4,1,0.05066867123246966,0
race,Caucasian,30,1,0,0.008719100039247535,0
race,Caucasian,30,2,0,0.012946766433253027,0
race,Caucasian,30,3,0,0.013837575542579653,0
race,Caucasian,30,4,0,0.03409931874694764,0
race,Caucasian,30,1,1,0.018842828104574286,0
race,Caucasian,30,2,1,0.012339530443188206,0
race,Caucasian,30,3,1,0.029762075248281644,0
race,Caucasian,30,4,1,0.061723001374691756,0
race,Caucasian,47,1,0,0.008851137318176803,0
race,Caucasian,47,2,0,0.01174154786022607,0
race,Caucasian,47,3,0,0.015628430393527605,0
race,Caucasian,47,4,0,0.028027579923924045,0
race,Caucasian,47,2,1,0.03270604156982917,0
race,Caucasian,47,3,1,0.01798620996209156,0
race,Caucasian,47,4,1,0.052308289733663346,0
race,Caucasian,35,1,0,0.008648119056203628,0
race,Caucasian,35,2,0,0.012030169186218827,0
race,Caucasian,35,3,0,0.016144447415833353,0
race,Caucasian,35,4,0,0.03392082719927145,0
race,Caucasian,35,1,1,0.012339530443188208,0
race,Caucasian,35,2,1,0.03270604156982917,0
race,Caucasian,35,3,1,0.029762075248281644,0
race,Caucasian,35,4,1,0.059848599792534166,0
race,Caucasian,51,1,0,0.009244049039207497,0
race,Caucasian,51,2,0,0.011556693536760396,0
race,Caucasian,51,3,0,0.01711439004636798,0
race,Caucasian,51,4,0,0.027152652848615802,0
race,Caucasian,51,1,1,0.01798620996209156,0
race,Caucasian,51,4,1,0.07024876007229204,0
race,Caucasian,43,1,0,0.009584212206531492,0
race,Caucasian,43,2,0,0.011583411272998164,0
race,Caucasian,43,3,0,0.016983080485346465,0
race,Caucasian,43,4,0,0.031235329412578585,0
race,Caucasian,43,1,1,0.025346125765960365,0
race,Caucasian,43,3,1,0.02252278600650869,0
race,Caucasian,43,4,1,0.05271804638120122,0
race,Caucasian,29,1,0,0.00918349124354125,0
race,Caucasian,29,2,0,0.011146239854616439,0
race,Caucasian,29,3,0,0.014313659223487594,0
race,Caucasian,29,4,0,0.03440950635158239,0
race,Caucasian,29,1,1,0.02252278600650869,0
race,Caucasian,29,2,1,0.01935679899006392,0
race,Caucasian,29,3,1,0.024034978021314397,0
race,Caucasian,29,4,1,0.06181467928187996,0
race,Caucasian,28,1,0,0.009482941167486244,0
race,Caucasian,28,2,0,0.011533632341562853,0
race,Caucasian,28,3,0,0.016556639251859687,0
race,Caucasian,28,4,0,0.033938775354722596,0
race,Caucasian,28,1,1,0.012339530443188206,0
race,Caucasian,28,2,1,0.015162870202639882,0
race,Caucasian,28,3,1,0.03788004600170731,0
race,Caucasian,28,4,1,0.05308908863475759,0
race,Caucasian,53,1,0,0.009319213491216649,0
race,Caucasian,53,2,0,0.011909670133035908,0
race,Caucasian,53,3,0,0.017494718749334427,0
race,Caucasian,53,4,0,0.026741850485628313,0
race,Caucasian,53,1,1,0.014221756949489324,0
race,Caucasian,53,4,1,0.08546401800210889,0
race,Caucasian,36,1,0,0.009051060839525548,0
race,Caucasian,36,2,0,0.013473569473783238,0
race,Caucasian,36,3,0,0.01821365491535805,0
race,Caucasian,36,4,0,0.031420354607337435,0
race,Caucasian,36,1,1,0.01045730393688709,0
race,Caucasian,36,2,1,0.014221756949489323,0
race,Caucasian,36,3,1,0.01798620996209156,0
race,Caucasian,36,4,1,0.06162510215840801,0
race,Caucasian,25,1,0,0.008977480143347698,0
race,Caucasian,25,2,0,0.011712471181860999,0
race,Caucasian,25,3,0,0.01726968445392381,0
race,Caucasian,25,4,0,0.03386675403841351,0
race,Caucasian,25,1,1,0.015727538154530218,0
race,Caucasian,25,2,1,0.012339530443188206,0
race,Caucasian,25,3,1,0.02524473163315897,0
race,Caucasian,25,4,1,0.05796295207613314,0
race,Caucasian,40,1,0,0.010149193510944432,0
race,Caucasian,40,2,0,0.011225562681229923,0
race,Caucasian,40,3,0,0.016087723813129718,0
race,Caucasian,40,4,0,0.035539837509640806,0
race,Caucasian,40,1,1,0.023874142605186603,0
race,Caucasian,40,2,1,0.01798620996209156,0
race,Caucasian,40,3,1,0.01798620996209156,0
race,Caucasian,40,4,1,0.06254636804509375,0
race,Caucasian,23,1,0,0.009202073057084283,0
race,Caucasian,23,2,0,0.011437920286991735,0
race,Caucasian,23,3,0,0.015578185630439202,0
race,Caucasian,23,4,0,0.029446439455633328,0
race,Caucasian,23,1,1,0.006692850924284855,0
race,Caucasian,23,2,1,0.024034978021314397,0
race,Caucasian,23,3,1,0.024034978021314397,0
race,Caucasian,23,4,1,0.056698672761641256,0
race,Caucasian,32,1,0,0.009251791642693819,0
race,Caucasian,32,2,0,0.012074407762724022,0
race,Caucasian,32,3,0,0.018888695543596522,0
race,Caucasian,32,4,0,0.035036441106077114,0
race,Caucasian,32,1,1,0.01798620996209156,0
race,Caucasian,32,2,1,0.017351865119528003,0
race,Caucasian,32,3,1,0.03270604156982917,0
race,Caucasian,32,4,1,0.046508320487105445,0
race,Caucasian,49,1,1,0.01798620996209156,0
race,Caucasian,49,2,1,0.027799431033916633,0
race,Caucasian,49,3,1,0.012339530443188206,0
race,Caucasian,49,4,1,0.063050527068731,0
race,Caucasian,49,1,0,0.009217625933310167,0
race,Caucasian,49,2,0,0.010920252998322841,0
race,Caucasian,49,3,0,0.014149332568916899,0
race,Caucasian,49,4,0,0.027182892590613832,0
race,Caucasian,27,1,1,0.014221756949489324,0
race,Caucasian,27,2,1,0.04742587317756678,0
race,Caucasian,27,3,1,0.022522786006508685,0
race,Caucasian,27,4,1,0.06767222523282754,0
race,Caucasian,27,1,0,0.009099744524142975,0
race,Caucasian,27,2,0,0.010765906150834566,0
race,Caucasian,27,3,0,0.016828375158712584,0
race,Caucasian,27,4,0,0.034059197369344735,0
race,Caucasian,57,1,0,0.009430841887522037,0
race,Caucasian,57,2,0,0.012018040253141798,0
race,Caucasian,57,3,0,0.015565830740680898,0
race,Caucasian,57,4,0,0.025703744015726913,0
race,Caucasian,57,2,1,0.01045730393688709,0
race,Caucasian,57,3,1,0.01798620996209156,0
race,Caucasian,57,4,1,0.01798620996209156,0
race,Caucasian,44,1,0,0.009563856182642987,0
race,Caucasian,44,2,0,0.01118694860497262,0
race,Caucasian,44,3,0,0.015170563174357663,0
race,Caucasian,44,4,0,0.031422948486726755,0
race,Caucasian,44,1,1,0.01798620996209156,0
race,Caucasian,44,2,1,0.01798620996209156,0
race,Caucasian,44,3,1,0.027799431033916633,0
race,Caucasian,44,4,1,0.08331439759984216,0
race,Caucasian,39,1,0,0.009298403171542858,0
race,Caucasian,39,2,0,0.011887470616729104,0
race,Caucasian,39,3,0,0.01535778966305141,0
race,Caucasian,39,4,0,0.03464997507192668,0
race,Caucasian,39,1,1,0.01798620996209156,0
race,Caucasian,39,2,1,0.027799431033916633,0
race,Caucasian,39,3,1,0.01798620996209156,0
race,Caucasian,39,4,1,0.06432509893376469,0
race,Caucasian,45,1,0,0.00933356525555627,0
race,Caucasian,45,2,0,0.011491590744976138,0
race,Caucasian,45,3,0,0.01441087887474114,0
race,Caucasian,45,4,0,0.0264487148576812,0
race,Caucasian,45,2,1,0.011210194539407536,0
race,Caucasian,45,3,1,0.024034978021314397,0
race,Caucasian,45,4,1,0.045291933545269454,0
race,Caucasian,37,1,0,0.008845312376328752,0
race,Caucasian,37,2,0,0.011488925654980291,0
race,Caucasian,37,3,0,0.015205184369156202,0
race,Caucasian,37,4,0,0.0342919512119873,0
race,Caucasian,37,1,1,0.012339530443188206,0
race,Caucasian,37,2,1,0.01045730393688709,0
race,Caucasian,37,3,1,0.012339530443188206,0
race,Caucasian,37,4,1,0.04984419613011684,0
race,Caucasian,34,1,1,0.012339530443188206,0
race,Caucasian,34,2,1,0.021615470797625262,0
race,Caucasian,34,3,1,0.04742587317756678,0
race,Caucasian,34,4,1,0.06698235069040451,0
race,Caucasian,34,1,0,0.009016455846956664,0
race,Caucasian,34,2,0,0.011214000244415509,0
race,Caucasian,34,3,0,0.015973296931411713,0
race,Caucasian,34,4,0,0.035729309532436485,0
race,Caucasian,33,1,0,0.009347145872676228,0
race,Caucasian,33,2,0,0.010358716417816268,0
race,Caucasian,33,3,0,0.01510196033057908,0
race,Caucasian,33,4,0,0.03181448161597163,0
race,Caucasian,33,2,1,0.02705936205092582,0
race,Caucasian,33,3,1,0.01045730393688709,0
race,Caucasian,33,4,1,0.05582905985410831,0
race,Caucasian,55,1,0,0.009277386909872452,0
race,Caucasian,55,2,0,0.012234399454490518,0
race,Caucasian,55,3,0,0.012497554183596448,0
race,Caucasian,55,4,0,0.028647453946727894,0
race,Caucasian,55,2,1,0.01798620996209156,0
race,Caucasian,55,4,1,0.012339530443188206,0
race,Caucasian,41,1,1,0.03270604156982917,0
race,Caucasian,41,2,1,0.012339530443188206,0
race,Caucasian,41,3,1,0.03761265210574171,0
race,Caucasian,41,4,1,0.06617545784696385,0
race,Caucasian,41,1,0,0.009260980435096565,0
race,Caucasian,41,2,0,0.012090258347168084,0
race,Caucasian,41,3,0,0.017303270662809813,0
race,Caucasian,41,4,0,0.030087978370385484,0
race,Caucasian,31,1,0,0.009133715853356851,0
race,Caucasian,31,2,0,0.011536001928943962,0
race,Caucasian,31,3,0,0.017068901881833017,0
race,Caucasian,31,4,0,0.035582150267206576,0
race,Caucasian,31,1,1,0.0066928509242848554,0
race,Caucasian,31,2,1,0.024034978021314397,0
race,Caucasian,31,3,1,0.027799431033916633,0
race,Caucasian,31,4,1,0.06277905682523402,0
race,Caucasian,46,1,0,0.009096693165267544,0
race,Caucasian,46,2,0,0.010932167518532852,0
race,Caucasian,46,3,0,0.01672532328498553,0
race,Caucasian,46,4,0,0.03391696665347262,0
race,Caucasian,46,1,1,0.01798620996209156,0
race,Caucasian,46,4,1,0.07605571008453654,0
race,Caucasian,22,1,0,0.008981291241558729,0
race,Caucasian,22,2,0,0.010779815793204308,0
race,Caucasian,22,3,0,0.016767622603554983,0
race,Caucasian,22,4,0,0.030009924659350713,0
race,Caucasian,22,1,1,0.009516190683736532,0
race,Caucasian,22,2,1,0.01798620996209156,0
race,Caucasian,22,3,1,0.01798620996209156,0
race,Caucasian,22,4,1,0.038709911414267384,0
race,Caucasian,24,1,0,0.009834601763042043,0
race,Caucasian,24,2,0,0.011593312746742416,0
race,Caucasian,24,3,0,0.016354849232750296,0
race,Caucasian,24,4,0,0.0315564086956295,0
race,Caucasian,24,1,1,0.012339530443188206,0
race,Caucasian,24,2,1,0.04742587317756678,0
race,Caucasian,24,3,1,0.027799431033916633,0
race,Caucasian,24,4,1,0.06575791636731587,0
race,Caucasian,52,1,0,0.00851122344258133,0
race,Caucasian,52,2,0,0.012408856053588125,0
race,Caucasian,52,3,0,0.018532534956701194,0
race,Caucasian,52,4,0,0.032404520238245395,0
race,Caucasian,52,2,1,0.01798620996209156,0
race,Caucasian,52,3,1,0.0066928509242848554,0
race,Caucasian,52,4,1,0.044668883043920964,0
race,Caucasian,42,1,0,0.009186040288619881,0
race,Caucasian,42,2,0,0.01055324692213495,0
race,Caucasian,42,3,0,0.01450082119302482,0
race,Caucasian,42,4,0,0.031363849175917946,0
race,Caucasian,42,1,1,0.0066928509242848554,0
race,Caucasian,42,2,1,0.03270604156982917,0
race,Caucasian,42,3,1,0.01798620996209156,0
race,Caucasian,42,4,1,0.033838336308885913,0
race,Caucasian,48,1,0,0.008761436490615787,0
race,Caucasian,48,2,0,0.011732943794284169,0
race,Caucasian,48,3,0,0.015233235762288034,0
race,Caucasian,48,4,0,0.032458610551934504,0
race,Caucasian,48,2,1,0.01798620996209156,0
race,Caucasian,48,4,1,0.049575493579833506,0
race,Caucasian,65,1,0,0.009056577234523466,0
race,Caucasian,65,2,0,0.010823421114558262,0
race,Caucasian,65,3,0,0.01709812718250258,0
race,Caucasian,65,4,0,0.02463985482723668,0
race,Caucasian,65,1,1,0.01798620996209156,0
race,Caucasian,54,1,0,0.010314746926262046,0
race,Caucasian,54,2,0,0.010906008210239487,0
race,Caucasian,54,3,0,0.013845479062201115,0
race,Caucasian,54,4,0,0.025976396070264425,0
race,Caucasian,54,1,1,0.01798620996209156,0
race,Caucasian,54,3,1,0.0066928509242848554,0
race,Caucasian,54,4,1,0.040065957373697975,0
race,Caucasian,21,1,0,0.008882489688370451,0
race,Caucasian,21,2,0,0.012005963386773632,0
race,Caucasian,21,3,0,0.014473695104578218,0
race,Caucasian,21,4,0,0.02768872447208854,0
race,Caucasian,21,1,1,0.01601948834512261,0
race,Caucasian,21,2,1,0.01798620996209156,0
race,Caucasian,21,4,1,0.0477467458527255,0
race,Caucasian,50,1,0,0.008972852426136052,0
race,Caucasian,50,2,0,0.012052739582456886,0
race,Caucasian,50,3,0,0.015180558004558262,0
race,Caucasian,50,4,0,0.027885384691738496,0
race,Caucasian,50,1,1,0.01798620996209156,0
race,Caucasian,50,2,1,0.012339530443188206,0
race,Caucasian,50,4,1,0.0615383350539253,0
race,Caucasian,56,1,0,0.010465655192566084,0
race,Caucasian,56,2,0,0.011177631224625693,0
race,Caucasian,56,3,0,0.015507837741221971,0
race,Caucasian,56,4,0,0.030315634027094838,0
race,Caucasian,56,1,1,0.01798620996209156,0
race,Caucasian,56,2,1,0.01798620996209156,0
race,Caucasian,56,4,1,0.08546401800210889,0
race,Caucasian,38,1,0,0.009078931509675765,0
race,Caucasian,38,2,0,0.011942286345455902,0
race,Caucasian,38,3,0,0.015521218217604155,0
race,Caucasian,38,4,0,0.035008696412230804,0
race,Caucasian,38,1,1,0.015727538154530218,0
race,Caucasian,38,2,1,0.01798620996209156,0
race,Caucasian,38,3,1,0.01798620996209156,0
race,Caucasian,38,4,1,0.04576614235244664,0
race,Caucasian,20,1,0,0.009004707693538885,0
race,Caucasian,20,2,0,0.011063181927026561,0
race,Caucasian,20,3,0,0.01660577245799166,0
race,Caucasian,20,4,0,0.029116152112705164,0
race,Caucasian,20,1,1,0.01798620996209156,0
race,Caucasian,20,2,1,0.012339530443188206,0
race,Caucasian,20,3,1,0.01045730393688709,0
race,Caucasian,20,4,1,0.03686639231519339,0
race,Caucasian,59,1,0,0.008838047778823173,0
race,Caucasian,59,2,0,0.010742843317714667,0
race,Caucasian,59,3,0,0.01530205469736586,0
race,Caucasian,59,4,0,0.024281788861387762,0
race,Caucasian,59,2,1,0.01798620996209156,0
race,Caucasian,59,4,1,0.04742587317756678,0
race,Caucasian,61,1,0,0.009076121734389138,0
race,Caucasian,61,2,0,0.011965934390712344,0
race,Caucasian,61,3,0,0.012829026524606903,0
race,Caucasian,61,4,0,0.02501575146914825,0
race,Caucasian,61,1,1,0.0024726231566347743,0
race,Caucasian,61,3,1,0.01798620996209156,0
race,Caucasian,61,4,1,0.01798620996209156,0
race,Caucasian,67,1,0,0.008951522731846193,0
race,Caucasian,67,2,0,0.012339530443188206,0
race,Caucasian,67,3,0,0.011210194539407536,0
race,Caucasian,67,4,0,0.024584866026698293,0
race,Caucasian,67,1,1,0.0066928509242848554,0
race,Caucasian,58,1,0,0.009680953741996928,0
race,Caucasian,58,2,0,0.012710584399436068,0
race,Caucasian,58,3,0,0.01480087358421288,0
race,Caucasian,58,4,0,0.02775238119469751,0
race,Caucasian,58,1,1,0.03270604156982917,0
race,Caucasian,58,4,1,0.0372426176142463,0
race,Caucasian,60,1,0,0.00889231721320693,0
race,Caucasian,60,2,0,0.011476408922481078,0
race,Caucasian,60,3,0,0.01845589459094531,0
race,Caucasian,60,4,0,0.026921708650239653,0
race,Caucasian,60,1,1,0.04742587317756678,0
race,Caucasian,60,2,1,0.01798620996209156,0
race,Caucasian,60,4,1,0.03270604156982917,0
race,Caucasian,66,1,0,0.010197686487742106,0
race,Caucasian,66,2,0,0.010927860563462368,0
race,Caucasian,66,3,0,0.0117121216077545,0
race,Caucasian,66,4,0,0.02710359513479639,0
race,Caucasian,66,4,1,0.11920292202211755,0
race,Caucasian,64,1,0,0.007822186828065524,0
race,Caucasian,64,2,0,0.014169759958309118,0
race,Caucasian,64,3,0,0.008746188931158801,0
race,Caucasian,64,4,0,0.02146403359671431,0
race,Caucasian,62,1,0,0.010080858635626865,0
race,Caucasian,62,2,0,0.00962075882297548,0
race,Caucasian,62,3,0,0.01985519500023569,0
race,Caucasian,62,4,0,0.02451838088096086,0
race,Caucasian,62,4,1,0.04742587317756678,0
race,Caucasian,69,1,0,0.008386854779955858,0
race,Caucasian,69,2,0,0.01412519110872609,0
race,Caucasian,69,3,0,0.012339530443188206,0
race,Caucasian,69,4,0,0.01153286194048773,0
race,Caucasian,69,2,1,0.01798620996209156,0
race,Caucasian,63,1,0,0.008628855330766003,0
race,Caucasian,63,2,0,0.013728377627495448,0
race,Caucasian,63,3,0,0.016412832668516397,0
race,Caucasian,63,4,0,0.030114215493005927,0
race,Caucasian,63,1,1,0.01798620996209156,0
race,Caucasian,63,4,1,0.03270604156982917,0
race,Caucasian,18,1,0,0.008867305298137252,0
race,Caucasian,18,2,0,0.010810821430008711,0
race,Caucasian,18,3,0,0.02013644433135587,0
race,Caucasian,18,4,0,0.024234185830466392,0
race,Caucasian,18,1,1,0.02252278600650869,0
race,Caucasian,18,2,1,0.022892820498004094,0
race,Caucasian,18,4,1,0.03270604156982917,0
race,Caucasian,68,1,0,0.008843966931486128,0
race,Caucasian,68,2,0,0.012339530443188206,0
race,Caucasian,68,3,0,0.01935679899006392,0
race,Caucasian,68,4,0,0.02317086829856827,0
race,Caucasian,70,1,0,0.009202486266019676,0
race,Caucasian,70,2,0,0.010927860563462368,0
race,Caucasian,70,3,0,0.01798620996209156,0
race,Caucasian,70,4,0,0.022152751515013277,0
race,Caucasian,70,1,1,0.01798620996209156,0
race,Caucasian,19,1,0,0.009653102017353386,0
race,Caucasian,19,2,0,0.011018015839436745,0
race,Caucasian,19,3,0,0.017312354605613256,0
race,Caucasian,19,4,0,0.026221152043666103,0
race,Caucasian,19,1,1,0.015162870202639882,0
race,Caucasian,19,2,1,0.014221756949489324,0
race,Caucasian,19,3,1,0.01798620996209156,0
race,Caucasian,19,4,1,0.07024876007229204,0
race,Other,37,1,0,0.008685796636838978,0
race,Other,37,2,0,0.008951522731846195,0
race,Other,37,3,0,0.014839455374941241,0
race,Other,37,4,0,0.022780160350446985,0
race,Other,26,1,0,0.009431081518552676,0
race,Other,26,2,0,0.00951619068373653,0
race,Other,26,3,0,0.01045730393688709,0
race,Other,26,4,0,0.04778239837218759,0
race,Other,30,1,0,0.0066928509242848554,0
race,Other,30,2,0,0.012432320106338855,0
race,Other,30,3,0,0.006692850924284855,0
race,Other,30,4,0,0.019509086659838627,0
race,Other,27,1,0,0.009638944586321382,0
race,Other,27,2,0,0.01045730393688709,0
race,Other,27,3,0,0.01709812718250258,0
race,Other,27,4,0,0.01935679899006392,0
race,Other,34,1,0,0.007822186828065524,0
race,Other,34,2,0,0.008104520804010692,0
race,Other,34,3,0,0.006692850924284855,0
race,Other,34,4,0,0.02705936205092582,0
race,Other,48,1,0,0.006692850924284856,0
race,Other,48,2,0,0.008104520804010692,0
race,Other,48,3,0,0.04742587317756678,0
race,Other,48,4,0,0.0446575887027059,0
race,Other,25,1,0,0.007398685864147774,0
race,Other,25,2,0,0.009704413334366642,0
race,Other,25,3,0,0.006692850924284855,0
race,Other,25,4,0,0.017303069362407726,0
race,Other,33,1,0,0.007881625559843453,0
race,Other,33,2,0,0.009516190683736532,0
race,Other,33,3,0,0.006692850924284855,0
race,Other,33,4,0,0.047826964021515185,0
race,Other,47,1,0,0.008575077430585972,0
race,Other,47,2,0,0.009919524935086771,0
race,Other,47,3,0,0.01798620996209156,0
race,Other,47,4,0,0.01045730393688709,0
race,Other,55,1,0,0.01251185410332513,0
race,Other,55,3,0,0.04742587317756678,0
race,Other,55,4,0,0.022986059825597625,0
race,Other,55,3,1,0.01798620996209156,0
race,Other,43,1,0,0.006692850924284856,0
race,Other,43,2,0,0.00951619068373653,0
race,Other,43,3,0,0.012339530443188206,0
race,Other,43,4,0,0.014607818465396771,0
race,Other,24,1,0,0.00776840892788549,0
race,Other,24,2,0,0.013475859957621404,0
race,Other,24,3,0,0.015162870202639882,0
race,Other,24,4,0,0.02879317568208034,0
race,Other,29,1,0,0.010087269445391683,0
race,Other,29,2,0,0.006692850924284856,0
race,Other,29,3,0,0.020270525008712164,0
race,Other,29,4,0,0.01969944624705701,0
race,Other,29,3,1,0.04742587317756678,0
race,Other,31,1,0,0.00857507743058597,0
race,Other,31,2,0,0.008575077430585972,0
race,Other,31,3,0,0.0066928509242848554,0
race,Other,31,4,0,0.008951522731846195,0
race,Other,38,1,0,0.006692850924284856,0
race,Other,38,2,0,0.011210194539407536,0
race,Other,38,4,0,0.012339530443188206,0
race,Other,38,1,1,0.01798620996209156,0
race,Other,46,1,0,0.011210194539407536,0
race,Other,46,2,0,0.012339530443188206,0
race,Other,46,3,0,0.017246140979100745,0
race,Other,46,4,0,0.013728377627495448,0
race,Other,28,1,0,0.010259174830960654,0
race,Other,28,2,0,0.013468866346968875,0
race,Other,28,3,0,0.006692850924284855,0
race,Other,28,4,0,0.024034978021314397,0
race,Other,28,1,1,0.01798620996209156,0
