Attribute,Attribute Value,Age,Prior,Label,Expected Score,fold_num
race,African-American,46,1,1,0.6826644569668011,0
race,African-American,46,2,1,0.7445783779666225,0
race,African-American,46,4,1,0.9607353340196843,0
race,African-American,46,1,0,0.5935081663304955,0
race,African-American,46,2,0,0.6836345154764392,0
race,African-American,46,3,0,0.7081822303863679,0
race,African-American,46,4,0,0.8335872964891723,0
race,African-American,30,1,0,0.6527867173666121,0
race,African-American,30,2,0,0.7015907186149302,0
race,African-American,30,3,0,0.735565581175323,0
race,African-American,30,4,0,0.8374671192137992,0
race,African-American,30,1,1,0.7026030666720495,0
race,African-American,30,2,1,0.8677992101569009,0
race,African-American,30,3,1,0.9121004032326707,0
race,African-American,30,4,1,0.9348325880873091,0
race,African-American,29,1,0,0.6205883424544568,0
race,African-American,29,2,0,0.6480841695142936,0
race,African-American,29,3,0,0.7810771571797909,0
race,African-American,29,4,0,0.8151492944516301,0
race,African-American,29,2,1,0.9121336495131377,0
race,African-American,29,4,1,0.8275270006480825,0
race,African-American,22,1,0,0.6039293228939253,0
race,African-American,22,2,0,0.6866174357895172,0
race,African-American,22,3,0,0.7238277494022668,0
race,African-American,22,4,0,0.819538121535425,0
race,African-American,22,1,1,0.6117864375285826,0
race,African-American,22,4,1,0.9261451915278544,0
race,African-American,34,1,0,0.6082804248895721,0
race,African-American,34,2,0,0.682065841299878,0
race,African-American,34,3,0,0.7507938750351094,0
race,African-American,34,4,0,0.820316607595578,0
race,African-American,34,1,1,0.6930286001980558,0
race,African-American,34,4,1,0.8872546799452802,0
race,African-American,37,1,0,0.6461564336776722,0
race,African-American,37,2,0,0.6356797445905656,0
race,African-American,37,3,0,0.6621995332592961,0
race,African-American,37,4,0,0.7879731372368639,0
race,African-American,37,4,1,0.9601394761722085,0
race,African-American,53,1,0,0.6061898196206983,0
race,African-American,53,2,0,0.7054087808152713,0
race,African-American,53,3,0,0.7192150821669978,0
race,African-American,53,4,0,0.7637517621126041,0
race,African-American,53,4,1,0.9107032652037876,0
race,African-American,23,1,0,0.6302914945489881,0
race,African-American,23,2,0,0.6735617782297526,0
race,African-American,23,3,0,0.6911118445093211,0
race,African-American,23,4,0,0.8036045438076355,0
race,African-American,23,1,1,0.7078736702999792,0
race,African-American,23,2,1,0.7397806175178415,0
race,African-American,23,3,1,0.9017596576813887,0
race,African-American,23,4,1,0.8977987210857317,0
race,African-American,24,1,0,0.627657228065036,0
race,African-American,24,2,0,0.6923041241450415,0
race,African-American,24,3,0,0.6386634022469877,0
race,African-American,24,4,0,0.8193868236316114,0
race,African-American,24,1,1,0.518060846715028,0
race,African-American,24,2,1,0.8677992101569009,0
race,African-American,24,3,1,0.7385825621536772,0
race,African-American,24,4,1,0.9482562867710553,0
race,African-American,26,1,0,0.6186897560771057,0
race,African-American,26,2,0,0.6594489857768754,0
